x,y
40.785419107,18.309307662
41.377094979,19.451186888
40.379742790,18.271427239
39.527233114,17.944619284
40.083220931,19.384554628
40.698365599,20.800327104
40.558582276,22.292753304
39.391528314,23.273173536
37.938252650,23.788779460
36.421916332,24.080917945
34.886188887,24.246930989
33.343655571,24.330865745
31.798993152,24.356336764
30.254207703,24.337470167
28.710235820,24.283475540
27.167530877,24.200697397
25.626303791,24.093808001
24.086647262,23.966236569
22.548590275,23.820619188
21.012127896,23.659027525
19.477236317,23.483129937
17.943890182,23.294226722
16.412055847,23.093427375
14.881700730,22.881645190
13.352779444,22.659744747
11.825175414,22.428944563
10.298499023,22.192083184
8.773061080,21.947368348
7.243721343,21.729915457
5.752400075,21.984008887
4.451290347,22.816848083
3.199201920,23.720741622
2.082141404,24.784190839
2.326457722,25.837892118
3.855187479,25.647078532
5.365731999,25.323282571
4.014694534,25.352939572
2.487347039,25.141155327
1.096089651,24.493865029
0.025804921,23.389182888
-1.376107736,22.761025765
-2.898324414,22.509129006
-4.442011627,22.471455937
-5.982517454,22.582200318
-7.509510665,22.814578432
-9.014237409,23.162997830
-10.482331167,23.642118498
-11.876341479,24.303947413
-13.272355009,24.928248609
-14.796765508,24.778567440
-16.170810368,24.086128599
-16.345550912,23.380947646
-14.995656764,24.128417798
-13.728188450,25.010927946
-13.330561085,25.752973781
-14.571685242,24.840113240
-15.630926297,23.717221462
-16.534568051,22.465329632
-17.362394374,21.163484978
-18.511707411,20.137981058
-19.843315982,19.357137010
-21.249214345,18.717407209
-22.685859998,18.149341427
-24.131344467,17.603979210
-25.569346645,17.039323423
-26.980089698,16.410176002
-28.327960148,15.657027626
-29.533989462,14.696220107
-30.422788539,13.442302751
-30.765770799,11.946746491
-30.567380526,10.420140399
-30.019285812,8.980394458
-28.780720334,8.319791269
-27.704975123,9.392666264
-27.131408274,10.818586214
-28.019421280,10.569046087
-28.899498857,9.300051823
-29.710901709,7.985373477
-30.469140590,6.639809983
-29.933000386,7.757232292
-30.297193637,9.087863922
-31.803266494,8.870608579
-33.141540631,8.117119121
-34.005605746,6.855728635
-34.291656334,5.343693969
-34.263024862,3.799949020
-34.144333134,2.259584282
-34.104255939,0.715935722
-34.351176405,-0.804095802
-35.137939268,-2.117435809
-36.419768051,-2.962086338
-37.887734261,-3.427853668
-38.629502993,-2.509052524
-38.167263393,-1.804130352
-38.987939491,-3.112631146
-39.475215952,-3.884666334
-38.215387589,-3.888957412
-37.930925310,-5.399124131
-37.636659067,-6.914796367
-37.196248496,-8.395206376
-36.648867460,-9.839604611
-36.003752789,-11.243065821
-35.255669127,-12.594324626
-34.385981189,-13.870340882
-33.357702267,-15.021134970
-32.110226214,-15.923689940
-30.623266842,-16.274279740
-29.173151242,-15.790571281
-27.710216414,-15.575557657
-27.509632507,-17.029565339
-28.100162853,-18.445886205
-28.002206226,-17.125745435
-28.439629253,-16.410178707
-29.262230712,-17.711855500
-28.807971256,-18.709700368
-28.514553334,-20.223876099
-28.091936972,-21.708717106
-27.500549050,-23.135302997
-26.683965031,-24.441304102
-25.539376914,-25.472173119
-24.208480936,-26.254621948
-22.837127441,-26.966051409
-21.518073918,-27.768805609
-20.321033373,-28.743100486
-19.287748799,-29.889695329
-18.411541780,-31.161446825
-17.630677917,-32.493723539
-18.072807168,-33.466556797
-17.590745365,-34.882584895
-16.283438778,-34.399465907
-14.835108760,-33.873167826
-13.318839708,-33.577845254
-12.699856716,-32.491099678
-11.458731957,-31.575727633
-10.126589010,-30.793591250
-8.699428578,-30.220425532
-7.166015561,-30.328004247
-5.635999443,-30.540171723
-4.095158026,-30.649356729
-2.550626080,-30.679395400
-1.016626035,-30.523195811
0.464664994,-30.089587469
1.879907202,-29.471745777
3.234610826,-28.729790421
4.538441966,-27.901386980
5.800518252,-27.010512569
7.028655613,-26.073327526
8.229536701,-25.101418905
9.408800146,-24.103364082
10.571483820,-23.086026295
11.722363062,-22.055343010
12.866183121,-21.016824930
14.008090319,-19.976202102
15.154234197,-18.940252867
16.312737587,-17.918167102
17.495762066,-16.924647103
18.724401994,-15.988472572
19.956982441,-15.057876559
20.997405533,-13.927318109
20.016407529,-13.459390047
18.868241347,-14.430954051
18.314206178,-14.390326363
18.578112684,-12.933373751
20.046418739,-12.945600297
21.392594743,-13.698711283
22.663707550,-14.576539088
23.891416006,-15.514260699
24.620869887,-15.161937513
24.508227361,-13.621180231
24.393043310,-12.082223023
23.709929718,-10.729640394
22.836333542,-11.094784349
24.226008076,-11.720901519
25.756843900,-11.897049390
27.222885663,-11.466562363
28.319919113,-10.394381195
29.057691450,-9.039870225
29.607005023,-7.596369646
30.083127397,-6.126655335
30.563204527,-4.658242409
31.114883046,-3.215540050
31.814386698,-1.839434183
32.697245054,-0.572540742
33.353052039,0.821091307
33.585410818,2.343075809
33.534640981,3.886690895
34.472459736,4.903533175
36.013885964,4.915710117
37.531876839,4.641410911
38.003345410,4.393710622
36.675164497,5.181154826
35.477005392,6.148532868
35.251440554,7.570828123
36.186870629,8.795428470
37.141662331,10.008570044
37.839139265,11.382619365
38.249388880,12.871617045
38.615051143,14.372656264
39.015292361,15.864514938
39.698564210,17.239229289
