x,y
40.785419107,18.309307662
40.809072280,20.052599284
39.791071331,19.396092039
40.462962771,21.139405537
40.041285862,22.277787829
39.427234194,23.255640153
38.601351307,24.077447444
37.759616137,25.291502957
36.711135523,24.785203468
36.195912722,26.496574763
34.420961962,25.908676649
33.617956424,26.660027548
31.425090664,27.002022392
29.313404253,26.982919840
28.151026950,27.855122447
26.245364039,26.735304699
25.243035680,26.693918311
23.325493439,25.853048600
21.724811706,26.289520410
20.075809576,25.033400846
17.925841836,25.144155823
16.326232737,24.444122857
14.390068443,23.649263322
13.682715676,23.608357058
11.956089517,23.997847353
10.666967746,22.696437295
10.045089807,23.384063548
8.774438678,23.122097697
7.514261974,22.829750125
6.927353727,23.564908245
5.503470851,22.958595673
4.281182730,23.597250837
3.226816122,23.808949175
3.902013704,25.327761070
2.765833982,23.455637923
0.679270901,24.111872181
0.581425984,24.463475804
-1.503533582,23.699149222
-2.104612027,25.262476170
-3.174164048,24.222132515
-3.942555177,24.328541311
-5.022569187,24.267227894
-6.904258727,24.637629832
-8.463028166,23.830980654
-9.170634301,24.509245230
-10.538166477,24.389444395
-12.148040874,24.487702981
-13.144648024,22.798963687
-14.835718019,23.957647242
-14.004188328,22.874047282
-16.104368527,23.397421649
-16.905075500,21.769852071
-18.133789879,22.124096964
-19.942216671,20.969574411
-20.740483427,19.441506037
-21.246937608,18.281107983
-23.002129382,18.625893975
-24.160929232,17.062269420
-25.286646122,15.979057644
-24.729083333,16.226613266
-26.656892902,15.037096137
-27.260400570,14.660358434
-28.235379855,13.093242263
-29.382273925,12.069262714
-30.493425769,10.414148969
-28.799818780,10.409342137
-30.778523280,11.483517681
-29.615439300,10.026419159
-30.082490564,9.430431292
-30.810484085,8.798474112
-31.916644094,8.811546252
-32.134612134,6.682760483
-33.334642906,6.425566640
-34.431610732,4.545437239
-34.192480868,4.346929387
-34.980414680,2.399875888
-34.870492622,2.194836449
-35.591664121,1.059243592
-37.128016985,0.601454331
-37.206279854,-0.920673622
-36.324894159,-2.955118453
-37.383163973,-2.303165076
-38.466380500,-3.109591186
-36.780715584,-4.302311881
-38.195281949,-4.610984941
-37.364348853,-5.411128731
-37.706977969,-7.232516056
-36.695480742,-8.136754522
-37.712215128,-9.113083379
-36.796770450,-10.141329910
-36.788490374,-10.548371928
-36.324485080,-11.016895787
-35.609395970,-11.631218013
-35.657528312,-11.844267750
-33.942300476,-13.186297118
-34.668335056,-12.634849278
-33.452421264,-12.963839751
-32.455054851,-14.165099207
-31.349294158,-15.148211752
-31.378853646,-14.632392682
-30.787042972,-15.685854596
-29.278113138,-15.367044698
-29.774791045,-17.097002572
-28.399147708,-17.988795890
-29.205572912,-16.966886855
-29.027220275,-18.494814070
-27.473376520,-18.912929047
-29.054839692,-18.996466433
-26.979211119,-19.527940807
-26.644167186,-20.855512513
-27.117237173,-21.679547328
-27.347253863,-23.880304502
-26.344322454,-22.971095083
-25.345424799,-23.717758097
-25.280749725,-25.789205850
-24.584749585,-25.608325913
-25.201885650,-26.983783896
-24.361743361,-28.992070889
-23.658712878,-29.534741545
-21.980251436,-29.353072434
-21.923634862,-31.478153841
-20.585102898,-31.416693383
-18.874485604,-30.808603888
-18.904146289,-32.793287867
-17.469525416,-33.388150409
-16.987440100,-33.259691797
-15.549311268,-32.308666311
-14.168073105,-33.606194433
-12.246584599,-33.501251231
-11.354290505,-32.498058130
-10.294024303,-32.097294305
-8.556699211,-31.973152091
-6.372255224,-31.863430293
-5.332575011,-30.941259830
-3.559314917,-30.949086440
-1.936718610,-29.534322597
-3.015442327,-29.993224160
-1.394736867,-28.908641014
0.870494809,-28.909996558
0.200848148,-28.282448239
2.115361357,-27.213928514
3.925041427,-26.423083528
3.633231484,-26.197905347
5.410898903,-25.560674233
6.931301444,-24.083540824
7.014474804,-24.066883420
7.476429675,-22.022416794
7.994849152,-22.216875775
10.115419263,-21.440504723
11.867111171,-20.559462102
12.935636187,-18.598288115
13.670481208,-18.761331754
15.005847239,-17.265181698
16.579708757,-16.384434700
17.311909718,-15.880496133
18.348784640,-15.960828874
19.973165723,-14.608142639
18.821546339,-14.845420254
20.858098771,-14.115099718
21.823905484,-12.122106242
21.571936576,-13.092121199
22.168238844,-12.072644036
23.927218402,-12.994876590
23.167244767,-11.905198977
24.469012255,-10.990319349
25.637269953,-10.836178524
26.043210239,-9.498881776
26.757537688,-8.664587067
27.630473219,-7.785847745
29.406663479,-7.711347563
29.280198860,-5.889296330
31.003722471,-5.360833592
30.623264621,-4.812054123
31.499782514,-4.994602314
32.400117870,-2.915617580
32.222532736,-3.878637201
31.940521199,-3.284424732
33.371961859,-1.962623350
33.135899203,-1.096009145
34.149137418,-0.753392158
34.378544747,-0.594549956
35.531607958,0.733216850
34.894635127,2.210117840
35.662960310,2.689623227
35.452011461,3.428788958
35.417294353,4.703289140
36.407144988,3.678354881
37.276281582,5.685529846
36.908210592,6.262154777
38.636764705,7.378716885
38.247493213,8.513850540
37.935855409,9.632826517
38.313670018,9.978232689
39.453284949,10.177624081
37.956430398,11.792905818
39.690799605,12.982797388
39.356273059,13.987915400
40.127403201,14.695615628
40.428934144,16.471956842
40.213549878,17.339140423
