x,y
40.785419107,18.309307662
41.022807878,20.025246729
39.344319803,19.198722119
40.505281102,20.299592839
40.302257178,20.475663583
40.692884144,21.939808665
40.026078981,22.621266856
40.055800292,21.885948985
39.752468189,22.266306931
39.780936035,23.234037850
38.832130013,23.258823590
39.332272114,23.957931244
37.964132947,24.201438639
38.129924487,24.971864491
37.615139289,25.327881653
38.177702462,25.118449739
36.079711621,25.142384137
36.221161379,26.551261833
35.219099831,25.587468055
34.201409696,26.673759930
34.524916351,26.775143839
33.038389401,26.728389303
32.844052896,26.834276791
32.612712915,26.925605124
31.794428907,26.895223021
30.841205178,27.272096612
29.059594817,26.716309496
28.905436539,26.516574137
28.266102150,27.766648174
27.147116218,27.399548440
25.886353387,26.546905552
26.219324507,27.010534999
25.772201250,27.028938917
24.360213769,26.154356864
24.310325957,26.182154138
22.260152006,25.470153711
21.709563423,26.291374186
21.589603814,26.241863940
20.499415073,25.750540504
20.392762587,25.292817659
19.564304655,24.901255396
18.357433602,24.888122515
17.155823109,25.228630648
16.903449529,24.765463768
16.799500777,24.851292904
16.250763435,24.355149547
14.952696375,24.204220854
13.564054733,23.229923603
13.167058185,23.355582975
13.598850393,23.277134619
12.543968731,24.478220115
11.981900743,24.032103521
11.072396401,23.370626419
10.510652931,23.208729753
11.043103592,22.308410167
10.266840023,23.434756406
9.124751878,22.386560258
9.006066639,22.913293905
8.589078176,23.235398525
8.900963983,23.084107152
6.818542103,23.354335225
7.058272190,24.094281567
6.920440722,23.537034573
6.788520634,22.665002494
5.014554494,22.887807141
4.647776272,22.692202625
4.740154410,23.467034332
2.946960567,23.079498187
3.479837040,24.285076887
3.942982791,25.627239406
2.436875766,23.383721572
0.341618104,24.236792728
0.554413988,23.924244479
0.084490601,24.183210791
0.488801726,24.451439428
-0.860809883,23.819023112
-2.397649925,24.223927367
-2.064609735,25.642312778
-2.605745615,25.226096485
-3.646773333,23.968015482
-4.600781554,24.272659138
-3.429764341,24.228800091
-4.898777978,24.177573696
-5.547005740,24.930799328
-6.912125246,24.637721831
-7.930295681,24.873192534
-8.535675708,23.793863169
-9.759520738,24.536176751
-8.778960089,24.411274884
-10.533571476,24.348355645
-10.415782891,24.148785857
-12.182647440,24.499859630
-12.413944157,24.555143402
-13.293463108,22.675443473
-14.952326522,24.156220567
-13.819838545,22.792975236
-15.799942384,23.492541964
-16.942497462,21.774369085
-16.591692618,21.751174883
-17.670365947,21.548546224
-18.143628802,22.132522935
-18.959161770,21.299431599
-20.898691826,20.493397670
-20.816717920,19.386378777
-21.466459779,19.498687919
-21.004999908,18.472277453
-22.137012430,18.535025000
-22.938518493,18.974063074
-22.991140659,18.712192533
-23.964377545,17.020973447
-24.549313207,17.105211912
-24.838215691,15.823560164
-25.405125004,16.119787070
-24.450623452,16.612618031
-26.961569578,14.813520327
-27.803483007,14.127460094
-27.199624419,14.698482143
-28.278314035,13.073313684
-29.569975125,12.857309511
-29.349217563,12.125094092
-29.658050893,11.873190807
-30.597294801,10.535991098
-28.666929835,10.129990029
-30.995975119,11.490790098
-28.980361997,9.172036230
-31.322340385,9.566491713
-30.435009818,8.256340631
-31.983373044,8.802094268
-31.932683513,7.597566818
-32.624671672,6.486186892
-33.031669758,6.639392486
-33.087371452,5.954292334
-33.275055850,6.383462941
-33.789211118,5.475229530
-34.167945133,4.752487285
-34.942629111,4.430445485
-34.869928500,4.984363474
-34.160849693,3.447658293
-35.846807259,2.036166967
-34.948491256,2.348536725
-35.638615199,0.631290001
-35.622254044,1.437840814
-37.084609342,0.369567893
-36.486463436,0.171603552
-37.032115275,-0.433736966
-37.204948041,-0.790990691
-36.351699244,-2.932187139
-37.540486163,-1.794346995
-37.366598813,-2.629440970
-38.725210226,-2.713046141
-36.742085361,-4.330727897
-37.347087518,-4.104582677
-37.967944426,-5.032199146
-38.175854822,-4.108789432
-37.647367501,-4.332563545
-37.289626395,-5.585819206
-36.925855355,-6.056791531
-37.428410270,-6.962059250
-37.815047104,-7.658946903
-37.167849556,-8.395754934
-37.175872048,-8.242837011
-36.803612257,-8.108520696
-36.252922568,-8.541670597
-38.105967272,-9.431527815
-37.662608987,-10.103361896
-35.829433874,-9.800486870
-36.913401595,-11.171256128
-36.214473061,-11.662293834
-36.360383681,-11.103787736
-34.972861483,-11.273751488
-36.735389185,-11.793946234
-34.999685679,-12.055586262
-33.744767850,-13.859357404
-34.731669562,-12.574937961
-34.981073013,-12.343074897
-33.460501044,-13.011559723
-33.669474897,-13.314511400
-32.328914767,-13.939464520
-32.471821010,-14.187410343
-32.773950481,-14.703468746
-31.993547623,-14.646126495
-30.952363166,-15.769387938
-31.283061377,-14.501446259
-31.316927432,-16.138762099
-30.420265774,-15.394023505
-30.214939565,-15.359792292
-29.398116227,-15.910983014
-29.281209408,-15.281890768
-29.450037551,-18.147589731
-28.089949184,-17.492725324
-28.725994575,-16.711642312
-29.503148943,-18.535209228
-29.266496247,-18.556005325
-27.818592056,-18.069560500
-27.705631017,-19.546230828
-29.058353258,-18.991006394
-27.767456185,-19.084074623
-26.885688786,-19.624262611
-26.682634723,-19.928844789
-26.660778203,-20.860120730
-26.933664248,-20.701959982
-26.186242523,-21.450586322
-26.222594662,-21.779469591
-26.465021471,-21.538746887
-27.450307765,-23.241116629
-27.002772329,-24.299734798
-26.376611200,-22.894928833
-25.992128609,-23.678631639
-25.012701528,-23.459973743
-25.544370026,-23.909024567
-25.274037590,-25.692149102
-25.500334699,-26.549035575
-25.477144561,-26.347426202
-24.247173382,-25.571299898
-25.326568459,-26.836724356
-24.870878859,-27.251984289
-24.054450264,-29.093611789
-23.126739025,-28.808345873
-23.689506938,-29.527593015
-23.423722051,-29.057624728
-22.782381500,-29.532112319
-22.064388217,-29.336332165
-22.074439486,-31.396907434
-20.789851933,-31.072621238
-20.296887106,-30.985804940
-20.553848777,-31.326211827
-18.788353539,-30.584948073
-19.375778378,-32.005269216
-18.205311562,-32.852307758
-18.060781912,-32.576056247
-17.458643547,-33.247242930
-17.964915279,-34.147850888
-17.024779854,-33.305512933
-15.853722584,-31.963032310
-14.319365575,-33.766074870
-14.062701697,-33.464635843
-13.715126189,-33.108780655
-12.432681401,-33.391201065
-11.413782472,-33.808790030
-11.286213615,-31.469704882
-10.385915499,-32.042310283
-9.688239422,-32.397649203
-8.996065749,-32.663027023
-8.645779129,-32.089040485
-7.904112740,-31.707190472
-5.957832290,-31.620052697
-5.998922683,-31.276467452
-5.234464586,-30.673270750
-5.375583288,-31.100107833
-4.705469153,-31.439902281
-1.934930995,-29.631498225
-2.436367712,-30.679162417
-3.045006737,-29.697832802
0.913290155,-28.691636201
-0.159174991,-28.242840022
-0.056886589,-28.259815953
1.629625159,-27.684525781
2.721481242,-26.971090778
3.311678468,-27.131092151
4.099637701,-25.277623382
3.615790178,-26.322720662
5.623158998,-25.439620941
6.274996617,-25.125942043
6.904393469,-24.319231879
6.773153702,-23.000187743
6.976823966,-24.048763339
7.489948272,-22.762805117
7.375141493,-22.207630112
8.537988223,-21.463750099
7.963369935,-22.193623556
8.919648260,-21.793970675
10.605583334,-20.989880716
10.825190995,-20.569672386
11.615181854,-20.678832451
12.429784855,-19.283311177
12.746682635,-18.961655105
13.201773361,-17.696376542
13.478970704,-18.730323140
13.586156462,-18.800435223
13.799002488,-18.355183201
15.011600926,-17.267384590
15.594385486,-17.577921584
16.615232863,-16.329480867
16.492751792,-16.822568047
17.433178881,-15.978133607
16.753054175,-15.793447577
18.299150070,-15.955087818
18.777884298,-15.950877737
19.989554992,-13.991274672
19.561682593,-14.182646975
18.793653539,-14.753115064
20.590312858,-14.358420131
21.722170278,-12.169222393
21.113844499,-13.518593786
22.485982071,-11.693501424
22.134046410,-12.149888654
24.480065481,-12.924195510
23.134686178,-11.815495907
24.102392742,-10.696063648
25.065678657,-11.864800132
25.729530836,-10.756322884
26.677379729,-10.390044572
26.015179795,-9.286222457
27.330574882,-8.933229545
26.327630832,-8.464352889
27.174398069,-8.225159655
27.385946829,-7.671969398
28.190103219,-8.277326638
29.524438811,-6.925584338
29.137677469,-5.757856961
29.639134869,-6.162810034
30.449689767,-6.103267256
30.943093857,-5.597189970
30.772753755,-4.001819558
30.742060066,-5.806369635
32.667190407,-2.365774304
31.779508557,-4.591863978
32.146619440,-3.133930224
32.517848828,-3.161006980
33.267619540,-1.707654648
32.301108022,-1.131061494
34.697683266,-0.974647709
33.523165679,-0.689439820
34.346127791,-1.168325500
34.319733086,0.110788533
35.567437340,0.716217670
