x,y
43.576847091,19.610971908
43.523802649,20.834410380
43.492239986,22.058626658
43.429586435,23.281424092
43.200085509,24.481760828
42.642551529,25.566328601
41.820282317,26.471155850
40.878032528,27.252658762
39.884151293,27.967935957
38.865278713,28.647289324
37.832729087,29.305699600
36.727237425,29.827002486
35.541363599,30.126770790
34.323762730,30.249945717
33.099616769,30.241051569
31.879908563,30.134219002
30.668710175,29.954334429
29.466921522,29.719371054
28.274065153,29.442457845
27.089055783,29.133605792
25.910604739,28.800558233
24.737339912,28.449651075
23.567884228,28.086235242
22.400882215,27.715006690
21.234998798,27.340276105
20.068894532,26.966234072
18.901226971,26.597106740
17.730631388,26.237384401
16.555705378,25.892089106
15.375016897,25.567080016
14.187149670,25.269442108
12.990793140,25.008131139
11.784968712,24.794982625
10.569601091,24.646255925
9.346901290,24.584128173
8.124261368,24.641044915
6.915273440,24.833958074
5.717180533,25.087152018
4.527534343,25.377609074
3.344254732,25.693080571
2.165047758,26.023486735
0.987665953,26.360352759
-0.189975544,26.696308184
-1.369745271,27.024698548
-2.553270983,27.339259828
-3.741880421,27.633994272
-4.936561493,27.903012428
-6.137914288,28.140398632
-7.346073662,28.340180962
-8.560624695,28.496333134
-9.780512416,28.602834570
-11.003958247,28.653797479
-12.228402804,28.643665869
-13.450486320,28.567323869
-14.666117282,28.420688185
-15.870669846,28.200976059
-17.059138494,27.906456728
-18.226593421,27.537342125
-19.368265696,27.094858778
-20.480209579,26.582213655
-21.559221311,26.003420514
-22.605142182,25.366668555
-23.620267167,24.681853101
-24.605023685,23.954015647
-25.560523759,23.188154243
-26.487617094,22.388121908
-27.387299084,21.557371597
-28.260640872,20.698964616
-29.108560356,19.815429242
-29.931906899,18.908944500
-30.731444489,17.981386618
-31.507840196,17.034369351
-32.261655865,16.069278466
-32.993341433,15.087300868
-33.703228551,14.089448922
-34.391489825,13.076558194
-35.058170492,12.049334462
-35.703221615,11.008392681
-36.326396811,9.954209109
-36.927160228,8.887094982
-37.504774500,7.807276436
-38.058212021,6.714872076
-38.586046233,5.609872588
-39.086245905,4.492097197
-39.556116383,3.361245219
-39.991772154,2.216788857
-40.387785207,1.058038285
-40.735950331,-0.115940360
-41.023308859,-1.306191912
-41.227509904,-2.513317717
-41.384082066,-3.727782851
-41.613241136,-4.930507721
-41.941179489,-6.109952177
-42.337440301,-7.268395421
-42.066775371,-8.411750493
-41.275334565,-9.345398572
-40.440900621,-10.241731479
-39.605308506,-11.136991513
-38.775436469,-12.037553879
-37.955206862,-12.946876184
-37.168492238,-13.885277615
-36.413478619,-14.849412744
-35.682594526,-15.831989916
-34.969929818,-16.827873972
-34.270817539,-17.833325752
-33.581383919,-18.845442811
-32.898374436,-19.861908433
-32.218964014,-20.880784362
-31.540662599,-21.900399260
-30.861186000,-22.919231085
-30.178368024,-23.935825701
-29.490181739,-24.948792540
-28.794627989,-25.956712936
-28.089652942,-26.958063941
-27.373227317,-27.951251335
-26.643270358,-28.934532305
-25.897531940,-29.905893649
-25.133608668,-30.863012213
-24.349125698,-31.803344505
-23.541150881,-32.723557524
-22.707006978,-33.620099420
-21.843493988,-34.488369600
-20.947280231,-35.322813134
-20.015121372,-36.116855271
-19.043752704,-36.862359163
-18.030200676,-37.549320719
-16.972767795,-38.166476609
-15.870862442,-38.700006405
-14.729881054,-39.144246721
-13.575180498,-39.552040469
-12.407159837,-39.919670455
-11.215845133,-40.200680137
-9.997755969,-40.234843513
-8.945487863,-39.648667837
-8.127439664,-38.737678451
-7.257369675,-37.876988886
-6.285019222,-37.133806242
-5.235834427,-36.503168183
-4.135839674,-35.965583565
-3.002362397,-35.502438848
-1.846088042,-35.099369895
-0.673890944,-34.745141989
0.507538883,-34.422902569
1.663359710,-34.019529682
2.781515041,-33.520829819
3.863371584,-32.947422519
4.911457659,-32.314266433
5.928782700,-31.632710857
6.918462413,-30.911557373
7.883343435,-30.157512125
8.825635380,-29.375401777
9.747729984,-28.569566010
10.651528736,-27.743252494
11.538655107,-26.899056680
12.410564553,-26.039147802
13.268557658,-25.165349387
14.113794925,-24.279203476
14.947311743,-23.382021950
15.770032741,-22.474927673
16.582649410,-21.558768629
17.385974108,-20.634450650
18.180747137,-19.702768121
18.967424775,-18.764239062
19.746656900,-17.819518763
20.518976583,-16.869138258
21.284733442,-15.913461525
22.044535523,-14.953043266
22.798622637,-13.988130909
23.547528839,-13.019191765
24.291542765,-12.046490598
25.031045372,-11.070355118
25.766411511,-10.091099369
26.497893450,-9.108938643
27.225912486,-8.124208205
27.950757328,-7.137138743
28.672746590,-6.147978547
29.392257786,-5.157014258
30.109636426,-4.164504952
30.825252769,-3.170724143
31.539510023,-2.175965991
32.252855422,-1.180553690
32.965790791,-0.184847650
33.678890080,0.810740987
34.392818305,1.805735285
35.108386640,2.799550520
35.826589320,3.791463286
36.548742752,4.780502687
37.276545145,5.765391108
38.012485572,6.744210087
38.760138187,7.714104388
39.511265755,8.681315725
40.249101565,9.658696939
40.968876347,10.649440839
41.662621363,11.658550414
42.314917921,12.694833258
42.888597943,13.776139885
43.246281361,14.941573084
42.884645076,16.083937315
42.956391342,17.262976933
43.354748339,18.406654879
