x,y
43.576847091,19.610971908
43.846398384,20.864335046
44.022366681,22.131301458
43.360205182,23.112691564
42.097571979,23.327044800
41.166448487,24.029310306
41.335508234,25.297218509
41.002339639,26.456492647
39.856364395,27.025796454
38.885889141,27.841242363
38.181834019,28.912465625
37.234657055,29.759444442
36.023567120,30.160049256
34.747156206,30.146709815
33.528187990,29.757444411
32.338981845,29.279027252
31.085247313,29.024337841
29.804232082,29.001063015
28.525704675,29.096058491
27.247093153,29.189303064
25.968161678,29.128425908
24.720559051,28.837528196
23.502282590,28.437954640
22.276933188,28.061327645
21.026896688,27.776539558
19.776343202,27.493818812
18.535544463,27.170698550
17.294023432,26.850402980
16.040544962,26.581461284
14.772237932,26.394880634
13.498339126,26.250627142
12.284242932,25.862655261
11.281729286,25.065690048
10.162238894,24.450669340
8.907435565,24.228111648
7.725571656,24.656233890
6.939556407,25.665178066
5.826555134,25.995773427
4.669713711,25.444187708
3.432910072,25.434732037
2.409974682,26.200521145
1.399967827,26.986107946
0.207135420,27.442703416
-1.061265885,27.623531522
-2.337079502,27.749971068
-3.591586661,28.010884328
-4.834776146,28.324246145
-6.100375539,28.525803827
-7.380608856,28.582494879
-8.661755573,28.533127228
-9.943041860,28.488507479
-11.224910118,28.514623678
-12.506879862,28.523337317
-13.782317975,28.401845654
-15.027612012,28.101320421
-16.213173969,27.616416010
-17.309465657,26.953590576
-18.396752743,26.276342138
-19.634240181,25.990557650
-20.915058075,26.044670984
-22.164587455,25.813114293
-23.234620152,25.114005695
-24.187295067,24.256089018
-25.152884964,23.412652320
-26.118514413,22.569292997
-26.993712470,21.633997808
-27.707131455,20.569511082
-28.414602143,19.500604482
-29.213200691,18.497972478
-30.081516040,17.554703041
-30.935188708,16.598447211
-31.642341410,15.531776297
-32.106121100,14.337584030
-32.631236162,13.171384335
-33.452703863,12.190907244
-34.426572524,11.357663716
-35.430339526,10.559982512
-36.228661971,9.572194823
-36.542630042,8.331295150
-37.023024287,7.150954556
-37.756364027,6.099400838
-38.259742882,4.930312927
-38.391763902,3.655747132
-38.628376023,2.398909691
-39.125358609,1.218221882
-39.714079931,0.079213565
-40.353667155,-1.031764055
-41.030663701,-2.119960868
-41.295222264,-3.356534115
-40.977552749,-4.593052297
-40.389302824,-5.731132861
-39.771942119,-6.854315947
-39.302910780,-8.046827792
-38.946780973,-9.278250647
-38.732205055,-10.541118163
-38.586417145,-11.814197077
-37.959673001,-12.896776366
-36.836817690,-13.511692400
-35.742722211,-14.178645726
-34.594253355,-14.732422258
-33.345011916,-14.546146137
-32.187998013,-14.884277480
-31.457911543,-15.933726436
-30.840546304,-17.057361251
-30.056520098,-18.068726728
-29.218303658,-19.038288028
-28.420683474,-20.041812391
-27.449264319,-20.871282003
-27.065454566,-21.988696808
-27.351060476,-23.237867247
-26.980347118,-24.421797687
-26.331017424,-25.515354011
-25.967342463,-26.742515251
-25.191493707,-27.757602284
-24.518555607,-28.830011002
-24.882254228,-30.032167203
-25.138807866,-31.222191032
-24.079525587,-31.919333593
-22.974078353,-32.561701487
-22.140094801,-33.528898153
-21.468022349,-34.620724625
-20.670982264,-35.623094098
-19.758907155,-36.523899549
-18.823265716,-37.400582141
-17.834284346,-38.213430463
-16.674609187,-38.751226538
-15.413870116,-38.961232797
-14.142065317,-38.823419080
-12.894562723,-38.527410029
-11.627505611,-38.345723856
-10.346453281,-38.391831852
-9.072408848,-38.283403718
-7.865815420,-37.858725541
-6.775322007,-37.187863764
-5.807308699,-36.348643603
-4.927009309,-35.416543141
-4.020109884,-34.511032214
-2.937130543,-33.839742699
-1.680579477,-33.857973518
-0.519469335,-34.400289473
0.540497531,-34.104402299
0.923105955,-32.882142139
1.450217548,-31.723488951
2.513165431,-31.034650689
3.745160902,-30.680905441
4.923403520,-30.188715260
5.896475077,-29.358103845
6.782706262,-28.431587898
7.769558075,-27.615353735
8.847975337,-26.922250098
9.937279881,-26.246046495
10.951782615,-25.465186978
11.675200233,-24.416141248
12.181040602,-23.238100155
12.866400709,-22.158288500
13.759897905,-21.240681776
14.758963039,-20.437582980
15.810818174,-19.705387993
17.011211460,-19.289887176
18.291296992,-19.327915752
19.344858227,-18.660560240
20.210785652,-17.718150323
21.373554531,-17.202597052
22.635493580,-16.977187161
23.857708319,-16.607636140
24.807765589,-15.759834143
25.606391123,-14.756818386
26.459823632,-13.800229472
27.375265282,-12.902777742
28.273753343,-11.989750649
28.956587868,-10.906419918
29.771982456,-9.931912709
30.967107243,-9.480099337
31.853009237,-8.637243709
32.099800493,-7.380069782
32.696018905,-6.278091326
33.838734584,-5.708163366
34.997368998,-5.169096054
35.378513208,-4.020612486
35.374390088,-2.748943086
36.216441884,-1.806952877
37.131386140,-0.924692373
37.137779589,0.333186783
36.943328179,1.597523724
37.281397498,2.819706240
38.195073427,3.694179361
39.147622756,4.447930873
38.981729003,5.709225350
38.678426181,6.953946746
39.146381492,8.033312950
40.386978127,8.341975042
41.550393241,8.806789184
41.474402532,10.048516888
41.123722691,11.280675751
41.328546293,12.515750578
42.053716871,13.572172447
42.800323872,14.614136706
43.318030179,15.780257132
43.449169544,17.053099094
43.459447065,18.335216548
