x,y
43.576847091,19.610971908
43.594185561,23.011607225
41.264548834,23.703982460
41.306625784,26.080194079
39.514281928,27.218136979
37.878663489,29.277487017
34.816337618,30.158569624
32.176816794,29.227878031
29.044304939,29.049980714
26.203746303,29.158670203
22.459784238,28.110586344
20.334140875,27.626634546
16.577350927,26.686863047
14.625639567,26.378773812
12.262967256,25.850082990
11.212767462,25.013575165
7.676238058,24.700177169
6.475655152,26.058917855
4.144845640,25.295902280
1.734497754,26.768519353
0.540503251,27.355064555
-2.625401712,27.794111398
-4.669999417,28.287498626
-6.903265390,28.578650101
-9.831297564,28.489276395
-12.940373023,28.501503567
-16.853171458,27.255728701
-19.043616319,26.047621326
-21.563559965,26.000949389
-24.363187527,24.095799237
-27.080980906,21.520495043
-27.979221174,20.135399600
-29.448379023,18.232401126
-31.703261032,15.406626520
-32.452933388,13.482798155
-35.093669104,10.834094796
-36.149782247,9.736834937
-36.698952187,7.782163525
-38.132280577,5.390863602
-38.468024059,3.032135617
-39.368890741,0.738635048
-40.440599417,-1.168144533
-41.248651132,-2.693920475
-40.807316260,-4.968663794
-39.893057397,-6.607749727
-39.098491851,-8.710790464
-38.754631973,-10.325758973
-38.255895655,-12.608565594
-36.595760210,-13.639774111
-34.027720556,-14.746196859
-32.962734800,-14.485434635
-31.510360401,-15.840742374
-30.582397562,-17.446226936
-29.528412388,-18.654471152
-27.613695753,-20.763662913
-27.217533896,-21.052731811
-27.340101804,-23.743194309
-26.508120570,-25.076993824
-25.941761294,-26.794199895
-24.506707390,-29.094765059
-25.226033261,-30.990772815
-23.301999606,-32.325039355
-21.381338626,-34.749873955
-19.061859174,-37.173984256
-18.008806473,-38.095549547
-15.223601845,-38.961592475
-11.731694255,-38.349525136
-9.972347264,-38.393843539
-5.834199634,-36.375269244
-1.807493180,-33.816408982
0.129941109,-34.527729524
1.303725566,-31.927431852
4.584599063,-30.379719084
6.983594327,-28.240657485
10.084199971,-26.148226152
11.302833617,-25.064513268
12.260035984,-23.077318964
15.066514380,-20.210326706
17.022689007,-19.289113291
18.531232663,-19.282058215
20.187253000,-17.736722421
24.016027609,-16.515261310
25.221487195,-15.233231386
27.220660686,-13.046575138
28.426761287,-11.787877390
29.857386220,-9.878619207
31.542606487,-9.171000223
32.431677476,-6.546054591
35.347323285,-4.713728709
35.368946547,-2.764326403
37.138700250,-0.909962365
36.943349286,1.532065233
38.247884446,3.720386761
38.905259344,4.029007872
38.804764512,7.771111573
41.514851403,8.759291361
41.103380867,11.910981094
41.466727085,12.744139850
43.185553678,15.353569153
43.248083395,17.828270677
