x,y
33.225253781,30.352988466
30.216384302,32.144316717
27.072440405,31.533091308
22.725033455,31.251627256
18.160742995,31.346115421
14.019122536,30.131496791
9.375017423,30.142010488
4.600784873,28.019931573
-0.483991289,26.532783532
-5.405692362,24.328512995
-9.301036004,21.557420811
-12.405821574,18.591826618
-14.818670789,15.889031241
-18.508402710,12.922013536
-22.222607267,9.617359080
-25.896151605,6.180816378
-27.735567940,3.152958159
-28.835873761,-0.357733757
-31.142941054,-4.509413134
-33.726936561,-8.579018664
-34.459792986,-14.201019153
-34.487140331,-18.696164726
-34.906966288,-23.567155847
-34.540729713,-27.177159605
-32.916512462,-29.420633282
-30.853174644,-31.947851112
-28.971046635,-34.232711241
-25.060268727,-33.186394812
-20.590775355,-32.461591255
-15.579804806,-32.195512495
-10.987316001,-29.202011923
-7.410644835,-27.151920165
-4.397787908,-26.039036609
-0.499727850,-24.885818138
3.952486142,-22.711322830
7.900205120,-21.832744290
10.802879179,-19.927761048
15.943453353,-17.479249733
19.033356766,-14.499087799
21.927318789,-9.593710801
25.287135333,-4.973522428
28.547914848,-0.286966076
29.750103157,3.651798055
31.073937894,6.312060827
32.200555863,9.621942793
34.388229398,14.732629371
35.007894473,17.940128476
36.086586923,21.064707147
38.002891248,25.352226149
36.087738965,27.359670735
