x,y
37.627485687,17.835637094
37.899369056,18.437300709
37.146728292,19.360116598
36.758355745,20.497918946
36.089191001,21.471055870
35.420804524,22.420898937
34.277279321,22.716458175
33.317112110,23.438819929
32.365174121,24.162657688
31.512734559,25.009792998
30.442905892,25.535856552
29.282934659,25.850082366
28.317343709,26.542214413
27.564733470,27.254547222
26.512956111,27.762427508
25.384933525,28.141171065
24.278149504,28.609851069
23.096118970,28.753033865
22.149401899,29.336587638
20.977398590,29.119321866
19.828098555,29.134233345
18.826958349,29.795360435
17.640221153,29.734543574
16.446399457,29.815703083
15.294686968,30.157401960
14.124547380,30.006259202
12.971938089,29.663595366
11.817434404,29.826619809
10.756079205,30.125988103
9.564181189,30.226193657
8.365009002,30.138769579
7.166518851,30.039355223
5.996181352,29.774195706
4.863990407,29.368823520
3.731254896,28.965038024
2.556538349,28.728102120
1.390430462,28.993972601
0.462649814,28.582790157
-0.620560650,28.609532679
-1.666150375,28.227391754
-2.746510231,27.742090428
-3.924817361,27.509014657
-5.086826056,27.199399259
-6.280863878,27.078115234
-7.446082614,26.828242322
-8.367491911,26.064903522
-9.176306434,25.175396658
-10.126957655,24.440887342
-11.230919474,23.984490567
-12.398832417,23.713536882
-13.570457274,23.870682080
-14.536182091,23.480287832
-15.045253562,22.448781303
-16.171332047,22.027340318
-17.234602832,21.468052040
-18.249705035,20.823522218
-19.332318162,20.300917033
-20.282763629,19.573199747
-21.007619648,18.637380468
-22.141015149,18.290840995
-22.791598083,17.281678279
-23.660766809,16.786747472
-24.204959448,16.367506464
-25.118560945,15.880706837
-26.090172551,15.229095671
-26.828416830,14.279764163
-27.592715797,13.352075211
-28.444462291,12.503249599
-29.331049665,11.690641590
-30.230775428,10.892558532
-31.130772368,10.094780721
-32.017127181,9.281929031
-32.861188822,8.425642027
-32.705143818,8.214197289
-32.897488995,7.449815614
-33.634263881,6.499876590
-34.439225145,5.606384046
-35.235261285,4.704967345
-36.021926014,3.795243038
-36.783475044,2.864534997
-37.472937269,1.879853308
-37.920257015,0.773866722
-37.177977096,-0.036158651
-36.962678745,-0.856953539
-37.914122253,-1.571342195
-38.584961604,-2.502610006
-38.535240197,-3.702791417
-38.862053917,-4.815890404
-39.250811755,-5.928605797
-39.870856470,-6.949109418
-40.059606760,-8.094790406
-39.489450203,-9.151328852
-39.774747556,-10.250992611
-39.827738119,-11.400985441
-39.871898586,-12.598631519
-39.964767738,-13.782519715
-39.600134429,-14.926295085
-39.075233394,-16.003509388
-38.218875396,-16.822986404
-37.588211675,-17.830781028
-37.280285261,-18.986438964
-36.718623260,-19.890387258
-36.404395775,-20.999543270
-35.767830904,-21.986180622
-34.879588698,-22.676568514
-34.233421075,-23.487828191
-33.270110627,-24.051385846
-32.451572877,-24.907712039
-31.276344927,-25.118930530
-30.231893815,-25.603556929
-29.449444920,-26.511916472
-28.317419012,-26.874972303
-27.241168091,-27.403363327
-26.206918131,-28.014251712
-25.026287263,-28.064977469
-24.210305149,-28.757640720
-23.173904172,-28.560400578
-22.878734117,-28.959588659
-21.745679097,-29.026107747
-20.634512246,-29.417145377
-19.521794765,-29.842531192
-18.475582079,-30.432925221
-17.328501017,-30.333250783
-16.380791014,-29.595051572
-15.939030204,-30.590328268
-14.871670829,-30.316673087
-13.699697235,-30.057181853
-12.507133304,-30.066515825
-11.590823934,-30.829010314
-10.814380462,-30.167924688
-10.037402628,-30.619953180
-9.899451372,-30.520073202
-8.789935002,-30.056199000
-7.667390005,-29.624573533
-6.538134158,-29.210823213
-5.395382911,-28.836094709
-4.243559203,-28.490095642
-3.087236843,-28.159403237
-1.928435782,-27.837491609
-0.768298532,-27.520424969
0.392449207,-27.205599166
1.553292720,-26.891126497
2.713828362,-26.575520001
3.873716143,-26.257541560
5.032636087,-25.936054684
6.190300628,-25.610077346
7.346387442,-25.278549614
8.500579648,-24.940486999
9.652523885,-24.594844051
10.801781584,-24.240373649
11.947897506,-23.875876890
13.090302418,-23.499914851
14.228251827,-23.110681288
15.360923209,-22.706354006
16.487126998,-22.284357490
17.605404842,-21.841802113
18.713745414,-21.374941049
19.809335738,-20.878930799
20.887972764,-20.347118100
21.943376450,-19.770672426
22.965156425,-19.136710769
23.934841261,-18.425978873
24.816126938,-17.609065882
25.531107255,-16.645512216
25.951986786,-15.522631090
26.277003980,-14.364718004
26.559045030,-13.195801428
26.283267399,-13.443064891
26.543834233,-14.178815761
27.366807595,-13.310691622
28.181792698,-12.431903210
29.248141973,-11.879831590
30.042558807,-10.998456320
30.890774297,-10.149463716
31.682744934,-9.267323932
31.956762567,-8.190015244
33.024490064,-7.641383424
33.588852737,-6.618399031
33.955567620,-5.482148507
35.017844699,-5.033763877
35.831717020,-4.208761970
36.204601275,-3.102558787
36.759627638,-2.039485563
37.289093616,-0.960147128
37.670268492,0.178924581
37.953027131,1.345682152
38.699271864,2.261627359
38.974916520,3.403349210
39.306893138,4.556790778
39.166415121,5.743934343
39.065803276,6.930565379
39.359423460,8.094952382
39.860938980,9.176893029
39.915109076,10.375758713
39.813735350,11.573984676
39.504066563,12.724812754
39.094911248,13.848680269
39.077910841,15.049971361
38.996922735,16.246143937
38.173785497,17.081941547
