x,y
37.918588799,26.566694691
36.914746649,27.436430482
36.005460802,28.382496087
36.195085541,29.672818302
35.002909451,29.702148267
33.823514555,30.272325795
32.746086812,31.055018167
31.878348939,32.035007037
32.408910030,32.500834704
31.152833777,32.944023461
29.951575253,33.514704299
28.860644235,32.937169913
27.678443901,33.033974724
26.706449660,33.853878345
25.509700428,33.768241009
24.347157299,33.143699023
23.029097464,33.019853623
22.958862426,33.941151972
21.663396534,33.696505758
20.365330162,33.438797625
19.102461064,33.853734450
19.119941196,33.977632547
18.318425592,33.299790241
17.099277641,33.743733247
15.865550383,33.373681038
14.561842280,33.121058944
13.268183398,32.818169126
11.985794068,32.510553059
10.726388876,32.104711813
9.512547348,31.643171061
8.372402518,32.250785562
7.567258942,31.216337048
6.312125232,30.796580344
5.052820496,30.469637250
3.889501842,29.869083674
2.723660758,29.308179340
1.471413005,29.509097432
0.544063659,29.290343308
-0.464027736,29.261599639
-1.220734411,28.165695755
-2.331435408,27.515034508
-3.516541559,26.953583369
-4.645482485,26.270867406
-5.953805014,26.024095789
-7.223087240,25.998930874
-8.391827077,25.500772685
-9.683993678,25.190022634
-10.890791167,24.628415485
-12.038238304,23.952489957
-13.137253647,23.200251613
-14.179091743,22.370883922
-15.103562924,21.415309354
-16.110899412,20.905329711
-17.173820271,20.636529774
-18.257522475,19.862089186
-19.421058159,19.219372782
-20.586492919,18.581112312
-21.312726745,17.492651871
-22.486170756,16.888717472
-23.329517012,15.913228261
-24.347165064,15.059659323
-25.400188140,14.245822635
-26.538736868,13.554923174
-27.689017723,12.891086368
-28.801419513,12.250349906
-29.466700977,11.136517980
-29.900129235,9.881297980
-30.406513298,8.718289821
-31.523666662,8.124710190
-32.488377949,7.227693612
-33.378912046,6.259039810
-33.946378673,5.054497281
-34.543598947,3.865336239
-35.478536435,2.926632773
-36.298269510,1.879903461
-36.475119101,0.572154599
-37.092382597,-0.599144750
-38.081639117,-1.483935017
-39.001062142,-2.389147739
-38.472266163,-3.516642839
-38.809709305,-4.765170598
-39.190766914,-6.041157102
-39.693493289,-7.274281260
-39.969411013,-8.567957137
-41.126678946,-9.175844300
-40.241999262,-10.071835058
-39.494494516,-11.122044072
-39.266227706,-12.388310432
-39.660075788,-13.659712982
-40.036882904,-14.936272887
-40.323288349,-16.080909482
-40.517480790,-17.320868048
-39.564099192,-17.735365314
-39.486897725,-18.679080162
-39.029193700,-19.651538237
-38.969569304,-20.968428138
-38.174657011,-22.030347425
-37.212289398,-22.928304995
-36.736742916,-23.850366014
-36.712090579,-23.838772814
-36.403161444,-24.081271136
-36.364690896,-25.283436693
-35.544453014,-25.054081341
-35.054861833,-25.755327772
-34.349156852,-26.875115409
-33.391934786,-27.799755108
-32.338853995,-28.614801475
-31.230087024,-29.352632971
-30.081201332,-30.026405379
-28.899037713,-30.639938430
-27.686141935,-31.190169328
-26.442214851,-31.665880946
-25.164749565,-32.041492552
-23.851599401,-32.256220269
-22.555264986,-32.530116181
-23.104963217,-33.351848769
-22.414250461,-32.662258564
-21.418629584,-32.970288433
-20.684646266,-33.861715134
-19.361617203,-33.913633136
-18.074997240,-34.257912907
-16.758117829,-34.433871000
-15.443029519,-34.244501006
-14.121230308,-34.085925951
-12.790994915,-34.017555742
-11.461369726,-33.939405407
-10.150700414,-33.715232283
-8.995384126,-33.081048535
-8.066127737,-33.670290433
-7.082162046,-32.772626238
-5.965237161,-32.073901481
-4.852661191,-32.725855187
-3.605894768,-32.295648515
-2.338722488,-31.886602149
-1.060261198,-31.524821250
0.206172276,-31.121568927
0.639742868,-29.903695319
1.848374539,-30.314824751
3.077345654,-29.833652005
4.290132998,-29.282872670
5.508254302,-28.743889817
6.721306272,-28.193619873
7.924101411,-27.621309384
9.112731565,-27.020162680
10.278203862,-26.375747932
11.375756236,-25.621819220
12.413493052,-24.787019408
13.409232359,-23.902371003
14.377413783,-22.987564844
15.331333394,-22.057859813
16.286340470,-21.129277603
17.266630718,-20.227612709
18.327675821,-19.424520671
18.701955356,-18.739796022
19.479877881,-17.721040363
20.770444989,-17.404424760
21.564247944,-16.607088834
21.966526413,-15.726993715
22.838041107,-14.831695125
23.429761116,-13.692913745
24.554957578,-13.396295781
25.507139100,-12.527573320
25.877988834,-11.366712393
26.757003450,-10.370316078
27.780516084,-9.518580040
28.286608448,-8.319827868
29.447375199,-7.680356986
30.576003144,-6.993645956
31.213310111,-5.879728516
32.086131945,-4.914001085
32.952188301,-3.909302550
33.574607198,-2.732055477
34.376974315,-1.676996477
34.707092099,-0.404575712
35.374201658,0.672161064
35.617975492,1.925564694
36.592233338,2.518760653
36.955926196,3.761523590
36.914188094,5.053883393
37.153495979,5.151241824
38.090653742,6.097349297
38.829353706,7.020429584
38.150703063,7.875533444
39.123123103,8.784921984
39.680155539,9.957986590
39.752848493,11.287174800
40.012837754,12.525664802
39.522023236,12.534768521
39.930034622,13.779250196
40.327455167,15.041430120
40.522640122,16.233539807
40.634094981,17.431578742
40.296010654,17.864550699
40.458915530,18.758791852
40.822172323,19.653520453
40.358831112,20.689826462
39.758729294,21.872223077
39.466691193,23.160731145
39.367109276,24.488396354
38.701828189,25.610639911
