x,y
38.007081244,17.847620300
37.899061667,18.497907061
37.668224488,18.785206324
37.359545972,19.047231511
36.802523550,19.364774234
36.785321192,20.002826452
37.077992234,20.075832154
37.071309532,20.064803562
36.461415018,20.303027678
36.096352089,20.728244910
35.600267592,21.045130428
35.280719654,21.546744745
35.454087278,22.156182310
34.835249959,22.397521044
34.216412640,22.638859777
34.755706660,22.947761643
34.172393384,23.022334047
33.774448023,23.432667125
33.670476651,24.084968504
33.202906438,24.507285754
32.547652291,24.609104218
31.922172213,24.766868430
31.489747490,25.197258296
30.921229869,25.536729824
30.711434038,26.001650357
30.080789984,26.177603266
29.543107983,26.418205799
29.214072763,26.642963323
28.733467641,26.412095055
28.356905972,26.959274479
27.851902588,27.339501679
27.231855326,27.231280510
27.144953160,27.278480195
26.606844915,27.653687944
26.157748373,28.137400821
25.682234166,28.511073851
25.598484524,28.027273101
25.167942611,28.533077089
24.627073971,28.590162820
24.002162956,28.593323129
23.573024485,28.385949995
23.138940349,28.768138334
22.555895105,28.997462201
21.913284643,29.051682211
21.249106062,29.055655231
21.022726137,29.573851520
20.502138666,29.588410959
19.950602609,29.556001763
19.363576329,29.866813859
18.721172644,29.890498828
18.115975717,29.959710608
17.537770476,30.286639823
17.127589401,30.151643477
16.718210227,30.172510286
16.145154970,30.477638254
15.498972525,30.608919409
14.898522823,30.379868741
14.332647929,30.033720024
13.760758734,29.695863899
13.644346903,30.276155277
13.388289273,30.678087463
12.743179418,30.519855710
12.166243161,30.280984894
11.725304289,29.912818634
11.064695272,29.843538483
11.187790343,30.207243907
10.924512702,30.103401504
10.373674951,29.732211816
9.726340892,29.809893495
9.068852518,29.891369936
8.482690186,30.094496048
7.825453120,29.998353175
7.188000212,30.004786421
6.618932514,30.146730132
6.133574366,29.711151121
5.581986955,29.341316151
5.015606845,29.086090395
4.373745024,29.257021419
3.775141358,29.542321901
3.254102598,29.440386588
2.695742922,29.286439250
2.249920628,28.794050689
1.844309385,29.072803086
1.204387913,28.894745449
0.548686812,28.817058234
0.038375658,28.391868231
-0.579239811,28.323563936
-1.241989475,28.367796683
-1.894077539,28.260775044
-2.512190186,28.030844910
-3.137170921,27.816473282
-3.781779218,27.656210511
-3.660008109,27.850872230
-4.167122014,27.421873978
-4.661304835,27.367162543
-5.047623546,27.324844932
-5.416021355,26.846174341
-6.071915097,26.780601830
-6.647101622,26.448390340
-7.248569206,26.166969408
-7.776588071,25.766378127
-8.349537740,25.545778531
-8.915075108,25.287770281
-9.530619133,25.129209439
-10.166324771,24.949577452
-10.806287616,24.949383420
-11.455307651,25.089702941
-11.888053064,24.843695482
-12.183672046,24.301025059
-12.796964695,24.046213984
-13.439289713,23.951571265
-14.098787035,24.030737506
-14.456138499,23.558485992
-14.791086254,22.985513965
-15.343685867,22.663482766
-15.905331294,22.308858419
-16.457197224,21.939658289
-16.998293976,21.554407309
-17.137320233,21.475786841
-17.735230253,21.255319667
-18.094449458,20.696601872
-18.520592456,20.194485711
-19.086396741,19.982403989
-19.745511452,20.064694999
-20.029242760,20.014518557
-19.841177397,19.648288389
-20.379814907,19.262564106
-20.997843413,19.019161602
-21.634050382,18.829600196
-22.098645035,18.508282330
-22.275720678,17.873304241
-22.729122974,17.621453465
-23.355952732,17.615590941
-23.777856356,17.104810080
-24.155977183,16.558771160
-24.613050503,16.131186552
-25.268000268,16.020530248
-25.696095354,15.526932669
-26.157194009,15.290810770
-26.241887553,14.632000467
-26.635314593,14.844635849
-27.070286159,14.342636099
-27.505257726,13.840636350
-27.760536742,13.389274655
-27.564396804,12.754662067
-28.119232932,12.804537404
-28.769259192,12.941175154
-29.062761746,12.363815622
-29.072672367,11.877816062
-29.641720330,11.535196114
-29.955675777,10.953091511
-30.403612902,10.479032626
-30.983217302,10.154590409
-31.344762475,9.620093304
-31.568853120,8.994803455
-31.505106061,8.742467275
-32.039518231,8.347995927
-32.573930402,7.953524579
-32.968775753,7.647453213
-33.424050522,7.171281053
-33.796446814,6.644794069
-33.809093125,6.106017905
-34.390712431,5.804051951
-34.716899360,5.242131520
-34.852245477,4.634185702
-35.410592114,4.290173676
-35.594076612,4.056893530
-35.766096069,3.502216166
-36.001580877,2.886082692
-36.229444227,2.516770101
-36.686486746,2.034778246
-36.912676887,1.474003676
-36.993209623,0.823216422
-37.156003833,0.451040629
-37.657808838,0.179076711
-37.687437946,-0.484494030
-37.962148525,-1.053796735
-38.027520139,-1.250781575
-37.754131215,-1.202562995
-38.131660205,-1.706513071
-38.387467262,-2.196633996
-38.597140043,-2.766803397
-38.953483331,-3.310018431
-39.108235204,-3.952222695
-39.269735215,-4.539595312
-38.960139918,-4.765363776
-39.125811834,-5.359918528
-39.607174887,-5.817623263
-39.163963480,-6.209571219
-39.476887782,-6.768748048
-39.790601190,-7.353471282
-40.045749589,-7.960558287
-40.205998570,-8.605170012
-39.979997433,-9.096245426
-39.782552563,-9.483502850
-39.910201536,-10.021122950
-39.573696479,-10.593808169
-39.803378236,-11.164144188
-39.891473507,-11.769630535
-39.775618581,-12.348870649
-39.380240066,-12.647615563
-39.152027319,-13.021096046
-39.200909033,-13.646229478
-39.019013543,-14.276097578
-39.021321972,-14.940325463
-38.771463331,-15.177390582
-38.658979288,-15.236236033
-38.970996889,-15.709704389
-38.763281332,-16.080529747
-39.130221043,-16.634207686
-38.644202515,-16.621960727
-38.698894732,-17.222387228
-38.255081009,-17.652266957
-37.661829890,-17.831715357
-37.388216294,-18.393486188
-37.622925132,-19.009608412
-37.196300570,-19.390317661
-36.624034486,-19.555900760
-37.198584516,-19.889211838
-37.073300095,-20.357262142
-36.545414087,-20.760425105
-35.931320441,-20.989170794
-35.891860751,-21.436201105
-35.551724452,-21.685259669
-35.579691986,-21.737121525
-34.972530707,-22.006489662
-34.698010744,-22.570960822
-34.589186237,-23.211724625
-34.060216758,-23.597129453
-33.664411311,-23.726399918
-33.546072056,-24.306929487
-32.898373307,-24.159653074
-32.799551634,-24.575286793
-32.239787202,-24.796398464
-31.583542016,-24.898171745
-31.191286713,-25.335746483
-31.033448168,-25.886196847
-30.519899822,-26.307471234
-30.090350504,-26.212102206
-29.601004278,-26.523559311
-29.067903389,-26.457541052
-28.752951425,-27.042356641
-28.221920288,-27.195648761
-27.695235966,-27.307310284
-27.477446034,-27.358316501
-27.051274742,-27.867808447
-26.621640352,-27.819108763
-26.220612147,-27.941478140
-25.840782242,-28.486393964
-25.431405572,-28.379469984
-25.037485701,-28.895834022
-24.596481989,-28.808002720
-24.070009987,-28.632377694
-23.429205421,-28.787782009
-23.007474476,-29.270427356
-22.394394957,-29.079912743
-21.760639029,-28.963955657
-21.255450610,-29.220577493
-20.866772846,-29.558576994
-20.486474795,-29.214679222
-19.947028493,-29.218872366
-19.538444905,-29.580072807
-18.885006782,-29.460814131
-18.446065622,-29.928586604
-17.836201618,-29.763923302
-17.240865380,-29.991223830
-16.723914907,-30.108453575
-16.097263701,-29.969037178
-15.527384251,-30.033369387
-14.879572987,-29.886588671
-14.343155313,-30.137566511
-13.776982137,-30.252718619
-13.382309783,-30.163478592
-13.570557940,-30.318031262
-12.909422095,-30.253973425
-12.251800248,-30.170804157
-11.687851295,-29.953747795
-11.154287034,-30.349365276
-10.589156450,-30.064118777
-10.021276328,-29.719566633
-9.803890672,-29.575376059
-9.233922155,-29.888491291
-8.569697816,-29.885322907
-7.943393840,-29.996136104
-7.284788213,-30.082406849
-6.726601155,-29.832811214
-6.281144070,-29.750636272
-5.928398029,-29.979735412
-5.490507467,-29.496706559
-4.891638829,-29.325599077
-4.237758657,-29.376877114
-3.575759190,-29.323546912
-2.923317895,-29.259025844
-2.327977545,-29.133655012
-1.699570571,-28.946820125
-1.037870305,-28.896826704
-0.436994074,-28.636650907
0.200590676,-28.520205778
0.664685011,-28.203819400
1.328794368,-28.216577677
1.772368236,-27.947106182
2.372758001,-28.054872923
3.016828882,-28.035353307
3.634263316,-27.799311856
4.249157894,-27.549632009
4.806285477,-27.215585416
5.280463980,-26.750441610
5.557708711,-26.811684978
5.754768849,-26.229835674
6.418967027,-26.236528400
7.063548782,-26.093992923
7.685529474,-25.866242786
8.284210419,-25.768727302
8.792610162,-25.772250967
9.333327100,-25.514541716
9.996627976,-25.479385479
10.633602650,-25.330814742
11.148209653,-24.910834212
11.743743059,-24.654480873
12.300757071,-24.323532895
12.873082373,-24.039599217
13.406724825,-23.971646763
13.784362057,-23.646530569
14.358657770,-23.312781492
14.702354733,-22.758601257
15.236841623,-22.586008568
15.637453531,-22.347364398
15.738187936,-21.763098280
16.372885934,-21.677987274
16.957454909,-21.362577817
17.571045469,-21.271373788
18.160788427,-21.065454855
18.668058347,-20.636641095
19.265908990,-20.348528381
19.513863967,-19.803203094
19.882028573,-19.530941441
20.379460762,-19.143574733
20.907334259,-18.740955725
21.535168694,-18.524096476
22.192444502,-18.538158263
22.575982643,-18.147955076
22.591363381,-17.486737963
23.071290599,-17.031354807
23.614751413,-16.652443325
24.165840709,-16.623914014
24.674311794,-16.500804313
25.156697314,-16.045760892
25.419345886,-15.435662752
26.000919498,-15.164382487
26.195090393,-14.563561979
26.587367448,-14.031838561
27.137595382,-13.714415897
27.778196914,-13.539989169
28.239861333,-13.151069163
28.634487169,-12.626542241
29.063680674,-12.128740170
29.635110343,-11.790107411
30.061370489,-11.293996705
30.452322929,-10.757531580
30.812033702,-10.420470363
30.801301294,-9.756325177
31.284752640,-9.327760919
31.892408251,-9.085701332
32.494576579,-8.815832852
32.768773752,-8.313142736
32.664648821,-7.661834212
32.514318214,-7.040774672
32.991759195,-7.502569130
33.353208441,-7.095378170
33.737375090,-6.560150744
33.725665225,-5.905529833
34.211645645,-5.521694133
34.741568479,-5.133799726
34.934088639,-4.538420854
35.215723499,-3.993761496
35.699692469,-3.538813094
36.145124191,-3.370653676
35.877516077,-3.005119260
35.900670352,-2.495928010
36.446002061,-2.238283684
36.789981852,-1.749137106
37.417590801,-1.531626141
37.718173654,-1.201527209
37.357474928,-0.643763422
37.225420224,-0.067508518
37.650662218,0.320011330
37.916736091,0.894422790
38.019227385,1.546538057
38.034681393,2.169487849
38.557151529,2.534567449
38.721233284,3.178214239
38.856032324,3.808034734
39.174031979,4.391198718
39.186179431,4.997044193
39.164473343,5.651466421
39.487403220,6.167944058
39.285019559,6.740952365
39.420022886,7.090772368
39.472947415,7.414431833
39.312847950,7.882337396
39.377614514,8.186583340
39.703099318,8.765602903
40.026854566,9.337673689
39.448444927,9.664241143
39.513187710,9.949531405
39.881477594,10.264728456
39.683323044,10.849945647
39.765472508,11.509078014
39.769412213,12.140742771
39.875729984,12.543799698
39.579622018,13.034211449
39.165885737,13.552937282
39.357564366,13.977145005
39.570259210,14.521548573
39.190765623,15.000980029
39.073550679,15.639746523
39.266208862,16.275424772
38.661719714,16.392310373
38.499496046,16.682803586
38.402192307,17.318003942
