x,y
38.519302505,26.627947922
37.932962359,26.973498807
37.929940200,27.422284459
37.979644952,27.690627977
37.344710888,27.491834016
37.287513041,28.061983121
37.094289611,28.714566362
37.155863055,28.165586254
36.658282561,28.502828015
36.117056164,28.915470920
36.122024015,29.079565922
35.735381856,29.259540999
35.065517844,29.379883784
34.942883281,29.821511530
34.844922820,30.362767895
34.551762684,30.854312309
34.019532117,30.894829136
33.523397803,31.250716196
33.080037280,31.550953555
32.497126744,31.199648150
32.238633535,31.747885096
31.700706517,31.814260511
31.247413844,31.904914103
30.950261240,32.198693368
30.283234577,32.265525724
30.256913785,32.748701691
29.824400457,33.007795636
29.304225486,32.734137201
28.735451861,32.647741813
28.165315169,32.966701473
27.694025831,33.454336576
27.480647562,33.680528722
27.018901461,33.180538003
26.692171742,33.244224849
26.371418491,33.809817047
25.699589874,33.753101794
25.037666264,33.807854510
24.615469304,33.895787633
24.156950685,33.807533733
23.674862026,33.327126921
23.168753329,33.188950470
22.639265530,33.615973979
22.060110586,33.340281777
21.694368130,33.770961583
21.041129429,33.655166098
20.374773789,33.772579471
19.855706531,33.717896592
19.179047265,33.644873186
18.710520291,33.229253091
18.156235652,33.593398543
17.624278874,33.274568163
17.051698819,33.611872045
16.428022201,33.339424515
15.859714545,32.987015803
15.498678519,33.425472826
14.849711182,33.250405577
14.177469590,33.356666686
13.690924491,33.080254617
13.094667738,32.791127070
12.441123402,32.639534270
11.776322203,32.669693175
11.121900055,32.711627296
10.535976761,32.365370060
9.957173465,32.154435571
9.322166122,31.930511016
8.738898335,31.612992430
8.129650004,31.539756828
7.454106094,31.457048873
7.159157846,30.939114312
6.499722798,30.770752803
5.826061331,30.698770187
5.172041973,30.842623962
4.534424710,30.638315330
3.969779978,30.494557883
3.403175819,30.123073526
2.944755886,30.333915614
2.575289643,30.265024499
2.217982371,29.685773522
1.969010276,29.253841830
1.953279247,29.334435238
1.283259471,29.416219678
0.768312573,28.981440583
0.148263746,29.152801449
-0.314176940,28.653453081
-0.908713293,28.397809745
-1.529660216,28.353036142
-2.082784882,28.356367094
-2.563438005,28.688220162
-2.522040362,28.008892247
-2.610173534,27.659384377
-3.220679632,27.846089614
-3.797997289,27.763310104
-3.962819923,27.102981641
-4.471569208,26.727720273
-5.062263311,26.389666050
-5.725288784,26.339110718
-6.034370030,26.505613177
-6.335701579,25.895367753
-6.836890508,25.495638672
-7.461955994,25.226392838
-7.962579199,25.123747376
-8.465294629,24.756005271
-9.033436011,25.130725900
-9.084338577,25.010550075
-8.805396002,24.525310231
-9.484905476,24.563612385
-9.787670602,23.977816324
-10.300331619,23.750415199
-10.952516881,23.740681270
-11.423181277,23.699352308
-11.980119468,23.789561014
-12.565359821,23.452639792
-12.734378103,22.979457781
-12.739858035,22.597659703
-13.352103900,22.375638228
-13.862966132,21.946781825
-14.468619762,21.739214447
-15.109440281,21.757731584
-15.679766547,21.418765436
-15.886190131,20.770236728
-16.245735898,20.198384074
-16.907001010,20.184527424
-17.404480120,20.406552295
-17.671891214,19.928350682
-17.921640313,19.295242817
-18.552424467,19.147644687
-19.173607137,19.241797209
-19.673947561,18.780430065
-19.633828289,18.226031899
-20.181372778,18.216108977
-20.814891045,18.050243825
-21.424569249,17.747766275
-21.495959865,17.242651288
-21.871330005,17.042093898
-22.262777772,17.011634685
-22.481967325,16.388460643
-23.083123971,16.072289416
-23.713892652,15.816690018
-23.912538575,15.486660340
-24.354533727,14.969127281
-24.895709530,14.574072798
-25.501560488,14.264000554
-25.909956260,13.729011338
-26.393419406,13.564563760
-26.828812349,13.072876305
-27.119115195,12.466987130
-27.588114327,12.065687862
-27.954647813,11.627917521
-28.472411995,11.686806974
-28.896436263,11.231695298
-29.333139135,10.903093462
-29.506607282,10.244983302
-30.127631738,10.132172533
-30.675100326,9.789975948
-30.674794795,9.165590694
-31.160509471,8.688850267
-31.388729889,8.639514995
-31.957606242,8.265911093
-32.455605534,7.802180136
-32.374881919,7.128778711
-32.480209540,6.500489450
-33.058534325,6.232993719
-33.721006088,6.077008646
-33.775677679,5.803819703
-33.265800374,5.397563651
-33.490909933,4.755281885
-34.003862281,4.552798609
-34.560271205,4.297401076
-34.831050242,3.716530914
-35.379554706,3.324503718
-35.603555794,2.983965009
-35.623589004,2.422357722
-36.004949140,1.859108692
-36.374587173,1.288514374
-36.789284073,0.774321978
-37.383288922,0.442119601
-37.043566287,0.406009640
-37.240048151,-0.224583456
-37.270056111,-0.904509704
-37.706021253,-1.149048104
-38.253002616,-1.554031522
-38.365914992,-2.203002721
-38.120534795,-2.837816662
-38.057168314,-3.084045667
-38.428343066,-2.910366400
-38.866398758,-3.431238161
-38.662112115,-3.982628236
-38.836220320,-4.496091760
-39.286022618,-4.927918208
-39.111721264,-5.585808183
-39.532846979,-5.956867898
-39.842707402,-6.239682062
-39.992780220,-6.903518133
-40.142853039,-7.567354205
-39.558039447,-7.749828803
-39.762520455,-8.336700387
-40.081398037,-7.968119835
-39.810992133,-8.551919192
-39.825875813,-9.165671156
-40.126505948,-9.776262150
-40.204945404,-10.365721447
-40.367579207,-11.001430634
-40.585311068,-11.453082137
-40.670176068,-12.016836052
-40.643631391,-12.356775688
-40.194135710,-12.545042364
-40.738358785,-12.953724912
-40.448506915,-13.476795698
-39.969784363,-13.935762616
-39.987688545,-14.581872884
-39.908707199,-15.257862623
-39.838461551,-15.660540293
-39.927721810,-15.974058233
-40.257270402,-16.483524161
-40.150801786,-17.021934682
-39.901212265,-17.340480640
-39.273259612,-17.602922340
-39.471830508,-18.075870551
-39.611110425,-18.741311355
-39.537716677,-18.672090756
-39.307656397,-18.621007286
-39.078167520,-19.261737367
-39.223586010,-19.869261855
-38.769205784,-20.028096001
-38.535019500,-20.589866979
-38.270394363,-21.168364438
-38.020676098,-21.527975414
-37.973350519,-22.202307726
-37.490519634,-22.486910909
-37.068193892,-22.691981978
-37.305529173,-23.323602044
-37.409795338,-23.627071911
-36.897534892,-24.075167230
-36.443677604,-24.556008165
-35.863125060,-24.536091906
-36.187536190,-25.066543355
-35.898589565,-25.682749513
-35.295568292,-25.956399397
-34.843944188,-26.339607015
-34.891855316,-26.373678426
-34.230826607,-26.211686987
-34.132693458,-26.578638265
-34.162022121,-27.235251210
-33.770595696,-27.499551092
-33.389137893,-28.000576101
-32.772525681,-28.163791978
-32.227144021,-28.536983957
-31.628197486,-28.351079404
-31.542153975,-28.636487393
-31.081019888,-28.973730720
-30.865874055,-29.406166670
-30.431318475,-29.896937589
-30.543426219,-29.905497804
-29.994811112,-30.103771488
-29.316980758,-30.042565345
-28.826607250,-30.383821281
-28.879489299,-30.918101455
-28.493276871,-31.069833786
-27.905868354,-31.193342126
-27.787580813,-30.523112137
-27.514065569,-31.142061400
-27.065302275,-31.634691625
-26.654241010,-31.620909425
-26.436451527,-31.131656471
-26.286701479,-31.795565428
-26.136951432,-32.459474386
-25.613082410,-32.027835025
-25.158477494,-31.722576996
-25.238429053,-32.398452672
-24.711535182,-32.483195597
-24.473746986,-33.102590923
-24.081938429,-33.268703308
-23.737003142,-32.682000804
-23.294981289,-32.469226380
-22.689076209,-32.772914637
-22.314243422,-32.969135141
-22.742975748,-33.035820229
-22.062768980,-33.058600322
-21.382549966,-33.081010897
-20.828184718,-33.383050004
-20.416984985,-33.034601980
-20.331830650,-33.324205173
-20.299844578,-33.836020212
-19.742109878,-33.456925824
-19.090282691,-33.261167048
-18.933977531,-33.600860433
-18.809512850,-33.753597487
-18.343904460,-33.257201467
-17.709377921,-33.188118922
-17.230453878,-33.462162376
-17.019095248,-33.636892865
-16.640783972,-33.590461073
-16.209364522,-34.116842531
-16.022908277,-33.633844238
-15.403494705,-33.509557772
-15.014502419,-33.887076944
-14.960865073,-33.797998264
-14.411029232,-33.853459485
-13.986611938,-33.684243148
-13.613845488,-33.204879672
-13.053285215,-33.209517680
-12.545173711,-33.662312203
-12.162370136,-33.669833491
-11.874244998,-33.250305591
-11.210355096,-33.400140096
-10.537470436,-33.358460541
-9.894388548,-33.574013293
-9.628586368,-33.710139381
-9.245424076,-33.507180991
-8.668946721,-33.477120228
-8.046361199,-33.246353099
-7.377447991,-33.120832980
-6.833471658,-33.234803393
-6.791246284,-32.555526425
-6.123603290,-32.502808420
-5.444250464,-32.461821616
-4.833035357,-32.748079245
-4.713574755,-32.134241902
-4.193074154,-32.438638038
-3.791710275,-32.444418630
-3.358533955,-32.029845748
-2.725115016,-31.780886659
-2.924197039,-31.825362192
-2.309705311,-31.586831127
-1.631657622,-31.645580688
-1.239757784,-31.095701541
-0.604643050,-31.235096112
-0.095137567,-30.783870732
0.232163758,-31.239244780
0.672838084,-30.739643056
1.319278233,-30.526769115
1.917047992,-30.287208508
2.586957842,-30.167121147
3.127401059,-29.983288900
3.620259130,-29.513937110
3.862727856,-29.527595962
3.908076684,-29.355278822
4.203565847,-28.788412095
4.739195908,-28.368530424
5.048825989,-28.530923003
5.188298591,-29.009715147
5.483030266,-28.396254944
5.951197108,-27.914422397
6.549541599,-27.657870418
7.027146952,-27.676917621
7.396305215,-27.105146375
7.770946997,-26.667112773
8.185675018,-27.206743063
8.624290924,-26.705982636
9.049873565,-26.174903335
9.615066790,-25.812929311
10.103990598,-26.089915034
10.456044200,-26.282042077
10.564466657,-25.610145693
11.178113449,-25.321039790
11.765061395,-24.980556074
11.896849703,-24.456514948
12.547466343,-24.256769689
13.182652606,-24.015887439
13.360043470,-23.456498616
13.627768078,-23.086802143
14.297582016,-23.055935475
14.756969218,-22.933659719
14.422910530,-22.796180867
14.884735334,-22.297861058
15.437623860,-21.970914560
16.092352418,-21.838040548
16.631962052,-21.493871718
17.038617820,-21.119638448
17.666359873,-20.856988663
18.183470172,-20.419425950
18.540927169,-19.863946371
18.816022658,-19.266374027
19.140392318,-19.065789295
19.658174673,-18.799242532
20.216363930,-18.412144981
20.626807736,-17.889156021
20.850716807,-17.249700121
21.143561319,-16.658202995
21.707044626,-16.446713829
22.210487266,-16.289240517
22.062581293,-15.925941520
22.620598781,-15.536304942
23.176546413,-15.143929251
23.710048544,-14.721408346
24.123418475,-14.199143120
24.144176886,-13.765115427
24.477817663,-13.328395479
25.086416227,-13.023751475
25.391235003,-12.562612839
25.584117321,-12.168457282
26.118993178,-11.747615271
26.561366196,-11.245797557
26.840661009,-10.625163139
27.185081218,-10.404127099
27.751686433,-10.052179938
28.208435348,-9.986874122
28.149913733,-9.308806720
28.520803921,-8.973755794
28.623155887,-8.564519746
28.675273930,-8.197514241
29.347388517,-8.304575733
29.846887655,-7.933114933
30.056235626,-7.345238341
30.421439701,-6.831555869
30.620817786,-6.216413541
31.081706321,-5.730431442
31.524272688,-5.224628491
31.646367394,-4.778834465
32.008391979,-4.202519985
32.051214409,-3.538305587
32.327538343,-2.969858273
32.772200162,-2.574311521
33.271908510,-2.172397219
33.570356159,-1.608632267
33.985721309,-1.142868925
34.385942555,-0.758842617
33.929546399,-0.314036381
34.579214437,-0.111227058
35.034191132,0.217587996
35.078552416,0.489623260
35.240344994,0.338610488
35.121570517,1.008754356
35.451604718,1.588024772
35.928004990,2.062531402
36.339414205,2.539232004
36.613079834,2.807031423
36.757856538,3.472042615
36.902633242,4.137053808
37.334744124,4.627874061
37.334863634,5.286419697
37.837334618,5.721861959
37.420735425,5.860930089
37.266329710,6.460453033
37.553770045,6.870621500
38.220636957,7.006594667
38.582928192,7.234696967
38.864858455,7.854144711
38.655522288,8.315441107
38.565183015,8.308971400
38.803135202,8.946606827
39.041087389,9.584242254
39.240535862,10.045131053
39.061017276,10.701616588
39.389363880,11.020126652
40.015430978,10.900215907
39.814152410,11.354234216
39.814268900,11.556432087
40.044479324,12.081778615
40.203600755,12.612029241
40.245272382,13.262759653
40.198459306,13.938292943
40.289981645,14.379646281
39.924381388,14.594203543
