x,y
38.519298271,26.627950900
37.150105558,28.380672457
34.870197215,30.262229868
32.190142538,31.785673839
29.230615536,32.699330304
26.429168865,33.744950623
23.013093993,33.307876014
19.683422187,33.720481282
16.485049819,33.391155014
13.257800561,32.845961190
9.661157888,32.065583921
6.361790053,30.750066007
2.831647024,30.342370675
0.065511716,29.120996086
-2.522315593,27.961560432
-5.225144640,26.325395285
-8.218524917,24.876932168
-10.420396989,23.744032912
-13.306185511,22.391403090
-16.046323470,20.402187803
-18.872908148,19.216869142
-21.455282428,17.486677545
-24.044195943,15.285527556
-26.875210260,12.962554928
-29.412796987,10.599463019
-31.824046483,8.371239112
-33.782889137,5.867839893
-35.232139121,3.426792848
-37.312259744,0.516469583
-38.357890064,-2.246206996
-39.247642970,-4.840521924
-39.572288011,-7.731609829
-40.203910346,-10.353555472
-40.560092715,-13.379332758
-40.247732478,-16.757910864
-39.084784676,-19.287807976
-37.758776335,-22.388007036
-35.864301121,-24.571414149
-34.127166285,-26.525383376
-31.646609829,-28.340108521
-29.101704943,-30.099097270
-27.304482584,-31.480290422
-25.284884158,-31.752537432
-23.225205437,-32.479664372
-20.655104572,-33.238931947
-18.396800590,-33.314294494
-15.513933409,-33.440787017
-12.520202789,-33.672406126
-9.161598572,-33.479522340
-6.155566547,-32.502431438
-3.280952086,-31.986569602
-0.473220642,-31.146416323
2.547398853,-30.171452862
5.145320057,-28.822106780
7.579603615,-26.780424293
10.279276138,-26.218170593
12.778764214,-24.222139610
14.866102211,-22.310198835
18.105391041,-20.506860354
20.637677264,-17.868666257
22.775112374,-15.454746993
25.239591048,-12.851851771
27.640032155,-10.084638478
29.758998278,-8.074646354
31.612696481,-4.880712563
33.485322890,-1.784878766
35.174783410,0.410264611
36.752517444,3.329200030
37.236474778,6.288774922
38.745265825,8.843889302
39.802308899,11.508355127
40.047462342,14.911495602
40.892684294,17.993784470
40.411866082,20.951647144
39.455484077,24.422856662
