x,y
43.091332231,14.481482991
43.114803936,14.834663986
42.696381458,14.724632752
43.064884760,14.657399708
42.831190179,15.291983400
42.325506718,15.700210788
42.210531339,16.353594871
42.018992259,16.087851265
41.805281055,16.729440807
41.514524574,17.200394553
40.881315398,17.188968780
40.329678150,17.560003513
39.805613721,17.987398054
39.185225887,18.234224437
39.655796902,18.526699640
39.039475133,18.248388492
38.373808229,18.144186899
38.330877778,18.501515894
37.926006782,18.689058719
37.250380533,18.718020596
36.636765315,18.992175050
36.586603101,18.811693956
36.519862208,18.734412792
35.975718369,19.134837338
35.536146446,19.647832146
35.045652645,19.711947488
35.043944888,19.708664118
34.724498186,19.996377364
34.086587369,20.219332571
33.677466526,20.643928803
33.495214012,21.229088725
33.276334134,21.614417395
32.862555135,22.087639045
32.569205265,22.586863310
32.328169487,22.932088220
32.421971383,23.278362436
32.108445586,23.855438620
31.660508655,24.362056943
31.632554111,24.544385969
30.966281301,24.660097993
30.557309651,24.900935595
30.090279404,25.390008562
29.704229764,25.653542050
29.654965795,24.979092141
29.269787262,24.998584050
29.065515828,25.643241168
28.460018870,25.754897733
27.817709171,25.925236062
27.189853012,26.173378001
26.780314833,26.584546511
26.342382101,26.406711106
25.868677499,26.652016934
25.217936618,26.468044314
24.765236150,26.818237057
24.575671775,27.450524589
24.128124662,27.139731066
23.456090195,27.064369980
22.904494580,27.247046041
22.337589513,27.250999115
21.872420903,27.282057852
21.560963539,27.634889645
20.893513031,27.526172408
20.455647143,27.677857765
20.142707648,27.811667286
19.552411134,27.545521951
19.017847762,27.959043211
18.410504094,28.034480495
17.993016122,27.521846589
17.644593459,28.003477554
17.151764834,28.076317708
16.486460798,28.004831847
15.811035946,27.971501853
15.569201027,27.505435990
15.524073822,27.626989517
15.126642192,28.123463879
14.519313570,27.826038990
13.911984949,27.528614101
13.518063798,27.717391967
13.077759390,27.584045146
12.402422423,27.577022066
11.867180930,27.484514926
11.814649934,27.562609353
11.149238731,27.629740220
10.473558723,27.602060895
10.074611662,27.674702709
9.469386198,27.489302818
8.818421779,27.394387189
8.143287011,27.355622985
7.488377375,27.190211675
6.823915055,27.193737488
6.161696549,27.243544040
5.595043356,26.880636654
5.050101943,26.515942058
5.068935724,27.028173633
4.411506357,26.869755685
3.842237315,27.048868534
3.346250410,27.508549520
2.862113121,27.050555823
2.339146899,26.630528610
2.063061160,26.608755910
2.230229129,26.936307838
1.808664420,26.407542470
1.272440981,26.011986966
0.627534839,25.912754411
-0.025098097,25.827671448
-0.674535206,25.770261346
-1.325501895,25.756054416
-1.863502304,25.712198478
-2.357783498,26.173713072
-2.116119536,25.666769871
-2.536298183,25.556574412
-3.146723931,25.276916291
-3.733069177,24.943920064
-4.256630316,24.956078460
-4.746425917,25.422350793
-5.024656341,25.153785841
-5.654080564,24.914658196
-6.264835222,24.981788638
-6.849749911,25.095833202
-7.369958551,24.663753824
-7.781862297,24.165855325
-8.406884647,23.925167043
-8.969010508,23.549243582
-9.550094739,23.250561129
-10.221340702,23.332649345
-10.390511297,22.759297380
-11.056837187,22.832652168
-11.709266604,22.795145706
-11.905760732,22.333027199
-12.536091761,22.263087599
-12.937900371,21.842706691
-13.573847601,21.844655220
-14.221194439,21.649074826
-14.607475484,21.686769236
-15.178713359,21.324834284
-15.634539842,20.884512711
-15.914054022,20.510126316
-16.572042900,20.666204039
-17.005765198,20.594561318
-16.859761173,19.934264079
-17.374547513,19.905646618
-18.003766513,20.087158601
-18.130711281,19.699341382
-18.587538736,19.452800837
-19.263177852,19.424140695
-19.854721717,19.103885570
-20.248264841,18.703121087
-20.838874891,18.469521612
-21.410111065,18.203880264
-21.910538672,17.997946937
-21.877003386,17.557871500
-22.499704282,17.695471985
-23.091507877,17.368244047
-23.522350578,16.969356885
-24.157647652,16.904806730
-24.421651690,16.573519016
-24.537966529,15.907350511
-24.857618028,15.770808685
-25.205865619,15.504270996
-25.456857892,14.876327927
-25.834949198,14.936002942
-26.352890115,14.957451486
-26.954044926,14.689094148
-27.547726225,14.454519040
-28.008811502,14.092667795
-28.434249219,13.682127895
-29.091284530,13.624029756
-29.556881167,13.189590960
-29.872355234,12.591852661
-30.130697913,11.966897720
-30.433390559,12.212505563
-30.419784481,12.097592401
-30.965368122,11.698032507
-31.529246570,11.331648815
-31.928398132,10.911248241
-32.249025964,10.400698931
-32.560733484,10.124301986
-32.953371219,10.073865222
-33.378608931,9.548049183
-34.004568665,9.354169939
-34.432331113,8.904199363
-34.460900134,8.352687585
-35.007120323,7.953998328
-35.184311883,7.795943866
-35.654822263,7.310218016
-35.955627529,6.705394744
-35.993080373,6.868155731
-36.534769404,6.463331557
-36.749720395,5.987103707
-37.210729917,5.684513887
-37.731823513,5.400581284
-38.019088186,4.788381458
-38.417236121,4.260876950
-38.972802214,3.875317701
-39.208156160,3.500329286
-39.313455334,3.062588643
-39.543673901,2.426735649
-39.740060495,1.779747269
-40.233744508,1.594390114
-40.558616394,1.105377175
-41.136798694,0.754642452
-41.013586133,0.356034524
-40.895846553,0.196197267
-40.813199951,-0.166788715
-41.436026317,-0.196355405
-41.834510266,-0.742260736
-42.184532615,-1.292870614
-42.002220438,-1.930272114
-42.205786315,-2.376820342
-42.190232160,-3.052888155
-42.481725056,-3.171571283
-43.009661344,-2.917041729
-43.247232009,-3.502902536
-42.709178823,-3.304835038
-43.099723202,-3.856804322
-43.512204503,-4.392685648
-43.457823006,-5.059768524
-43.245745073,-5.247592767
-43.622283997,-5.708423509
-43.362019731,-5.723006141
-43.459713103,-6.392159056
-43.392717919,-6.991501848
-43.760832340,-7.463173246
-43.653200894,-7.744551654
-43.414259683,-8.006213730
-43.838292858,-8.533001624
-43.776306111,-8.598146733
-43.800294263,-9.261954932
-43.685433758,-9.928375732
-44.069493862,-10.045914423
-44.254795582,-10.475683061
-43.903872165,-10.459665708
-43.966574353,-11.132999247
-43.804095699,-11.708885237
-43.622729036,-12.311381602
-43.377281374,-12.648940622
-42.928345163,-13.118220946
-43.493882360,-13.456910496
-43.389341608,-14.070250036
-42.840866933,-14.430598429
-42.820073476,-14.740797119
-42.231301144,-15.035851531
-42.754560876,-15.464230886
-42.658613294,-15.507096291
