x,y
43.091409015,14.481497889
41.988578516,16.074630328
39.372900293,18.102248161
37.274070762,18.706890162
34.395717448,20.127112294
32.343861404,23.039501657
30.054323839,25.424103376
27.620509500,25.971203596
24.686952811,27.146526505
21.522804984,27.649706739
18.243094908,27.836281500
15.477646211,27.743195986
12.202407407,27.506092017
8.621210904,27.392979704
5.170529380,26.521197668
2.619814325,26.779029323
-0.063064756,25.822411070
-2.724807739,25.513926943
-5.902548565,24.917937717
-9.019171094,23.506355301
-11.858240826,22.396613461
-15.190866379,21.314551026
-17.599458321,19.999294484
-20.634039900,18.542385151
-23.435694110,17.010394726
-25.820925630,14.931834337
-29.129651993,13.608327208
-31.352654954,11.478098444
-34.137298378,9.290149254
-36.134600662,6.902573615
-38.498842715,4.201969777
-40.424822340,1.297946085
-42.112745027,-1.099758470
-43.203036195,-3.510879362
-43.437559706,-5.714999727
-43.732462390,-8.825464461
-43.808070501,-11.700129338
-42.849667537,-14.408167830
-41.981241357,-16.397454810
-40.991969876,-18.841772418
-38.474125979,-20.778528678
-36.878735562,-22.102005958
-34.367750272,-23.335904185
-31.651673774,-25.213138820
-28.763816639,-26.323659685
-25.485199778,-26.641724541
-22.348845108,-27.316220588
-19.680715885,-27.681810518
-16.872361237,-28.035061405
-13.545902651,-27.527709903
-11.472617220,-28.089588898
-9.193432443,-28.079892013
-6.023156164,-27.365752448
-2.646171910,-26.457141468
-0.040866562,-26.308123510
2.514460384,-25.712622040
5.607631446,-24.614270643
8.897159725,-23.616001702
12.114315322,-22.501306575
15.346421041,-21.554176738
18.020960764,-19.658517001
21.162942369,-17.979492738
23.944840108,-16.575274473
26.835945473,-15.087451341
29.506351112,-12.940511242
31.954176402,-11.763454300
33.684428114,-9.597792853
35.718642001,-7.154951714
38.061820249,-4.584113124
39.572134648,-2.439585627
41.565214420,0.614951930
42.135163140,2.686120420
43.200863761,4.760741224
43.636861719,8.207673645
43.520132338,11.508851293
