x,y
33.850772381,30.390130695
31.108329704,31.445623558
29.164726114,31.957390344
26.466546072,32.082392206
22.953525500,32.122546617
20.509303214,31.415877306
17.338292463,30.895199285
14.665185817,30.633378584
12.510456770,30.219078475
10.822319358,29.749449889
7.736105792,28.827411789
4.966100198,28.561723249
3.146788090,27.608763780
0.594560806,26.452875562
-1.185171759,25.611694306
-3.819725602,25.483113638
-5.811573399,23.169621259
-8.656302739,20.713221728
-11.928605230,18.950408101
-13.833724041,17.578425171
-15.976726512,15.284051752
-17.782860521,12.721220265
-20.088682112,11.053249456
-22.470491287,8.723386944
-25.238003877,6.148221482
-26.874808817,3.482422201
-28.952704194,0.809033288
-30.153750265,-2.015709244
-31.983092571,-4.796762942
-33.304006074,-8.136570133
-34.280514808,-11.714764853
-34.427302252,-13.985460836
-34.928214521,-15.911699117
-35.406259012,-18.973962625
-34.893928635,-22.070427146
-34.081081056,-24.126382132
-34.287725414,-25.682205439
-33.767840360,-28.058029346
-32.148636278,-29.926346611
-31.153937197,-31.708457040
-29.216133028,-32.605532891
-27.344583971,-33.490343421
-25.300908652,-33.513360650
-23.208328537,-32.871215019
-19.928896785,-32.933303822
-17.415599075,-32.191765543
-13.854437299,-30.479471350
-11.704634297,-30.414232193
-10.209666691,-29.266197841
-8.001187087,-28.259388552
-4.938463982,-27.054368209
-1.837718625,-25.291088504
1.322246126,-24.689971493
3.672420906,-23.321283856
6.549123321,-22.348338267
9.807697827,-20.815557272
12.621968037,-19.379157658
15.262717926,-17.054015408
17.982934766,-15.612743941
18.413953485,-14.200592591
21.555375290,-12.009501390
23.316109939,-9.245623368
25.405176747,-6.282354013
26.764065130,-3.267981661
28.167707341,0.382564498
29.402414794,2.954875516
30.670553317,5.206054054
31.845336703,8.781835550
33.396688808,11.968375060
33.846602393,14.678323222
35.609241261,17.123521960
36.352851917,20.052858402
36.514407161,23.410675079
36.735468774,25.801968907
35.538498290,28.063413774
