x,y
34.036695910,31.018613354
33.732176209,30.380644692
33.077940880,30.585614195
32.850233634,31.122908945
32.913138394,30.708920392
32.468236578,31.258282419
31.947720063,31.414372652
31.308413910,31.142834153
30.951701964,31.500962730
31.337810494,32.093125262
30.773608620,31.866666353
30.130802380,31.572495654
30.291869118,31.594977955
30.233824255,31.895497701
29.609516976,31.714062284
29.187988093,32.250937487
28.544486537,32.092510522
28.012151476,32.216298667
27.938411311,31.514894028
27.360681180,31.335998788
26.748670703,30.982191726
26.470162826,31.404831270
26.239821366,32.048625136
25.690466631,31.886702017
25.098481309,31.760792290
24.463043485,31.451026196
24.435591344,32.018678976
24.417878921,32.725377308
24.002103425,32.169023175
23.491598486,31.792427168
22.785658253,31.829638054
22.320448721,31.575542782
21.993743752,31.965514911
21.481830010,31.674305396
20.863937640,31.437903964
20.214929629,31.365983539
20.310982435,31.170315716
19.612266974,31.226228262
19.486285242,30.967926687
18.780662338,30.925118043
18.360092887,31.033045029
17.963885913,31.160173598
17.499426359,30.760852523
16.794920784,30.819231943
16.287884398,30.327994847
15.737935182,30.241765716
15.826519130,30.645816077
16.391905685,31.070167707
15.848281711,30.803613966
15.218159800,30.483172648
14.610399009,30.744654034
14.449846347,30.538759304
13.999110747,30.380363372
13.694884533,30.163390801
13.124317736,30.580751306
12.997296364,30.098018961
12.447687133,30.240979274
12.178053845,29.850767228
11.960906076,29.411790961
11.557841880,29.734462026
11.447196699,29.968866089
10.806705589,29.739273392
10.232688231,29.326671483
9.812963873,29.114179802
9.822894207,29.786009616
9.180716039,29.490470343
8.555678968,29.160628073
7.930852898,29.332564818
7.363234934,29.080820806
6.888307368,28.557198739
6.491376683,28.401535558
5.860928456,28.553589662
5.531691144,28.042052711
4.836240543,27.940087263
4.834582415,27.743444186
4.442862977,27.927388915
3.846245769,27.832330068
3.270539291,27.700432836
2.633512091,28.006917107
2.291952201,27.733380207
2.010032563,27.225237671
1.743661252,26.939026505
1.136522824,26.576922666
0.519600064,26.232016417
-0.171249610,26.302288848
-0.691851177,26.302568046
-0.556936061,26.680515001
-0.999369530,26.201716990
-0.991148673,25.494844527
-1.552557193,25.225579476
-2.215808076,25.100389034
-2.677512449,25.286635710
-3.096982456,25.132689308
-3.549266487,24.598297722
-3.757079246,23.960771377
-4.298074768,23.863279725
-4.997723108,23.964415587
-5.584583427,23.978549309
-5.212590454,23.514800840
-5.608711073,22.985517758
-6.305950600,22.871022660
-6.984015675,22.675051138
-7.594053353,22.792249987
-7.877674214,22.374519114
-8.456364715,21.968497480
-9.035055215,21.562475847
-9.042776596,21.007596138
-9.694794384,20.734449536
-10.051985738,20.314166476
