x,y
37.735186879,18.254359511
36.685855829,19.454393743
35.430918948,20.929679046
34.688457268,22.673412287
33.652260101,23.719568244
32.068816828,24.761728245
30.683074071,26.107307121
28.973330858,26.395996083
27.944065476,27.820098444
26.405338910,28.108021724
24.679015378,28.700841153
23.268658756,28.981666603
21.391002912,29.429527047
20.106407584,29.808065743
18.810848706,29.934580391
16.970990550,30.387019716
15.597235040,30.445654745
13.844837099,30.351754095
11.961527040,30.239517479
10.317480340,30.121379769
8.525590308,30.202308779
6.756743895,29.455428682
5.052479258,29.607211945
3.184263988,29.321581931
1.255192999,29.068406512
-0.252990085,28.049978637
-1.663924314,28.445754891
-3.349652620,27.593239585
-4.984847093,27.134866547
-6.665438243,26.521978056
-8.374369874,25.737222048
-10.259971529,25.193973056
-11.713215073,24.209225363
-13.570098242,23.520767622
-15.229564735,22.908017126
-16.740088395,21.668607270
-18.407434688,20.593316477
-19.994989270,19.579324829
-21.631095198,18.482385834
-22.998253620,17.177814052
-24.427691136,16.262348142
-25.828087145,15.054070431
-27.077169411,13.888569340
-28.735195428,12.804139433
-29.599603011,11.044197419
-30.939815207,9.608490258
-32.451056966,8.464850599
-33.096422060,6.965241708
-34.437666803,5.552865908
-35.507129322,4.278792229
-36.470842899,2.626686114
-37.347512963,0.952065545
-37.303402880,-0.708104350
-38.173660572,-2.225493893
-38.956089194,-3.889655178
-39.366382156,-5.825491016
-39.486866877,-7.778671948
-39.817038608,-9.668563857
-39.760002459,-11.563380609
-39.534519713,-13.321405434
-39.146812764,-15.003683742
-38.636696248,-16.550121150
-37.609170322,-18.088892695
-37.239153082,-19.620180856
-35.950412405,-20.931276830
-34.687117460,-22.283576314
-33.911360408,-23.219127624
-32.666056003,-24.644977831
-31.577376948,-25.865848748
-29.899519169,-25.861056184
-28.396393933,-26.958127184
-27.001852773,-27.533120377
-25.382818711,-28.335463561
-24.089878890,-28.296157382
-22.544041039,-29.332021157
-20.810909785,-29.811136514
-18.872787706,-29.919144784
-17.197719700,-29.873205854
-15.612502506,-30.143624531
-13.740350703,-30.425187717
-12.014007824,-30.154438027
-10.358099666,-30.343767744
-8.620255558,-30.040858798
-6.981087923,-29.467185110
-5.560120103,-29.560828660
-3.968249765,-29.329591946
-2.066350657,-29.267921007
-0.395250340,-28.725981637
1.457975510,-28.012742790
3.270947299,-27.743082596
5.128080590,-27.144668009
6.728653318,-26.213258500
8.705370634,-25.987681409
10.316032262,-25.283111738
11.494572946,-24.376903787
13.141592333,-23.318959476
14.913436597,-22.473884746
16.211153633,-21.577309529
18.043851565,-21.107969319
19.104495364,-19.835053091
20.963639892,-19.367693460
22.188816968,-17.871963646
23.854933723,-16.943603698
24.896950501,-15.489539360
26.557950249,-14.435408626
27.961901387,-13.226646656
28.831109406,-12.290465487
30.266112920,-11.036313574
31.468793954,-9.509986624
32.650403738,-8.004490894
33.860709359,-6.609874386
34.453860105,-4.937534215
35.708985841,-3.447415078
36.668715355,-1.803205276
37.634689859,-0.454624451
37.798330985,1.271913403
38.212006466,2.201609433
38.782047509,3.943034677
39.253795593,5.792595088
39.772275941,7.528795137
39.839736563,9.125565506
39.491496202,10.976091098
39.586418595,12.865230907
39.381146256,14.830627158
38.349959947,16.428704841
