x,y
42.588612551,13.730120129
42.672467166,15.803916053
40.981256415,16.863026810
39.609885891,18.419326328
37.820662539,18.420635040
36.152528405,19.633418469
34.101875822,19.971976584
32.844285177,21.422510167
32.344859742,23.250106491
32.464017679,24.212332408
30.539986655,24.997077368
28.494408218,25.401172972
26.428951446,25.691228197
24.356873357,25.930033369
22.281592485,26.139363221
20.204539348,26.330378567
18.126506557,26.510457079
16.048075895,26.685897915
13.969896479,26.864275447
11.893300168,27.060036886
9.825470100,27.330306209
7.849136502,27.839722858
6.087391735,26.941532722
4.112933318,26.669174727
2.303798575,27.079572938
0.670108746,25.788211482
-0.992854855,26.309790966
-2.566792583,24.977092219
-4.568565933,24.670229138
-6.328615865,24.420156093
-7.890933105,23.828278805
-9.882570205,23.285407715
-11.774598738,22.408017557
-13.688214457,21.580810875
-15.620289560,20.816533329
-17.327074917,19.620156813
-18.958856906,19.598345637
-17.742908713,18.340982996
-19.733089984,18.924563644
-21.749433436,19.313691545
-23.751986710,18.756855488
-25.605670195,17.804408864
-27.340031980,16.647017172
-28.975499751,15.353184291
-30.518357328,13.950107620
-31.960081109,12.443427241
-33.264123463,10.816779953
-34.280672220,9.002352090
-35.211186554,7.276674018
-35.883322106,7.535285744
-36.422020102,6.697762564
-37.650134911,5.104380954
-39.123531368,3.649960199
-39.969515875,1.764121577
-40.542488741,-0.213475981
-42.073339956,-1.619513124
-43.425743753,-3.017217369
-43.126241037,-4.888249663
-43.644627297,-6.389452841
-43.394442541,-7.970639071
-43.580634381,-10.034921402
-43.384629279,-12.102352686
-43.424362596,-14.181029124
-42.117208851,-15.768414607
-40.816891030,-17.185790529
-39.750205927,-18.899610468
-39.106887400,-20.675512460
-38.773815219,-20.660417912
-37.479743830,-21.629667419
-36.321560451,-22.587405944
-35.245356843,-23.503850837
-33.519187657,-24.355618116
-31.490560010,-24.499430078
-29.808450582,-25.705882086
-27.827263949,-25.781325333
-26.396424578,-26.442296632
-25.244877108,-26.426301567
-23.268308278,-26.939321224
-21.231091966,-27.072006425
-19.457053530,-28.027261804
-17.531192266,-27.397766154
-15.581839791,-27.707080826
-13.678440004,-28.038961561
-11.627080808,-28.315602744
-9.553337250,-28.107969455
-7.529176826,-27.613894365
-5.610316541,-27.076052213
-3.865271246,-26.629867882
-1.851693294,-26.634101994
-0.082084766,-26.089562584
0.875939696,-26.163317694
2.390648932,-25.260731767
4.283903006,-25.190651890
6.292059719,-24.785719483
8.137432119,-23.815062501
9.984612696,-22.846479910
11.834735021,-21.883822868
13.651465530,-20.859094472
15.464243809,-19.827358030
17.288130531,-18.815437856
19.136261662,-17.848653990
21.026658355,-16.967953214
22.992733392,-16.277322514
25.062609595,-16.077462416
26.204964125,-15.148368534
27.697774167,-13.699430759
29.171826771,-12.227935557
31.108938341,-11.665743655
32.354672861,-10.008022521
33.549545587,-8.298610374
34.821412366,-6.645686385
36.190547714,-5.072796327
37.734225617,-3.674379598
39.653112722,-2.909401896
39.084113297,-2.576663953
40.636262249,-1.585865675
41.523600366,0.292800808
42.932156865,1.809009453
42.727188428,3.619087478
42.943275378,5.470978527
43.241729120,7.261130613
43.617970008,9.290172282
43.614033345,10.129160491
43.213079761,11.954255888
43.443735191,12.489513773
