x,y
59.500,49.500
60.500,48.500
69.500,46.500
74.500,47.500
87.500,45.500
89.500,43.500
89.500,44.500
90.500,41.500
90.500,40.500
90.500,42.500
91.500,39.500
92.500,25.500
92.500,35.500
92.500,28.500
93.500,30.500
93.500,29.500
93.500,31.500
93.500,24.500
94.500,23.500
94.500,37.500
94.500,32.500
94.500,36.500
94.500,34.500
94.500,33.500
94.500,38.500
96.500,27.500
97.500,22.500
97.500,22.500
100.500,23.500
101.500,24.500
101.500,26.500
102.500,25.500
103.500,26.500
103.500,27.500
104.500,30.500
104.500,29.500
104.500,28.500
105.500,32.500
105.500,31.500
105.500,33.500
106.500,34.500
106.500,36.500
106.500,35.500
107.500,38.500
107.500,37.500
108.500,40.500
108.500,39.500
109.500,41.500
110.500,42.500
111.500,43.500
112.500,44.500
115.500,46.500
140.500,47.500
141.500,48.500
141.500,45.500
145.500,49.500
