x,y
38.189105594,17.715400918
38.075504417,18.360679470
37.690533821,18.514164657
37.814909336,19.061020768
37.209687068,19.312010097
36.681105567,19.646732770
36.228609262,20.108194951
36.052712676,20.564158633
36.230153888,21.006170757
35.806251866,21.159057603
35.417183471,21.632120228
34.989530961,22.118669819
34.620574459,22.636708639
34.406207520,23.170477861
34.184071424,23.007671086
33.608859442,23.247689326
33.181654145,23.744464196
33.139886713,24.232148409
32.506713450,24.400267307
31.951070825,24.623711165
31.854878479,25.185857962
31.597036467,24.963634221
31.204385666,25.478429795
30.732130120,25.900888575
30.395624866,26.135887687
29.891024187,26.268746553
29.544565774,26.601791008
28.892590246,26.538746834
28.698417637,26.946263727
28.501941441,27.406036525
27.896083859,27.339248172
27.520126216,27.701560955
27.049154077,28.097290222
26.407969039,28.175380870
25.752798999,28.168911279
25.631564019,27.870205549
25.206483068,28.209797812
24.761206270,28.494016555
24.112468428,28.585825323
23.764037699,28.978596690
23.122774664,29.113026439
22.552284160,29.341358928
21.926521100,29.148076687
21.425083101,29.217953053
20.945986177,29.519240502
20.291564342,29.524627735
19.637178645,29.543778214
19.104920933,29.889490446
18.466441221,29.933952267
17.811890230,29.954834056
17.158058674,29.997188911
17.013597910,30.546742837
16.601296971,30.344797908
16.069849740,29.963164535
15.699758801,30.256715735
15.189633669,30.081665102
14.590074438,29.888312023
14.169543515,30.390749462
13.722541370,30.683211267
13.190467708,30.300866846
12.603944514,30.101304425
11.954738507,30.189741960
11.308263348,30.294936268
10.703369650,30.538649513
10.211261280,30.162697256
9.779137376,29.926985716
9.271556860,30.341294365
8.662049124,30.219869300
8.061769992,30.149232758
7.504462336,29.816489802
7.026606410,29.727994529
6.486290324,29.853674817
5.836309465,29.771876896
5.264526391,29.521540016
4.743336680,29.587604096
4.088731812,29.559637975
3.435477900,29.517174983
3.011843758,29.205260340
2.606980365,29.049677290
1.987649861,29.261698229
1.447712949,29.124554946
0.967380985,28.678942063
0.365703198,28.468046930
-0.261497962,28.538352105
-0.913311396,28.516554974
-1.565963266,28.535150745
-2.153372764,28.585142671
-2.368182076,27.966154305
-2.754415172,27.631171611
-3.402195860,27.729506842
-3.997269821,27.522434583
-4.503824815,27.111773776
-5.063689504,26.771419304
-5.591091295,26.953111414
-5.964832186,26.632780902
-6.424948142,26.409777039
-7.048041307,26.409344507
-7.635057452,26.158884839
-8.018620663,25.707572046
-8.636332130,25.812236916
-9.216172981,25.518781684
-9.772110912,25.172050298
-10.274250644,25.255990595
-10.728969031,25.666259760
-11.062316064,25.102194700
-11.461652176,24.594577357
-12.023543991,24.285720761
-12.648859492,24.098039904
-13.165530534,23.695124688
-13.746913365,23.402715493
-13.677262441,22.785002232
-14.107354317,22.497317534
-14.735883429,22.435930997
-15.333983557,22.703448986
-15.678844731,22.273530333
-16.100997676,21.949279841
-16.715597136,21.941209096
-17.200812423,21.508757497
-17.609507211,21.032071609
-18.240316200,20.854956797
-18.871125189,20.677841984
-19.388011242,20.303759176
-19.853409748,19.847472107
-20.402408249,19.491665515
-20.935838764,19.113394690
-21.218488384,18.606099968
-21.862795061,18.487110290
-22.388329652,18.333024272
-22.293348118,17.933986556
-22.871135427,17.625034355
-23.448922737,17.316082154
-23.405719496,16.870522521
-24.039359591,16.800117334
-24.570405665,16.416346953
-25.121558780,16.063110901
-25.683906471,15.726874806
-25.522680759,15.223173234
-25.705836323,14.777013122
-26.361035277,14.775021408
-26.444630142,14.223296922
-26.853279932,13.955122815
-27.484333821,13.785639532
-27.947764715,13.449213203
-28.181292390,12.872707898
-28.736058060,12.538591677
-28.906296837,11.987808797
-29.026970568,11.354849376
-29.442306915,11.055411540
-30.081680220,11.198559765
-30.356135090,10.662647763
-30.791357267,10.199144456
-31.390957639,9.991945323
-31.492113654,9.344599126
-31.892182047,8.862571887
-32.364372761,8.408358854
-32.834021277,7.951500113
-33.115769935,7.442189212
-33.319924209,6.867934382
-33.637386977,6.379713128
-34.242361653,6.155647920
-34.364082445,5.557326528
-34.553552268,4.935284666
-34.971989492,4.431133754
-35.425089161,3.959458104
-36.011719214,3.723984350
-36.249491043,3.182133926
-36.397993010,2.543982844
-36.265873239,2.292456636
-36.608595446,1.738116428
-36.883652921,1.143450270
-37.062238779,0.532683529
-37.504019066,0.098724141
-37.619898081,-0.445136560
-38.061455047,-0.808647611
-37.995151426,-1.443604541
-38.424360688,-1.909561340
-38.701907828,-2.503073954
-38.591434720,-3.054520157
-38.627241621,-3.700284418
-38.929673509,-4.281511216
-39.059759944,-4.912429780
-39.205799292,-5.256099860
-39.331848739,-5.882750732
-39.323704565,-6.508747336
-39.494027094,-7.131643785
-39.382980459,-7.678395376
-39.202654345,-8.287082132
-39.398045999,-8.789565209
-39.263696913,-9.340146457
-39.589430583,-9.722610995
-40.105747476,-10.100202463
-39.951903202,-10.538383616
-39.571211430,-10.870010077
-39.459626262,-11.515640302
-39.918649664,-11.841227024
-39.547709003,-12.381312817
-39.400201352,-12.793545860
-39.819734861,-12.848695183
-39.496354004,-13.333825890
-39.705480480,-13.954757251
-39.251254291,-14.299507767
-39.301307427,-14.952773469
-38.902086889,-15.363374347
-38.690918591,-15.983614290
-39.058359725,-15.937565300
-38.695080473,-16.471752006
-38.237210351,-16.898132656
-37.920828830,-17.362850121
-37.713454442,-17.538931634
-37.744998615,-18.003899291
-37.700452377,-18.519900105
-37.456668925,-19.066465116
-37.069205422,-19.594822638
-37.341261677,-19.991926110
-36.822036597,-19.792910156
-36.297247020,-20.185192627
-36.059501640,-20.793853024
-36.575858387,-20.888053258
-36.044896416,-21.123537380
-36.161242289,-21.506292023
-35.650653446,-21.760673295
-35.194453925,-22.230962178
-34.893053104,-22.665967318
-34.537056960,-22.819663664
-34.208826546,-23.377364105
-33.743054656,-23.830547683
-33.279248497,-24.192363113
-32.624460921,-24.169063589
-32.731532328,-24.480204622
-32.171293387,-24.766306136
-31.793619434,-25.087433002
-31.558145674,-25.682127216
-31.312793685,-25.805374389
-31.088810022,-25.463124576
-30.514101964,-25.777767685
-29.946244626,-26.091456146
-29.291187846,-26.105249340
-29.134007256,-26.406694665
-29.294763883,-26.816461999
-28.827324398,-27.275580682
-28.232034260,-27.484165890
-27.603662966,-27.298587998
-27.125353840,-27.466040251
-26.776176090,-27.997297259
-26.136016017,-27.857709586
-26.108512023,-28.259637128
-25.622051604,-28.582244336
-25.093710000,-28.194759127
-24.856618013,-28.245436493
-24.537519370,-28.688013524
-23.962983673,-29.000805872
-23.336765059,-29.176952818
-22.689182010,-29.161628637
-22.173542709,-29.448311182
-21.643873900,-29.284953833
-21.106563740,-29.659903735
-20.610564196,-29.412783780
-20.025743471,-29.573912936
-19.543534137,-29.937060105
-19.149441714,-30.077767820
-18.609172532,-29.992834809
-17.982369846,-30.183518201
-17.372857666,-30.423902351
-16.773387375,-30.203927252
-16.171276687,-30.225760461
-15.519956576,-30.286904092
-14.877597893,-30.393182018
-14.380556625,-30.189259556
-14.201939898,-30.078386091
-14.033222349,-30.394154856
-13.381913598,-30.322834815
-12.733748057,-30.331147103
-12.094728381,-30.281207968
-11.448043499,-30.178715672
-10.820852380,-30.268871296
-10.168990929,-30.242629763
-9.556203877,-30.127096740
-9.139028934,-29.621869361
-8.632405479,-29.886245314
-8.048950717,-30.081387341
-7.866726907,-30.129512763
-7.255439535,-29.894753937
-6.681748067,-29.578261066
-6.109888660,-29.400051995
-5.544635263,-29.731376526
-4.975502300,-30.055995239
-4.613237906,-29.673892575
-4.271751253,-29.118373066
-3.651817696,-29.246686516
-3.078973275,-29.224060865
-2.655963780,-28.723708385
-2.169140013,-28.869249667
-1.570242560,-29.099105494
-0.921995974,-29.003889939
-0.328697965,-28.752352546
0.255030426,-28.454920640
0.891590304,-28.419923727
1.504619698,-28.296762523
1.998935912,-27.894774783
2.645034173,-28.003617213
3.133044220,-27.687513919
3.577387313,-27.212304370
4.039857936,-27.164013868
4.314075931,-27.356908025
4.548665534,-26.745142256
5.147965868,-26.760829015
5.795767006,-26.858926293
6.430768219,-26.836204194
7.023637566,-26.557285612
7.396358953,-26.138274515
7.917744743,-25.930617613
8.431843265,-25.575445121
9.046791996,-25.349330780
9.660054887,-25.184362024
10.052670438,-25.186310884
10.423642022,-24.749467635
10.900069934,-24.331231827
11.373947468,-24.177573205
12.013796057,-24.315810045
12.600265580,-24.126987265
