x,y
38.189105594,17.715400918
37.562391102,18.625553351
36.897397039,19.508106271
36.194517388,20.360785677
35.454471815,21.181415981
34.678296508,21.967969527
33.866889536,22.718121932
33.022197808,23.430565460
32.146137561,24.104041311
31.240751951,24.737530053
30.308209070,25.330307598
29.350753033,25.881942289
28.370657521,26.392282775
27.370183688,26.861438270
26.351543778,27.289753055
25.316871230,27.677777189
24.268197474,28.026235247
23.207435241,28.335994732
22.136362617,28.608013348
21.056592667,28.843167806
19.969714995,29.042917135
18.877094383,29.208413803
17.779968085,29.340823016
16.679448018,29.441243178
15.576532977,29.510590761
14.472152183,29.550184776
13.367118921,29.561119797
12.262159850,29.544449927
11.157923868,29.501184360
10.054990563,29.432284448
8.953878120,29.338662004
7.855050653,29.221178591
6.758924928,29.080645587
5.665938683,28.917436979
4.576508429,28.731986676
3.490852614,28.525616378
2.409253122,28.298951046
1.331969640,28.052571306
0.259243326,27.787015322
-0.808383416,27.501643378
-1.870949768,27.197996898
-2.928269567,26.876563361
-3.980147069,26.537730350
-5.026229713,26.181390996
-6.066184362,25.807553726
-7.100086428,25.417302285
-8.127748103,25.010897196
-9.148915439,24.588421371
-10.162972304,24.149154882
-11.170160445,23.694374902
-12.170270682,23.224233372
-13.163084157,22.738857471
-14.147788310,22.237233107
-15.124658647,21.720533397
-16.093463930,21.188868034
-17.053929400,20.642270807
-18.005326590,20.080032730
-18.947534966,19.502538364
-19.880426269,18.910117812
-20.803637187,18.302718956
-21.716775847,17.680268904
-22.618775886,17.041784845
-23.509787468,16.388066565
-24.389330427,15.719003595
-25.256868096,15.034445634
-26.111817543,14.334224080
-26.953485991,13.618085066
-27.780751215,12.885357438
-28.593366064,12.136426125
-29.390518840,11.371065820
-30.171324991,10.589041490
-30.934820317,9.790111665
-31.679953768,8.974032609
-32.405579898,8.140563545
-33.110451102,7.289473164
-33.793209781,6.420547631
-34.452380690,5.533600337
-35.086363782,4.628483672
-35.693427979,3.705103049
-36.271706417,2.763433434
-36.819193862,1.803538537
-37.333747137,0.825592752
-37.812905989,-0.170178384
-38.253057464,-1.183784288
-38.652752980,-2.213987592
-39.009382095,-3.259865307
-39.320290870,-4.320237658
-39.580977815,-5.394052818
-39.789494376,-6.479183081
-39.944249347,-7.573263417
-40.041965009,-8.673907192
-40.079198419,-9.778241195
-40.056824355,-10.882956842
-39.973322063,-11.984754987
-39.825702293,-13.079804418
-39.617263941,-14.164895949
-39.348796160,-15.236733819
-39.020327707,-16.291750551
-38.634175433,-17.327042752
-38.194113672,-18.340582459
-37.702925535,-19.330361977
-37.164009702,-20.295010466
-36.582464795,-21.234603924
-35.959673637,-22.147389602
-35.295650409,-23.030647612
-34.590051866,-23.881048183
-33.845042377,-24.697108405
-33.061986079,-25.476723764
-32.242541566,-26.218021985
-31.387587032,-26.918078535
-30.499789153,-27.575970453
-29.582139837,-28.191534543
-28.637057607,-28.764136617
-27.665890225,-29.291299760
-26.672372609,-29.774996247
-25.659028607,-30.215665605
-24.628120672,-30.613576308
-23.581422087,-30.967891934
-22.521783780,-31.281361122
-21.451156728,-31.554974186
-20.371347155,-31.789814032
-19.283950056,-31.986631639
-18.190467976,-32.146231377
-17.092446855,-32.270783545
-15.991113659,-32.361494676
-14.887574519,-32.419557376
-13.782824079,-32.446139187
-12.677755112,-32.442373894
-11.573168105,-32.409354955
-10.469780579,-32.348130762
-9.368235983,-32.259701418
-8.269112057,-32.145016789
-7.172928606,-32.004975568
-6.080154660,-31.840425158
-4.991215018,-31.652162190
-3.906496201,-31.440933513
-2.826351841,-31.207437551
-1.751107537,-30.952325897
-0.681065245,-30.676205081
0.383492790,-30.379638434
1.442300472,-30.063147989
2.495104654,-29.727216397
3.541662237,-29.372288803
4.581672197,-28.998598008
5.614777941,-28.606226770
6.640910302,-28.195976550
7.659842119,-27.768162421
8.671345034,-27.323070079
9.675187675,-26.860957302
10.671133930,-26.382055324
11.658912372,-25.886513724
12.637940724,-25.373902611
13.608288641,-24.845055241
14.569684871,-24.300110166
15.521845351,-23.739185147
16.464471608,-23.162378162
17.397249129,-22.569768390
18.319605379,-21.961060316
19.231185632,-21.336336107
20.131835296,-20.695962628
21.021158957,-20.039955305
21.898736226,-19.368315933
22.764119719,-18.681033845
23.616832952,-17.978087184
24.456228522,-17.259284493
25.281564610,-16.524384916
26.092595539,-15.773736717
26.888708516,-15.007291511
27.669250397,-14.224998867
28.433525271,-13.426808884
29.180792087,-12.612675137
29.910262356,-11.782558025
30.621097995,-10.936428591
31.312409401,-10.074272836
31.983253837,-9.196096597
32.632634256,-8.301931009
33.259498694,-7.391838584
33.862740391,-6.465919924
34.441198815,-5.524321050
34.993661791,-4.567241318
35.518868944,-3.594941839
36.015516691,-2.607754298
36.482264987,-1.606089990
36.917746058,-0.590448852
37.320575291,0.438571816
37.689364416,1.480269279
38.022737061,2.533828403
38.319346607,3.598316251
38.577896232,4.672678778
38.797160789,5.755740140
38.976010093,6.846205145
39.113432942,7.942665264
39.208561097,9.043608538
39.260692283,10.147433540
39.268783525,11.252461347
39.232972296,12.356930424
39.153367808,13.459100912
39.030138436,14.557244949
38.863681215,15.649670482
38.654617761,16.734749462
