x,y
38.189228688,17.715466388
37.690736607,18.665144245
37.069441954,19.365098621
36.152477076,20.207545908
35.871359923,21.136878639
35.054586521,22.056972285
34.477400596,23.133853966
33.427235617,23.393641210
32.863602000,24.378773068
31.913967789,24.875321792
31.258756244,25.376627127
30.311601477,26.159841647
29.218856593,26.571910857
28.550219687,27.370293662
27.494293926,27.734983554
26.383611242,28.180491060
25.414685786,27.978923983
24.357557962,28.514345915
23.312396235,29.080329745
22.130558449,29.216661914
20.986527821,29.500728936
19.747111217,29.508820525
18.609065692,29.936178797
17.359801395,29.905138594
16.626433301,30.367391806
15.638000935,30.270725950
14.495605551,29.945555303
13.583401036,30.635872211
12.497735446,30.105165318
11.265297436,30.313668501
10.203128863,30.155061494
9.180599560,30.358659946
7.961982957,30.106677021
6.811329840,29.770449005
5.610639767,29.655273542
4.390440799,29.581543261
3.194187774,29.354315725
2.065956878,29.241855844
1.008504206,28.713211657
-0.183042804,28.528685739
-1.434266339,28.514240667
-2.322958633,28.101468394
-3.324260942,27.721439523
-4.418665903,27.192599408
-5.488771828,26.942338444
-6.555268519,26.399868903
-7.700946158,26.075538880
-8.762468094,25.797834250
-9.826377110,25.160933331
-10.849568586,25.565467900
-11.534546740,24.538621080
-12.687439129,24.072992053
-13.735784417,23.423824294
-14.169588720,22.476051744
-15.341715313,22.699576375
-16.255624273,21.938608834
-17.274148438,21.402952634
-18.329755958,20.838862244
-19.417580249,20.267611359
-20.396182655,19.493641100
-21.221634146,18.604235151
-22.383995179,18.322782305
-23.025822315,17.595227171
-23.637119327,16.801527012
-24.707621775,16.295675532
-25.673590655,15.626070064
-26.008336766,14.772872074
-26.683972575,14.013296763
-27.845671687,13.575228766
-28.582841790,12.643530172
-28.962038955,11.513101832
-29.968669870,11.201171702
-30.672830229,10.257310406
-31.465847370,9.526527345
-32.205114984,8.561789626
-33.031630975,7.631494844
-33.518625995,6.481359431
-34.354789686,5.733460811
-34.817445926,4.608093886
-35.764867671,3.842985473
-36.391294314,2.829989905
-36.609807562,1.735920979
-37.034557245,0.573388279
-37.631926795,-0.461081119
-38.008040992,-1.490906522
-38.701478913,-2.487523368
-38.634544286,-3.718212281
-39.052259084,-4.885509117
-39.322517847,-6.091699714
-39.490212497,-7.320229954
-39.292223012,-8.502034550
-39.468088766,-9.641159128
-39.969242553,-10.516709751
-39.472232063,-11.528800506
-39.532202240,-12.400752395
-39.604436134,-13.144618181
-39.415663276,-14.162276123
-39.060560322,-15.222847360
-39.000933377,-15.940719294
-38.316089431,-16.803833025
-37.707730290,-17.826242605
-37.491975306,-19.024468706
-37.316170128,-19.990264597
-36.282881752,-20.204118278
-36.538361173,-20.900787575
-35.942801425,-21.671444498
-35.067088674,-22.476185779
-34.233270204,-23.335793041
-33.329156578,-24.182741572
-32.628354675,-24.625382526
-31.716325030,-25.341323136
-30.924981095,-25.448169357
-29.885578111,-26.090003522
-29.242723822,-26.677191129
-28.450758633,-27.456039464
-27.241936396,-27.367476183
-26.349558085,-27.881482797
-25.638215777,-28.584169191
-24.655797399,-28.497588751
-23.618771204,-29.129079479
-22.428376986,-29.333127704
-21.319377472,-29.524572279
-20.190171875,-29.474515288
-19.114517463,-30.077961457
-17.915834370,-30.221250837
-16.749129363,-30.199005183
-15.502144887,-30.290263576
-14.323791194,-30.142375385
-13.323252049,-30.310550672
-12.076359001,-30.277411500
-10.838564324,-30.267091888
-9.599827943,-30.158799169
-8.672504255,-29.861096970
-7.484533154,-30.030889700
-6.378608864,-29.443513997
-5.305561041,-29.933353110
-4.467877944,-29.355970019
-3.362369114,-29.301007731
-2.374221454,-28.766088567
-1.193797201,-29.074408495
-0.047505148,-28.585182786
1.173532994,-28.411535615
2.254991898,-27.921040408
3.293226203,-27.486820243
4.345464851,-27.345844058
5.130129425,-26.755542536
6.373355692,-26.845254425
7.371629494,-26.157901909
8.461403370,-25.559282881
9.652394916,-25.184740583
10.599521816,-24.547254710
11.743143330,-24.258178738
12.891636837,-23.930456170
13.775185348,-23.067658261
14.923323107,-22.936773792
15.676596576,-21.963497012
16.836800579,-21.493520530
18.035052048,-21.294745862
18.846937899,-20.404029123
19.924597131,-19.769573881
20.744980145,-18.835938880
21.754644090,-18.445074226
22.507049207,-18.077887071
23.080046934,-16.983817827
24.135886494,-16.392737947
24.901292284,-15.745966218
25.931691157,-15.136243026
26.648348154,-14.178165688
27.719867842,-13.643578382
28.683339217,-12.873267074
29.190482767,-12.005814709
29.624786711,-10.883061214
30.466896057,-10.240855417
31.319256495,-9.428902183
32.216492414,-8.561809976
32.670507368,-7.618249150
33.594061681,-6.803008962
34.502567201,-5.948661891
35.095717121,-4.856075079
35.736607706,-3.892426163
35.577220382,-3.440085032
36.436776599,-2.542937341
36.717079303,-1.323019369
36.918913200,-0.093429506
37.519122466,0.658343239
38.534361753,1.288567313
38.370055765,2.526895483
38.940717817,3.251245732
38.908919050,4.485964675
39.377165977,5.628152277
39.662544508,6.843454353
39.602853931,8.083677697
39.813693027,9.231181641
39.676251861,10.394195912
39.801403795,11.593072020
39.710506503,12.785786479
39.272870548,13.947531273
39.520404911,14.566096470
38.766155317,15.461283090
38.571398381,16.555806752
