x,y
38.101594905,26.891860277
37.595020597,27.221994076
37.618869300,27.882563881
37.386105305,28.258393144
36.922092503,27.858352940
36.594264293,28.455344354
36.616757008,28.783415365
36.357654314,28.925167168
35.782696609,29.305892470
35.526451108,29.216023499
35.569909782,29.866938736
35.504160466,30.399303344
34.863796128,30.130532432
34.579531914,30.484228868
34.375486922,31.147934754
33.926126978,30.787422605
33.330032036,30.747690138
33.054094415,31.230206943
32.977176726,31.755352362
32.466903083,31.742312628
32.630276128,31.759746798
32.196954934,31.943528714
31.575614501,32.253755013
31.301677840,32.653659189
30.860705265,32.350469722
30.415294473,32.810833203
29.850307043,33.104894388
29.162205975,33.071965730
28.588251862,32.912452086
27.962895778,33.072774098
27.469813878,33.549172527
26.928481077,33.407333843
26.265197319,33.613146734
26.133017307,34.105902843
25.652657609,33.833590112
25.190453990,33.990324345
24.643506275,33.844207094
23.968220205,33.797932005
23.459936872,33.618666892
22.906308452,33.554295963
22.362292560,33.436191972
21.757260732,33.777132988
21.473439755,33.871441553
20.853974680,34.185395866
20.355977238,34.071306424
19.993749588,33.478773371
19.805381465,33.364028718
19.400621215,33.745858683
18.860686882,33.757397370
18.392824008,33.660926049
17.856782937,33.795965612
17.716834147,33.197938316
17.022746760,33.221326096
16.328659373,33.244713875
15.799727530,33.428963443
15.130216344,33.580598255
14.570379312,33.382067905
13.948386373,33.111658116
13.296027075,33.207749925
12.654261388,33.004463538
11.967849183,33.088069841
11.467005188,32.830262329
11.279377837,32.161606763
10.724851687,32.077985517
10.108182990,31.761206318
9.505532243,31.416109805
8.947617310,31.386141069
8.453601508,31.874252407
8.371573785,31.735823333
7.702770760,31.548722282
7.323369617,31.035151819
7.085863246,31.400875810
6.442247744,31.139986226
6.063685117,30.601982615
5.589782467,30.435693557
4.918348061,30.529256271
4.955031524,30.624885337
4.275383318,30.519574281
3.839787427,30.348044560
3.278838199,29.938605610
2.683583653,29.869008475
2.113387608,29.539259487
1.559524009,29.281632686
1.132087504,28.858196313
0.453855593,28.853762955
-0.205855474,28.636770796
-0.874643841,28.618028716
-1.205817211,28.237491611
-1.699883384,28.725551962
-1.673916027,28.103096795
-2.282477808,27.865423402
-2.793298417,27.476586504
-3.284647231,27.026531237
-3.786417489,27.060421913
-4.326338744,27.356971833
-4.843957247,27.077197381
-5.206836628,26.485063237
-5.359186420,26.716333724
-5.385302961,26.223672143
-6.007303605,26.070607152
-6.699777208,26.116549668
-6.981347758,25.614260684
-7.153461550,25.404085735
-7.506685112,25.738380128
-8.134057349,25.440540630
-8.612222546,24.987818156
-9.192853304,24.606803443
-9.638877440,24.736304994
