x,y
38.101594248,26.891860185
37.583703719,28.028860767
36.622908176,28.193689549
35.953133237,29.271197024
35.596176287,30.146941293
34.591454887,30.447570790
33.843992984,30.738951380
33.084188371,31.546518194
32.246793620,31.930823974
31.159283289,32.582620298
30.111963400,33.034222570
28.717215327,32.937341722
27.524391203,33.527188378
26.248805519,33.659622494
25.278876591,33.959344710
23.886298504,33.776328660
22.504625046,33.442337120
21.221415974,34.010791468
20.109658198,33.646990678
18.988133196,33.794456291
17.786009589,33.562494988
16.695033107,33.240427492
15.318858111,33.574446338
13.992939224,33.115741582
12.606372657,33.001779759
11.407489893,32.644633598
10.395484038,31.955590553
9.133810389,31.319976878
8.073248653,31.629789926
7.118596102,31.363572579
6.095482291,30.632100748
4.954961732,30.637638931
3.679423703,30.221533138
2.387114864,29.715497820
1.227301673,28.920905405
-0.140261478,28.644659845
-1.346234810,28.311084269
-1.861046707,27.949279882
-3.016543168,27.212760524
-4.298001179,27.349628061
-5.213025456,26.494706906
-5.954895252,26.060192076
-7.022250621,25.539472159
-8.131205505,25.443292555
-9.240103047,24.615957523
-9.956748792,23.818856102
-11.125395960,23.215755613
-12.439689749,23.308447456
-13.280751758,22.183404094
-14.437009767,21.971020990
-15.364703557,21.657758837
-16.286263190,20.697269288
-17.508444331,19.978090320
-18.419130744,18.907761549
-19.179024879,18.228024184
-20.319994820,17.655765871
-21.551372383,17.858552371
-22.357654260,16.764457996
-23.148345806,16.063612016
-24.079617695,15.111928892
-24.995986282,14.178255333
-26.133160752,13.530204326
-27.083522645,12.662377871
-28.066680501,12.266524254
-28.892953912,11.136897578
-29.572038965,9.930130624
-30.583587809,8.990271151
-31.518710011,8.853694296
-32.073970178,8.139537454
-32.776998574,7.513773594
-32.501127510,7.162018551
-33.265638852,6.058722163
-34.112816612,4.929165661
-35.205218347,4.029506855
-35.221208942,2.657019776
-36.348245260,2.088912373
-36.386922742,0.745754857
-37.394936411,-0.012238013
-37.717485630,-1.398280895
-38.466193911,-2.567310050
-39.046791516,-3.729197255
-39.645290732,-4.963767568
-39.506458967,-6.353915433
-39.737422017,-7.696557141
-40.152291837,-7.940120623
-39.880183998,-9.185390602
-40.336371811,-10.217744231
-40.410704234,-11.635713041
-40.770424350,-12.632223071
-39.912869108,-13.492472673
-40.070027993,-14.542088972
-40.034191452,-15.941358984
-40.056091980,-17.027020897
-39.086744496,-17.711774769
-39.183556467,-18.991293976
-39.292860183,-20.258011181
-38.517819264,-20.022926877
-38.173659243,-21.366553950
-37.627802982,-22.675285328
-36.563791844,-23.540367302
-36.277445230,-24.774350964
-35.479070201,-25.763561338
-34.365751074,-26.076477920
-33.722055944,-27.321958196
-32.529642274,-28.071274011
-32.832829228,-28.325756791
-31.847187402,-29.321678875
-31.207517473,-29.642287406
-30.581082478,-29.574121629
-29.424606756,-30.405781449
-28.375799341,-30.904702354
-27.458310153,-31.466035364
-26.568134985,-31.592998702
-25.333638597,-31.936652477
-24.714188113,-32.609808650
-23.790083452,-32.944477629
-22.641372922,-32.811756703
-21.517509839,-33.321538085
-20.949731020,-33.375679617
-19.592568888,-33.321941741
-18.216344916,-33.534618530
-17.251244134,-34.312240121
-16.140823916,-33.704724684
-14.925452836,-33.656429930
-13.611603631,-33.497243008
-12.632258917,-34.067758849
-11.385571092,-33.703525180
-10.437606757,-33.179798964
-9.687665621,-33.657033490
-8.682768667,-33.614921723
-7.533383111,-32.999801583
-6.397319815,-32.964994965
-5.162446556,-32.410477475
-3.747574019,-32.383468078
-2.543495138,-32.001159697
-1.735221518,-30.873003748
-0.356210438,-30.905514002
0.937481192,-30.526150757
2.223414381,-30.133947675
3.231702978,-29.195202615
4.441254718,-29.317127680
5.528908476,-28.459101841
6.558272472,-27.916200765
7.581172783,-27.021412256
8.813156031,-27.103350716
9.949767824,-26.283586396
10.741153584,-25.341532295
11.774581636,-25.019761895
12.570558717,-23.937192516
13.787054685,-23.290168763
15.107414311,-22.806168693
15.283578766,-21.594809544
16.552325487,-21.229828527
17.807041682,-20.706845452
18.448012935,-19.477040769
19.254051825,-18.905088391
20.203324005,-17.908773277
21.125563159,-17.623466037
21.803768275,-16.472554871
22.451901047,-15.368731797
23.242407027,-14.595046844
24.127392813,-13.832645910
25.229201477,-13.300955152
25.664857953,-11.997608159
26.205503556,-11.797557397
27.164190208,-11.156787892
27.977242472,-10.024677014
28.436221460,-9.216709354
29.064975792,-7.953165532
30.241002785,-7.668412594
30.260367339,-6.295156075
31.104984221,-5.156400106
32.127012068,-4.319512278
32.483444686,-3.093117971
33.098092371,-2.522103784
33.865852992,-1.436474971
34.874191249,-0.449059346
35.507146312,0.757153408
35.509227895,2.154635897
36.640008928,3.011994578
37.058793607,4.291582475
37.561618338,5.209461959
38.128379162,6.516526388
38.738903376,7.729194576
38.553654038,8.655485224
39.431079638,9.757444301
39.461515718,11.156787585
39.927087659,12.473163802
39.885986916,13.598680524
40.441848823,14.788665496
40.650398140,15.999469017
40.144698722,16.865701998
40.536111126,18.038818909
40.622456181,19.164457916
40.894141763,20.383070395
40.291616760,21.560734528
39.702068745,22.673911012
39.492974487,23.603131328
39.365677890,24.938995575
38.631424552,25.640407675
