x,y
43.576013980,13.968757487
42.316302459,14.201040285
42.197538495,15.414074607
41.925689754,15.935907838
41.068933250,16.645207677
40.096320746,17.653251388
38.870229260,18.256456146
37.499628742,18.479640368
36.227790134,18.772322953
35.276492294,19.762054659
34.339968216,20.247225869
33.557729562,21.126064265
32.722798461,21.981725645
32.633450624,23.188746413
31.644652064,23.566752379
31.128497570,24.136982289
30.202371633,25.076823685
29.123501469,25.926126424
27.889675331,26.347410617
26.562453903,26.198944956
26.259048612,27.008629353
24.901426432,26.710551768
23.587901986,27.191356562
22.797535612,27.091378685
22.061392877,27.779275013
20.876834855,27.565405702
20.229391549,27.622669447
18.843202373,27.585628213
17.447793903,27.731457959
16.124927971,28.159138539
15.237355537,28.087235033
14.409027782,28.179645516
13.584144443,27.923398642
12.205422187,27.731763534
11.335332324,27.179122114
10.313321668,27.565664200
9.022437112,27.694863188
7.752921726,27.384902974
6.383034431,27.350239984
4.986510747,27.273670407
3.777127914,26.598340456
2.376488175,26.579648163
1.037406685,26.490446101
-0.229648674,25.937849590
-1.458893768,25.308316518
-2.568682925,25.244930340
-3.812532597,25.154871985
-4.150396382,25.052030943
-5.382715027,24.738010708
-6.323993455,24.615155464
-7.355737811,23.765848407
-8.739034949,23.963611840
-9.878576320,23.336412418
-11.044537529,22.804522821
-12.335492172,22.582605514
-13.448851240,21.805279133
-14.782081610,21.429142702
-15.431131061,21.299787875
-16.625499692,20.658644168
-17.809750619,20.040251141
-18.833640906,19.130832049
-20.161184257,19.196111398
-20.939311402,18.091701541
-22.129057329,17.555484074
-23.034597264,17.035908809
-24.298130323,17.068483670
-25.199917993,16.006550564
-26.151040806,14.985276482
-27.494716550,14.648519280
-27.370661015,14.267139721
-28.712220213,13.914023799
-29.418246954,12.913503113
-30.611062593,12.193350283
-31.572619040,11.219477111
-32.749248378,10.623129436
-33.425431725,9.759418783
-34.204387584,9.033794720
-35.149289985,8.125679447
-35.614805472,6.902253167
-36.628211581,6.109233434
-37.899474299,5.830150448
-37.743426677,4.600880726
-38.985460068,4.226589962
-39.609986577,3.230498090
-39.649982824,2.052144817
-40.482342874,1.244500468
-40.580495378,0.023039474
-41.134248140,-0.320479541
-42.133681383,-1.009776324
-42.343687811,-2.044357491
-42.261577152,-3.068535994
-42.792016392,-4.144485070
-43.588930634,-4.704857082
-43.552702834,-6.036513663
-43.285813262,-7.350258524
-43.959339596,-8.418514199
-43.826889908,-9.625352183
-44.046089912,-10.279773690
-43.838589024,-11.131985040
-43.521190014,-12.268412675
-43.350880089,-13.500323044
-43.049719629,-14.384246812
-42.164936893,-15.245959966
-41.843240382,-16.223476282
-41.366915751,-17.329373357
-40.773631288,-17.610095491
-40.230473973,-18.755925060
-39.639107620,-19.964807636
-38.796806288,-20.445746796
-38.009004015,-21.130797110
-37.092031411,-21.720001100
-36.146900065,-22.440602388
-35.297549642,-23.438324680
-34.143365474,-23.841945360
-33.301847052,-24.528256171
-32.093796824,-24.528232686
-31.399835421,-25.000614982
-30.132732919,-25.329858754
-29.419701998,-26.124659187
-28.128350725,-26.257476635
-26.908983835,-26.401685848
-25.870713250,-27.052630826
-24.512714198,-27.052006905
-23.141185746,-27.100278336
-22.253943368,-27.426245894
-21.268374116,-27.129187936
-20.450455967,-27.514449124
-19.143281922,-27.789774759
-17.942054086,-27.704689671
-16.578830821,-27.965311313
-15.228817538,-27.761125668
-13.942549356,-27.998086199
-12.841093746,-27.731089300
-11.460465874,-27.907412625
-10.217380510,-27.470547715
-8.891091269,-27.371703042
-7.669361516,-27.650787345
-6.414853485,-27.295280487
-5.368281785,-26.789158683
-4.683111158,-26.845616735
-3.405756640,-26.320936677
-2.148440763,-26.758854084
-1.203726374,-26.604211313
-0.129972737,-26.048854490
1.127626616,-25.834910289
2.441087002,-25.436214550
3.790876799,-25.242330913
4.431503533,-25.167831044
5.611370074,-24.671416666
6.793803273,-24.783161979
7.522572899,-23.628363848
8.632287214,-23.840403791
9.873517798,-23.400036548
11.091295730,-23.022614392
12.263467281,-22.281200682
13.486127486,-21.966750808
14.486510185,-21.586306936
15.002015969,-20.895287058
15.723497187,-21.217089896
16.432579694,-20.284445842
17.714670365,-19.806973898
19.001936753,-19.303979352
20.208390981,-18.954597812
21.261496391,-18.291202241
22.374984525,-17.987870714
22.963166339,-17.044012711
24.181465871,-16.748931961
25.132921794,-16.140023124
26.228767302,-15.843524212
26.775997472,-14.896524663
27.079711230,-14.270813921
28.308122423,-14.038301081
29.116101352,-13.111390672
30.034900533,-12.448305234
31.004489230,-11.449539643
32.171985837,-10.684827807
33.224386780,-9.915471846
34.239359642,-8.976144617
35.161934939,-8.029635885
35.719309970,-7.383022684
36.515382109,-6.332210014
37.353964666,-5.270803589
38.353559702,-4.440912013
39.386738315,-3.525984188
39.854130584,-2.230966687
40.687454800,-1.184092557
41.187347119,0.114922200
41.755973628,1.106415523
42.210923564,2.334285803
42.633645888,3.079411253
43.170232994,4.154068034
43.294439536,5.310664761
43.451548638,6.362381355
43.624600259,7.372007301
44.025588127,8.164080083
44.085761633,8.988496852
43.846136363,10.083166719
43.565739522,10.948606864
43.800557436,11.986870790
43.294792975,12.703823812
