x,y
33.929761686,30.070593484
32.784933052,30.981893884
31.423583560,31.256649121
30.014651755,31.326366210
28.636741214,31.630616817
27.299742953,32.036039452
26.830623579,32.145088141
25.695789404,31.631778299
24.394482908,32.058452825
23.338062038,31.521711784
22.337289418,31.912590918
21.866760373,31.408168399
20.741957700,31.383704358
20.303740074,31.252747014
18.906779548,30.741902058
17.404273442,30.854209074
16.252000188,30.664881490
14.852161018,30.618830347
14.103477287,30.511657709
12.919337330,30.283115888
11.899308523,29.780540747
11.179476221,29.678937854
10.395469522,29.974845988
9.880974944,29.387734916
9.171040933,30.544469971
8.289468819,29.441257323
7.140087219,29.193172709
6.312060221,29.098780414
5.021938713,28.612757931
3.736110130,27.893840557
2.403804368,27.376594887
1.222924594,26.936283359
0.311446498,26.172738889
-0.796455260,25.189806968
-1.779347009,26.058125485
-2.424892052,25.029290267
-3.665378593,24.477474350
-4.872439144,23.849269731
-6.216758454,23.858481608
-6.084867522,22.570645149
-7.516814451,22.308819368
-8.734356879,21.637638392
-8.893957254,21.170330519
-10.175041841,20.384610102
-11.164406582,19.492862002
-11.648372749,19.667696673
-11.945777680,18.234903702
-13.296964801,18.152013044
-14.056239098,17.552405741
-14.538449063,16.129379615
-14.990240727,16.419276460
-15.998329779,15.583035554
-17.184981617,14.877660721
-17.744479253,13.883701300
-18.740236038,12.724888379
-19.188625329,12.141213131
-20.371325496,11.348185850
-21.027070211,10.496153584
-21.805495826,9.385253863
-22.328344838,8.575571655
-23.701012521,8.406791888
-24.044481433,6.961642213
-25.009600685,5.842570364
-26.314843959,5.029939098
-26.844633876,3.936167314
-27.572425324,2.926764064
-28.393019526,1.791276514
-28.736416378,0.559221349
-29.468012645,-0.463371193
-30.070991961,-1.153010221
-30.930206693,-2.114753735
-31.190846282,-3.171116901
-31.877529886,-3.867226431
-31.881962287,-5.223176869
-32.601442133,-6.200092354
-33.039647846,-7.596559410
-33.954285427,-8.415487079
-33.774259932,-9.209485757
-34.221584531,-10.672977735
-34.815738004,-12.013824196
-34.487901128,-13.250313940
-34.769902895,-14.353883743
-34.377255271,-15.613422055
-35.089971899,-16.544588810
-35.159898869,-17.828699154
-34.656946256,-18.644209411
-35.493961506,-19.315387551
-34.777126567,-20.556196443
-35.014894343,-21.252641344
-35.310351018,-22.257505476
-35.353452091,-22.559196532
-34.706043726,-22.794245610
-35.070579623,-23.745578076
-34.490431857,-25.133319644
-34.322147427,-26.146436251
-33.712875350,-26.924856512
-33.597138720,-28.082844263
-33.067383816,-28.706978125
-32.726421381,-29.762751756
-31.945135655,-31.087683694
-31.789204969,-31.326977331
-31.056794118,-31.352722850
-30.591710533,-32.135141623
-29.492469225,-32.212787792
-28.773843880,-32.943985905
-27.900883388,-32.630725613
-27.445277678,-32.976840605
-26.301506488,-33.711661724
-25.320392300,-33.837239654
-24.545223256,-33.172223036
-23.668874961,-32.993456079
-22.270806486,-33.500291758
-20.974997714,-33.847297532
-20.035650934,-32.639748699
-18.813423394,-32.719014060
-17.530554912,-32.064175797
-17.229257141,-32.452487524
-15.862618159,-31.807039858
-14.845307629,-31.093088668
-13.669175420,-30.817753946
-12.425941060,-30.758092809
-11.716332345,-30.252105697
-10.872375997,-30.219254663
-10.413643072,-28.861465564
-9.113564170,-29.224569723
-8.658653661,-28.609944729
-7.519192558,-27.815455705
-6.450734796,-27.032764012
-5.081593382,-26.851340698
-4.361794520,-26.562408455
-3.463033721,-26.148886476
-2.215374674,-25.916544448
-2.310936478,-24.812919128
-0.911216021,-25.440090006
0.008570906,-24.342353465
0.838491898,-24.478324313
2.367687047,-24.557786037
3.311341925,-23.608661512
3.587367014,-23.645715145
4.928228082,-23.068586882
5.268991362,-22.946579180
6.323713320,-22.132334239
7.802282115,-22.132974914
9.109175585,-21.474264935
10.383975426,-20.995685747
11.179800379,-20.882662618
11.492728258,-19.863355887
12.354101200,-19.356127965
12.675358214,-19.322991342
13.842927970,-18.341454934
14.567312127,-18.206125372
15.192359713,-17.825563953
15.953241773,-17.060573205
16.968149432,-16.484344258
17.676836369,-15.685838559
17.822176251,-14.991093024
19.279701852,-14.525925177
19.330882258,-13.171702722
20.633353469,-12.736393571
21.403759833,-11.561437652
22.574548055,-10.571958277
23.476927304,-10.074160315
23.838140869,-9.007713485
24.975278580,-8.153331139
24.614325540,-6.902892220
25.812891596,-6.033430978
25.848329137,-4.598982507
26.636810071,-3.386887265
27.077991735,-2.233278807
27.666096397,-1.944575080
27.451189335,-1.141133096
28.142982591,-0.138709565
28.503976916,1.315470097
29.384164070,2.489670058
29.934352686,3.825647317
30.203878489,5.187227942
31.106972604,5.979731995
31.305786073,7.341987664
32.035537354,8.239334953
32.224615725,9.629635510
33.407510003,10.232483621
33.408535210,11.682002197
34.157310537,12.989068221
34.149983430,13.856657604
34.924283614,14.705638976
35.625787491,16.063888069
35.800620393,16.749513375
35.458049713,17.204642816
35.522611009,17.949853426
35.899840894,18.124094367
35.756998524,19.323178195
36.461687391,20.318124249
36.561247234,21.767253230
36.911172010,22.248850433
36.890958937,23.234637863
36.874000713,24.559754493
36.512638454,26.013613551
35.889906837,26.994913115
35.459076373,28.021968277
35.174230014,29.269014665
