x,y
38.101594905,26.891860277
37.527270632,27.920998991
37.182400234,29.047643090
36.978031663,30.210101700
36.462629117,31.256105673
35.508404432,31.940304696
34.418230947,32.390610001
33.288744618,32.732984924
32.143069934,33.017129259
30.989054874,33.265440551
29.830095244,33.489626999
28.667919830,33.696536627
27.503513576,33.890519694
26.337486631,34.074522576
25.166546511,34.222192745
23.988330549,34.291772127
22.808006104,34.296230437
21.628674314,34.246783381
20.452102522,34.151900235
19.279285797,34.018254871
18.110790220,33.850906224
16.946901862,33.654000139
15.787730887,33.430950270
14.633420521,33.183956900
13.483810541,32.915928193
12.338945897,32.628292133
11.198648142,32.323044396
10.062987840,32.000965583
8.931750740,31.663678615
7.804871435,31.312101578
6.682321911,30.946931689
5.564038839,30.568896643
4.449919756,30.178760339
3.339916672,29.777062030
2.233989065,29.364274628
1.132104643,28.940811544
0.034239970,28.507032471
-1.059618990,28.063248251
-2.149476355,27.609724970
-3.235325814,27.146687343
-4.317150075,26.674321499
-5.394920249,26.192777205
-6.468595146,25.702169596
-7.538120452,25.202580441
-8.603427762,24.694058963
-9.664433438,24.176622258
-10.721037257,23.650255281
-11.773120808,23.114910437
-12.820545594,22.570506739
-13.863134448,22.016898079
-14.900677289,21.453890021
-15.932982419,20.881336261
-16.959799784,20.298999328
-17.980842060,19.706595976
-18.995779075,19.103792843
-20.004130938,18.490038559
-21.005433131,17.864851171
-21.999249178,17.227832191
-22.984723843,16.577985948
-23.961254607,15.914777656
-24.927668862,15.236916623
-25.882983951,14.543506349
-26.825665881,13.833020120
-27.753796467,13.103633196
-28.664948686,12.353156256
-29.556013225,11.578954987
-30.422954428,10.777855707
-31.259389855,9.944993952
-32.056985467,9.074933867
-32.802478094,8.159942913
-33.512841193,7.217154059
-34.211538210,6.265688968
-34.897258607,5.304832047
-35.568525426,4.333825284
-36.223396491,3.351689525
-36.859745259,2.357457640
-37.474922182,1.349995108
-38.065800603,0.328100899
-38.628524130,-0.709552297
-39.158319256,-1.764382816
-39.649341803,-2.837788524
-40.094521965,-3.930972988
-40.484994562,-5.044830918
-40.810224443,-6.179400492
-41.058025201,-7.333287762
-41.215146065,-8.502898506
-41.268985111,-9.681708456
-41.210742666,-10.860261148
-41.038325272,-12.027600592
-40.766951489,-13.176239155
-41.097054614,-13.126347101
-41.632130056,-12.074184649
-42.162365046,-11.019544974
-42.381163983,-11.098079480
-42.033700346,-12.226165878
-41.662264409,-13.346657817
-41.281409490,-14.463988607
-40.895207472,-15.579483616
-40.505470608,-16.693748904
-40.113200143,-17.807124942
-39.718987715,-18.919814957
-39.323248359,-20.031962863
-38.892960557,-21.130483025
-38.299241380,-22.148879865
-37.534482094,-23.045951687
-36.626677836,-23.798319265
-35.613133047,-24.401494104
-34.528173808,-24.864725546
-33.399564710,-25.208987166
-32.244107024,-25.449006836
-31.074091463,-25.603717175
-29.896712511,-25.686288702
-28.716578793,-25.707846884
-27.536620994,-25.676570423
-26.358747134,-25.599662193
-25.184013860,-25.484093302
-24.013372428,-25.332509558
-22.847068796,-25.150500192
-21.685395327,-24.940904253
-20.528708295,-24.705312150
-19.376866680,-24.447071586
-18.229904239,-24.167947888
-17.087816130,-23.869493140
-15.950570836,-23.553074536
-14.818119087,-23.219898696
-13.690400521,-22.871032515
-12.567348641,-22.507421007
-11.448894489,-22.129902610
-10.334969362,-21.739222288
-9.225506797,-21.336042783
-8.120444019,-20.920954271
-7.019722995,-20.494482662
-5.923291179,-20.057096746
-4.831176787,-19.609034786
-3.743427939,-19.150477965
-2.659868204,-18.682111986
-1.580470286,-18.204233176
-0.505214170,-17.717103439
0.565801672,-17.220716523
1.632490355,-16.715099843
2.695035993,-16.200836623
3.753428026,-15.678077176
4.807591941,-15.146839022
5.857256857,-14.606766633
6.902671324,-14.058515485
7.943789529,-13.502148305
8.980487763,-12.937584361
10.012454811,-12.364419003
11.039914046,-11.783214999
12.062776238,-11.193957623
13.080876701,-10.596507312
14.093834602,-9.990379817
15.101836764,-9.376049735
16.104735974,-8.753424029
17.102367027,-8.122388568
18.094247384,-7.482351249
19.080389048,-6.833510544
20.060635922,-6.175800371
21.034730231,-5.509011923
22.002383597,-4.832908295
22.963200022,-4.147121043
23.916686827,-3.451180535
24.862661454,-2.745066629
25.800673006,-2.028411170
26.730213831,-1.300804626
27.650711086,-0.561792246
28.561516786,0.189130171
29.461896023,0.952520874
30.351013006,1.728997127
31.227914466,2.519240456
32.091509896,3.324002085
32.940547977,4.144108365
33.772917001,4.981122552
34.587232975,5.835698178
35.381601136,6.708839239
36.152853346,7.602453825
36.897709322,8.518174885
37.612554763,9.457485354
38.292169027,10.422583623
38.929501705,11.416068952
39.517211558,12.439626682
40.044491193,13.495512688
40.497711409,14.585148554
40.859528658,15.708339192
41.105273481,16.862289901
41.211585146,18.036986994
41.150600325,19.214674192
40.901528417,20.367190257
40.554180034,21.495387972
40.205680519,22.623231381
39.855855806,23.750664419
39.504327242,24.877567303
39.150532676,26.003760682
38.793484665,27.128926456
38.431168312,28.252405478
38.057836626,29.372261800
37.744892256,29.972034072
38.013110403,28.822553527
38.303836223,27.678457938
38.596509319,26.534858531
