x,y
43.576010329,13.968753407
42.849398689,14.858076901
41.938217746,15.563131805
40.953810179,16.163370942
39.938445723,16.710078550
38.912050782,17.235904802
37.887262974,17.764843869
36.875231385,18.317702356
35.889160570,18.915443459
34.948016772,19.581336889
34.117870348,20.374783747
34.183024978,21.439590522
34.923117919,22.321828606
34.768867638,23.373615518
33.867833385,24.087094001
32.857801668,24.642820451
31.812099976,25.128861602
30.748605030,25.574802781
29.674318533,25.994143522
28.592744589,26.394341098
27.505913061,26.780046816
26.413817714,27.150460007
25.291460484,27.412320455
24.147519298,27.555196065
22.995713371,27.607791282
21.842735346,27.591226983
20.691852541,27.518930445
19.544647422,27.401697624
18.401930217,27.246552426
17.264060796,27.059059929
16.131135874,26.843661715
15.003102302,26.603932150
13.879903193,26.342452967
12.761520842,26.061077569
11.647615056,25.762459008
10.538334325,25.447087535
9.433296694,25.117153156
8.332508335,24.773302977
7.235892347,24.416366917
6.143225896,24.047516049
5.054438378,23.667362556
3.969618409,23.276028839
2.888546870,22.874457514
1.811161155,22.463099800
0.737417612,22.042325672
-0.332720414,21.612462762
-1.399282452,21.173800446
-2.462290815,20.726593364
-3.521704974,20.270936584
-4.577592029,19.807165787
-5.629955845,19.335455353
-6.678787770,18.855943509
-7.724071382,18.368745425
-8.765782267,17.873954477
-9.803887752,17.371643289
-10.838346577,16.861864555
-11.869108497,16.344651678
-12.896113825,15.820019222
-13.919292874,15.287963191
-14.938565325,14.748461150
-15.953839475,14.201472180
-16.965011379,13.646936675
-17.971963851,13.084775988
-18.974565315,12.514891905
-19.972668487,11.937165959
-20.966108853,11.351458579
-21.954702922,10.757608044
-22.938246220,10.155429259
-23.916510971,9.544712320
-24.889243444,8.925220867
-25.856016037,8.296469553
-26.816585783,7.658284412
-27.770623922,7.010378061
-28.717727779,6.352378280
-29.657446056,5.683873154
-30.589067937,5.004131026
-31.511914198,4.312524463
-32.425541832,3.608787857
-33.328971945,2.892008817
-34.220953821,2.161035395
-35.100948795,1.415676697
-35.966625616,0.653740197
-36.817295465,-0.124905996
-37.650249320,-0.922471931
-38.463208076,-1.740392097
-39.253277221,-2.580426369
-40.016449445,-3.444952198
-40.747677161,-4.336633373
-41.440564378,-5.258383215
-42.086975871,-6.213257188
-42.674236480,-7.205519402
-43.188086939,-8.237579773
-43.606102132,-9.311859439
-43.899209703,-10.426388620
-44.032981624,-11.570608509
-43.967797806,-12.720257097
-43.681521363,-13.835219448
-43.224793663,-14.893917476
-42.776211597,-15.956313132
-42.359584422,-17.031613269
-41.987798594,-18.123163196
-41.685488196,-19.235759097
-41.513895690,-20.374813289
-41.738866483,-21.481668530
-42.738154351,-21.356650532
-42.142047805,-20.777815572
-41.010551321,-20.988907563
-39.914816584,-21.347543108
-38.842808578,-21.772446915
-37.787723441,-22.237926378
-36.745449488,-22.731476451
-35.713528445,-23.246345503
-34.672798269,-23.742323081
-33.591544984,-24.142349872
-32.483161117,-24.460013603
-31.357460740,-24.709894493
-30.220424478,-24.901963721
-29.076340011,-25.046422631
-27.927763724,-25.149525759
-26.776485840,-25.216283683
-25.623796106,-25.251301779
-24.470588302,-25.257828500
-23.317515456,-25.238976393
-22.165040861,-25.197275924
-21.013495747,-25.134869342
-19.863196387,-25.052600071
-18.714280512,-24.952855640
-17.566946691,-24.836289580
-16.421273980,-24.704387471
-15.277413217,-24.557588203
-14.135354870,-24.397361335
-12.995271223,-24.223635105
-11.857135379,-24.037575591
-10.720976867,-23.839793999
-9.586916437,-23.630313472
-8.454951428,-23.409791452
-7.325086143,-23.178752036
-6.197357774,-22.937494098
-5.071841637,-22.686114571
-3.948586448,-22.424818109
-2.827578512,-22.154044841
-1.708857805,-21.873971882
-0.592466475,-21.584752197
0.521550651,-21.286515941
1.633129446,-20.979314075
2.742177294,-20.663097177
3.848694330,-20.338137267
4.952619470,-20.004479760
6.053886445,-19.662151383
7.152423256,-19.311160495
8.248151601,-18.951497274
9.340986242,-18.583133783
10.430823151,-18.205992020
11.517492009,-17.819817445
12.600953229,-17.424735259
13.681084544,-17.020639819
14.757752334,-16.607405641
15.830810457,-16.184886677
16.900098937,-15.752915450
17.965374919,-15.311141095
19.026403072,-14.859261422
20.083055524,-14.397245225
21.135095685,-13.924821780
22.182262882,-13.441691728
23.224033862,-12.947034353
24.260229805,-12.440806038
25.290538887,-11.922702621
26.314359646,-11.391894113
27.331161675,-10.847764001
28.340650667,-10.290184640
29.341710534,-9.717613302
30.334047217,-9.130056339
31.316393952,-8.525951214
32.288153500,-7.904959632
33.247526725,-7.265005346
34.193660189,-6.605646455
35.124761364,-5.925223106
36.038279391,-5.221378222
36.932177222,-4.492799289
37.803361147,-3.737227558
38.648051750,-2.952170173
39.461617642,-2.134920619
40.237434512,-1.281793292
40.968422970,-0.390015448
41.644683114,0.543865049
42.253915640,1.522724544
42.779131810,2.549013225
43.201084598,3.621725600
43.538336195,4.724540815
43.871116065,5.828735001
44.202361081,6.933390522
44.531325573,8.038727136
44.856791165,9.145098584
45.176494991,10.253147234
45.485864257,11.364119604
45.772613233,12.481103362
45.970225750,13.615627858
45.173325951,13.493901440
44.156667718,12.972712391
43.168117022,13.432902990
