x,y
43.189876862,14.143667491
40.746119090,17.636599472
36.338458491,19.238659736
32.903810145,20.816282238
30.930103648,24.538503163
26.579459614,26.369989811
22.675079311,27.337144279
18.267399769,27.861765210
13.801173586,27.941872626
9.229199759,27.600312894
4.650500921,26.909272461
0.455756562,26.228254056
-4.623269322,24.848880633
-7.948285939,24.064179354
-11.841857591,22.297249254
-16.335480770,20.910723407
-20.101975247,18.538706402
-24.614975353,16.286032186
-28.449766846,14.201305721
-32.021975378,10.788399819
-35.416469431,8.007121177
-38.606199943,4.440358405
-40.908654239,0.475137344
-42.573783708,-3.473572324
-44.154842263,-7.339652313
-43.255248905,-11.812816291
-42.137522937,-16.456499120
-39.823621749,-20.189484045
-35.951643890,-22.712030161
-33.249305220,-24.275271683
-28.693779093,-26.230599452
-23.960455237,-27.142804250
-19.543320387,-27.915918961
-14.723962051,-27.925335427
-9.893864302,-27.755976981
-4.790814869,-26.794973163
-0.032513551,-25.829927120
4.901450245,-24.945902354
9.685102555,-23.133415433
14.221553469,-22.174253556
18.065174224,-19.510200730
22.257885236,-17.626092362
26.437461864,-14.882887771
30.158456548,-11.735351781
33.889108252,-8.720387846
37.447810628,-5.613723418
40.006038070,-2.120098192
41.989514874,1.752210979
43.604992726,6.286265738
43.431905924,10.593043601
