x,y
38.007079087,17.847620208
36.927867929,20.060344544
35.118095925,22.347313470
33.710058325,23.951538277
30.945292398,25.508238253
28.405408269,26.863700313
25.798789621,28.509256582
23.288092712,28.606842411
20.454973136,29.578444719
17.315302100,30.223528266
14.253250658,29.971543830
11.897152972,30.035910593
9.344784909,29.845465826
6.215700994,29.800243632
3.198781928,29.431424177
0.319218592,28.638066798
-2.850011052,27.922107747
-5.316273261,26.954397163
-8.274051202,25.573831469
-11.489649258,25.084213399
-14.287659037,23.869017321
-16.747828500,21.736092980
-19.374455849,20.010900551
-21.824789858,18.747292796
-24.043331495,16.712005426
-26.225345984,14.640279565
-27.847003253,12.731387068
-29.906544084,11.064331557
-31.692905112,8.515307608
-33.790161496,6.165717179
-35.713745814,3.719687963
-37.012754696,0.726847604
-38.101082028,-1.671318684
-39.119192552,-4.652260638
-39.735583422,-7.220469854
-39.751929825,-10.304581989
-39.154746472,-13.237488525
-38.783028363,-16.177589937
-37.436001199,-18.104963698
-37.075507499,-20.353588967
-34.770385811,-22.214004460
-32.959638019,-24.144934740
-30.819051145,-26.185803714
-28.024906808,-27.234416378
-25.327904599,-28.447478976
-22.572305427,-29.165354235
-19.737844885,-29.432560781
-16.782287164,-30.111331518
-13.575699706,-30.199546372
-10.956005199,-30.314905271
-7.947086643,-29.994715602
-5.035856891,-29.324773234
-1.738404913,-28.952658144
1.420338274,-28.174754997
4.553009950,-27.417604241
7.104255636,-26.077282239
10.335004880,-25.444783851
13.289604551,-24.006535157
15.684767161,-22.001234212
18.549903562,-20.715873596
21.061013173,-18.653479782
23.290167184,-16.849803115
25.910375946,-15.227174606
28.249372929,-13.139768630
30.495337782,-10.722683918
32.649888507,-8.623603513
33.645479228,-6.748450034
35.180694543,-4.049318122
36.726978039,-1.820533159
37.788100658,0.519941522
38.761110510,3.508794045
39.315566175,6.602809508
39.732203879,9.480179067
39.850128793,12.401414507
39.073078450,15.214907771
