x,y
38.273834141,17.617170532
37.983208316,18.212093960
37.536794825,18.526509358
37.743487811,18.583591722
37.531782524,19.119360124
37.374952284,19.553884760
36.800720241,19.883513061
36.378488451,20.374195646
36.138465852,20.988787377
36.009032355,21.228248804
35.661880322,21.787820211
35.088981330,22.002541124
35.115585156,22.046856667
34.809905830,22.629129574
34.488465170,22.669485746
34.423497996,23.328406472
33.927315264,23.718047513
33.347195687,23.881319492
32.925240002,24.141809697
32.337293087,24.422098251
31.908012172,24.856594286
31.579828103,25.167729277
30.992730805,25.465416899
30.502093095,25.905941765
30.242622675,26.251446853
29.651467205,26.549662323
29.037743942,26.704913277
28.478124128,27.058781629
27.906671829,27.392447422
27.315964092,27.691203984
26.814274071,27.719183156
26.245102135,27.967620932
25.752072054,28.272219817
25.183608522,28.237732508
24.740984037,28.730155925
24.403223807,29.003470549
24.079448379,28.755607751
23.420867084,28.823930039
23.319573447,29.179708161
22.828916933,28.840296729
22.181635058,28.875966366
22.086801879,29.440345118
21.750109748,29.494995097
21.182609688,29.153907223
20.732480142,29.461240847
20.087945008,29.309676611
19.443409874,29.158112376
19.411557837,29.700262525
18.977802000,29.899875792
18.350055279,29.809529355
17.701282263,29.775034213
17.128731359,30.045565683
16.515081955,30.276420689
16.030577002,29.878572645
15.701133465,29.771267201
15.599083545,30.359240700
14.940098372,30.294930530
14.365653202,30.502864640
13.873516193,30.623451409
13.384799280,30.213618373
12.723297758,30.241947659
12.064088122,30.302389303
11.537368814,30.211246932
10.888715985,30.344088054
10.299973681,30.292797695
9.759972814,29.957749277
9.107326761,29.882700568
8.445234447,29.877130691
8.123738580,29.919534394
7.484185929,29.798017359
6.851579390,29.613193310
6.453562549,29.716045889
5.905011555,30.081075159
5.385687041,29.721652531
4.869029329,29.307572750
4.280920974,29.399080596
3.619533616,29.430129251
3.051549330,29.118647377
2.505100232,29.389159613
2.043140760,28.914827766
1.483799927,28.818045549
0.829258535,28.876636814
0.192046060,28.837091405
-0.245306620,28.349360376
-0.853800818,28.088339173
-1.455632346,28.315476653
-2.047957021,28.304341745
-2.358514601,28.126077848
-2.987282438,27.918597094
-3.337041589,27.459524556
-3.909961134,27.391552306
-4.540036792,27.230129978
-5.159880587,26.997340532
-5.816400468,27.011330671
-6.447459877,26.962285852
-6.845800756,26.433398529
-7.420447758,26.125133437
-7.809413991,25.985421230
-7.660070770,26.173713584
-8.260169180,25.893929464
-8.891628226,25.709253902
-9.460323236,25.418234981
-10.003013829,25.062697617
-10.577288437,24.766084941
-11.083312628,24.379912520
-11.721238609,24.223650192
-12.352019034,24.063553310
-12.965571161,24.062479567
-13.407799326,23.602802449
-13.806634319,23.120875792
-14.409248497,22.846552246
-15.034525713,22.720621182
-15.634041010,22.774032515
-16.149316420,22.358233876
-16.646560141,22.411430494
-16.863142642,21.785739455
-17.272650530,21.510315976
-17.686714503,21.006544878
-18.184538187,20.649884218
-18.763744013,20.439136753
-19.291646706,20.101083450
-19.895284171,19.913953368
-19.932313197,19.252873866
-20.553361474,19.120668174
-21.204590582,19.002076785
-21.592017331,18.691132665
-21.942029468,18.245089062
-22.594434856,18.208553846
-23.141431266,17.914975027
-23.578779584,17.418106838
-24.013434071,16.918634383
-24.167720438,16.618473312
-24.437595482,16.066254526
-24.983353152,15.691360113
-25.369206724,15.569782282
-25.931207447,15.219707372
-26.318546829,14.697525551
-26.616309644,14.481248980
-26.903563547,13.884690139
-27.486776112,13.673389741
-28.118136903,13.476487183
-28.351250730,12.878204115
-28.732748535,12.463472147
-28.984730777,12.211362592
-29.391848013,11.855572297
-29.928819666,11.581479343
-30.226558783,10.990083812
-30.600482818,10.458560860
-31.104735484,10.029461215
-31.580325482,9.600732191
-31.951884686,9.071441826
-32.159757220,8.536957804
-32.225937371,8.141860517
-32.495345572,7.634338235
-32.991382366,7.198043606
-33.506444897,6.781981297
-33.010320493,6.762049444
-33.640185625,6.620141968
-34.243550410,6.382010785
-34.501533254,5.816711758
-34.905350593,5.291993917
-35.223656102,4.726244529
-35.212926057,4.064215736
-35.456171876,3.489655344
-35.786678788,3.177893596
-35.917985371,3.306368960
-36.310628252,2.773237809
-36.295509915,2.189228119
-36.621102994,1.626064406
-37.143657901,1.230377623
-37.419355708,0.689401402
-37.561815491,0.043379846
-37.548293592,-0.550205031
-37.870796903,-0.939293384
-38.304754053,-1.438491071
-37.976633447,-1.644904299
-38.104496204,-2.012636714
-38.182174170,-2.616467991
-38.292319389,-3.165962335
-38.880490719,-3.467773234
-38.952238090,-3.769467127
-39.219069828,-4.230489707
-39.467333314,-4.844299530
-39.500557573,-5.341407531
-39.489850063,-6.003436688
-39.420595022,-6.273735044
-39.608995677,-6.491028859
-39.602216139,-7.050678369
-39.330778552,-7.650674837
-39.623312093,-7.941660871
-39.485241148,-8.234258451
-39.479710610,-8.605406918
-39.836623599,-9.047398228
-39.733678368,-9.701083877
-39.600033778,-10.349449073
-39.613425658,-10.994337108
-39.740986537,-11.606010496
-39.642100417,-11.778413449
-39.399841957,-12.290512921
-39.445005964,-12.829035971
-39.477033933,-13.462340082
-39.501982663,-14.052431304
-39.352879506,-14.155459546
-39.253188360,-14.777147826
-38.999552314,-15.380079842
-39.117101421,-15.610423972
-38.982528466,-16.125402390
-38.721595591,-16.733676497
-38.389692369,-17.163595120
-38.519350988,-17.806875467
-37.919361820,-18.022811692
-37.426768589,-18.444251330
-37.412407882,-18.966498549
-37.467900560,-19.386863092
-36.902617834,-19.731613286
-36.622390006,-19.760988566
-36.569600144,-20.420996510
-36.105440298,-20.783333765
-35.630283244,-21.212026235
-35.174121611,-21.684984834
-34.857426774,-22.241097755
-34.719784161,-22.777064347
-34.251057278,-23.230295410
-33.694395738,-23.277517407
-33.351507151,-23.793583274
-33.056773261,-24.141322435
-32.404609344,-24.255687992
-32.238100811,-24.745212905
-31.602192714,-24.845103573
-31.307760105,-25.317187310
-31.101180951,-25.478885767
