x,y
38.052028128,26.426908163
37.262849890,28.205594211
35.685603316,29.114213161
35.252352315,30.005399826
34.147429226,30.362997193
32.711670640,31.110536063
30.887754113,32.122886919
29.127116536,33.025956529
27.427581387,33.762317855
25.394392840,33.670842348
23.909070061,33.814740177
21.964151682,33.682876880
21.265019746,33.826991690
19.099029250,33.490227203
18.016739058,33.521928969
16.048549220,33.542454215
14.132614146,32.698785677
11.937533180,32.716821086
9.777080327,32.107559944
7.800293510,31.944633142
6.090709017,30.536918786
3.968222028,30.411078471
1.985044038,29.517696820
0.015721539,28.516108676
-1.374086376,28.055366631
-3.381087729,27.126061120
-5.176933039,26.723007417
-6.628485233,25.542318921
-8.651883280,24.879010925
-10.749220092,24.292201048
-11.152730025,23.723311980
-12.529266810,22.473678886
-14.592027703,21.704224010
-16.544410780,20.753027156
-18.236311243,19.631901653
-19.900402012,18.538344604
-21.609391268,17.433755261
-23.102514679,16.184902354
-24.892529591,15.031916580
-26.315464345,13.550261549
-27.833534139,12.151532230
-28.776623186,10.973940440
-30.230778304,9.566880858
-31.848399095,8.727559484
-32.627899001,7.125245088
-33.797230169,5.191670712
-35.026806872,3.825299719
-36.179725225,1.962480047
-37.113833608,-0.067880208
-38.035043691,-1.878049494
-38.958205206,-3.544604282
-39.089494431,-5.563483716
-39.401925840,-6.725608493
-39.989054916,-8.324715188
-40.199352656,-10.480678937
-40.106103925,-12.082279498
-40.459471789,-13.641108818
-40.033502840,-15.267990185
-39.737906922,-16.865634303
-39.289268062,-18.697235452
-38.693288968,-20.503606328
-38.083929439,-21.884936714
-37.926171004,-22.969847295
-36.631299369,-24.134339561
-35.550723012,-25.222137412
-34.146158634,-26.833829071
-32.908298841,-27.715953239
-31.144477453,-28.563835342
-30.488291018,-29.486351565
-29.207982957,-30.880077633
-27.838711724,-31.294773580
-26.180848887,-32.598143527
-24.096258627,-32.635248141
-22.821311997,-33.145675780
-20.922769491,-32.852137731
-19.801503768,-33.737891056
-18.105966692,-34.046712159
-15.955194809,-33.998311926
-13.827877499,-34.118503692
-12.104360114,-33.606955343
-10.320015245,-32.920697839
-8.220177633,-33.154880968
-6.040425782,-32.605281932
-3.845283372,-32.528222630
-1.952599802,-31.685254640
-0.462518157,-31.034239772
1.451103811,-30.042302368
3.677128451,-29.674099463
5.220882348,-28.342119362
7.108996185,-27.738427383
9.117650730,-26.777830293
10.927887430,-25.419623860
12.804695461,-24.141557391
14.176706850,-22.562140241
15.866343573,-21.845824626
17.301011093,-20.421154672
19.193002933,-19.284361172
20.422759782,-17.749555076
21.776964392,-16.573179759
23.056324631,-14.802128312
23.964320194,-13.961932423
25.450153687,-12.623038637
26.640483833,-11.149031111
27.896206112,-9.419062822
29.069136576,-7.883103264
30.500292529,-6.928667844
31.522842274,-4.993218345
32.574778849,-3.531862625
33.998024524,-1.874532058
34.826760642,-0.051384642
35.418056080,1.624788131
36.835196537,2.704571004
37.470646867,4.396766206
37.760931845,6.519308322
38.566111924,8.233657058
39.205975077,10.251790406
39.606869212,12.125160690
40.506665504,14.097238817
40.844009412,15.839921847
40.751650763,16.913550527
40.376654831,18.939969660
40.513950956,20.378168494
40.388186229,21.881131851
39.717807031,23.631335796
38.865122055,24.834556702
