x,y
42.588612551,13.730120129
42.655614960,14.391840733
42.416465004,14.768432820
42.385929619,15.245075616
42.445934531,15.898921428
42.201720028,16.238707849
41.570909671,16.068497811
41.350324376,16.521179401
41.187996776,16.781842297
40.567407217,16.970751892
39.958689421,17.235842773
39.738454214,17.849861697
39.544361771,18.486015455
39.010658866,18.272399414
38.484000992,17.981511712
37.917835420,18.330538969
37.338187531,18.656153296
36.683364596,18.734036763
36.552291667,19.142038884
36.179854315,19.623112776
35.735453357,19.495255882
35.235964646,19.659830491
34.655985992,19.984848409
34.102781461,20.028953507
33.931998542,20.385267920
33.659808101,20.295670262
33.761841207,20.806477047
33.122129639,20.988500648
32.888459838,21.586181128
33.014240861,22.175075850
32.769781526,22.330520200
32.699124670,22.646878799
32.374882787,23.050014389
31.878383840,23.478238943
31.453557795,23.711594051
31.537806086,24.329911219
31.269911956,24.772582819
30.785837002,24.651446756
30.348876132,25.152873399
30.272368058,25.271966153
29.713792288,25.481722092
29.069707166,25.614106408
28.479354866,25.603043737
27.995087977,25.739032644
27.527996566,26.212518752
27.643459326,25.937808612
27.123656928,26.108962324
26.470213407,26.227963475
25.891451736,26.431404383
25.244157921,26.475833435
24.794283147,26.939017606
24.151801867,27.111009712
23.546183928,27.292474412
22.946975754,27.206526278
22.333102896,27.245360478
21.883819088,27.693080080
21.369973840,27.695079973
20.838750673,27.307243953
20.460713564,27.295168650
19.829900444,27.505972562
19.181095594,27.623592984
18.555816147,27.514638474
17.949742891,27.414435104
17.304612056,27.507603689
16.663039402,27.593094727
16.201055675,27.808818666
15.648225818,27.556879941
15.006513539,27.500563784
14.519587049,27.643380396
14.226689147,27.786724554
13.575433104,27.651709563
13.369621145,27.780542210
12.722041769,27.822468223
12.209424597,28.246245423
12.113976848,28.092004481
12.097848542,27.675017065
11.439008225,27.766082517
10.813677919,27.687347276
10.313620870,27.252793493
9.793992027,27.353294773
9.255527981,27.743704752
8.865216038,27.439768206
8.258609602,27.661802840
7.725591528,27.865783170
7.258017708,27.655751844
6.661116508,27.633829044
6.214492676,27.142086050
5.705679620,26.967157167
5.152898600,27.337017443
4.666046330,26.932564813
4.176156791,26.653423088
3.658436261,26.942394764
3.278252087,27.181112012
2.654024759,27.264968454
2.131890699,27.031004515
1.805339226,26.451584446
1.347877803,26.265497436
0.872322288,26.073605021
0.399081620,25.669497454
-0.194812154,25.964948069
-0.718251297,26.375283231
-0.994576004,26.307256323
-1.419118228,25.945127937
-2.043204549,25.715171973
-2.682203182,25.532407933
-3.220777586,25.251327403
-3.356288174,24.679697152
-3.833775870,25.142697131
-4.075085326,24.870115626
-4.739947271,24.888062072
-5.393941745,25.007136514
-5.972287159,24.796763142
-6.518386463,24.424905377
-6.965669856,23.932664535
-7.316548325,23.740058694
-7.460172904,24.249286837
-8.001609343,23.863009652
-8.588656053,23.647536647
-9.239162105,23.698271853
-9.662691936,23.425546118
-10.080413647,23.038863161
-10.677399781,22.862921653
-11.337793664,22.817458920
-11.986533727,22.734469355
-12.603774889,22.487177117
-13.208438009,22.210146446
-13.845475308,22.024877833
-14.132816047,21.444995694
-14.704871999,21.335246761
-15.121205259,21.648007135
-15.626496336,21.230245209
-15.882473512,20.616372937
-16.460479255,20.305287036
-17.057436666,20.012020382
-17.420297885,19.570089111
-17.964734205,19.721717743
-18.398876415,20.064682504
-18.703909043,19.473650715
-18.345269638,19.668121944
-18.883185156,19.276956537
-19.421100674,18.885791130
-19.748512238,18.634622425
-20.200107162,19.122910767
-20.624790750,18.611443037
-21.049463359,18.099567411
-21.570167221,17.756022253
-22.206890748,17.563807190
-22.695234957,17.181103025
-23.312256662,16.978804093
-23.852758308,16.591262928
-24.387536355,16.196270262
-25.025330962,16.012378873
-25.542427462,15.750975176
-25.549325903,15.085906840
-26.069947805,15.063964560
-26.734216079,15.030630773
-27.296170673,14.855432890
-27.548146012,14.240490120
-27.884979749,13.666986403
-28.147354188,13.654692124
-28.775946899,13.437356705
-29.399061488,13.511065010
-29.566394988,13.060227957
-29.796253930,12.496407065
-30.374306481,12.406556718
-30.937667619,12.064874649
-31.356371823,11.551916840
-31.902211822,11.178670141
-32.230680568,10.661436376
