x,y
33.986520423,31.123881367
33.582984402,30.750580725
33.353346511,30.249632334
32.865263400,30.737728567
32.438570653,31.021126376
32.331309912,31.001714784
31.665772075,30.777632756
31.003372923,31.014868205
30.676283973,31.249929529
31.265377119,31.170861613
30.559819820,31.302775434
30.538567601,31.356712483
30.029199476,31.862436192
29.377400476,32.048029748
28.955347801,32.512140838
29.083290057,31.805852556
28.435062333,31.971328375
28.373439672,32.660307955
27.821400621,32.262996594
27.643618876,32.114826464
26.987812783,31.857186034
26.338489890,31.557747924
26.159240979,31.960787437
25.694440442,32.284880303
25.332608742,32.066784175
24.696135250,31.811931308
24.387909737,32.192731663
23.730412376,31.906930321
23.146792217,31.827979798
22.899659059,32.403380417
22.317004935,32.053865701
21.919158631,31.530636425
21.448143983,31.544278265
21.095239321,31.345138949
20.861898795,30.749591971
20.163931586,30.917085649
20.215900740,31.233038289
20.362593684,31.642330212
19.763655255,31.810207546
19.175120741,31.399306727
18.743483443,31.069500030
19.419070757,31.311975059
18.947741860,31.527383856
18.261468590,31.737720151
18.500501872,31.144151903
18.012003631,30.756418817
17.405725707,30.876336376
16.927233271,30.639892365
16.536795011,30.790813534
15.872967101,30.887749605
15.425966452,30.470681407
14.840011701,30.739311445
14.190351112,30.913277694
13.832155111,30.291258415
13.374607873,30.077078009
13.190131967,30.353800445
12.869686624,30.291393584
12.308342061,29.887931831
11.590729528,29.872291816
12.046718747,30.147064724
11.621753177,30.077728727
11.178404325,29.513234126
10.735055473,28.948739526
10.396808932,29.175302615
10.194381248,29.572554699
10.077884149,29.159854319
9.423233665,29.282155722
9.023393526,28.821786088
9.120184998,28.423026495
8.705099004,29.008616775
8.290013011,29.594207055
7.837920696,29.084965322
7.632840069,29.066173040
7.249418743,29.296192242
7.084184831,28.605033065
6.505164068,28.180831092
6.194546496,28.729060199
5.744788641,28.798199904
5.189407621,28.343486499
4.983954700,27.719165341
4.392838477,28.126343397
4.086618998,28.191912054
4.381029886,27.537286522
3.853235393,27.789879545
3.362640777,27.973225305
3.210595547,27.624934101
2.506897596,27.483436564
2.161022775,27.538691947
1.687579716,27.176443954
1.079872587,27.274119902
1.471050414,26.801440567
0.762883255,26.684343885
0.192592281,26.759084769
-0.416448552,26.445414914
-0.927598401,26.029642463
-1.466211844,25.998936213
-1.798953236,25.375622320
-2.404138882,24.992547084
-3.068736631,24.784157587
-3.561795601,24.908009579
-4.274527973,24.823010027
-4.707924347,24.390919399
-4.262852651,23.827782165
-4.756176299,23.395443288
-5.387604811,23.580123582
-5.971089944,23.772610565
-6.401287501,23.251995457
-6.914526133,22.859830927
-6.431802731,22.836425082
-6.991839164,22.393639595
-7.666260899,22.333082174
-8.246325262,21.910308365
-8.653660424,21.878713641
-8.822509333,21.987923261
-9.106462926,21.328694382
-9.579911969,20.803306554
-10.048891320,20.259918362
-10.276811019,19.617897348
-10.825269770,19.247880156
-11.433649187,19.628782825
-11.565910288,19.045004945
-12.153083594,18.652959044
-11.587188563,18.575083466
-12.047635293,19.051473040
-12.607103254,18.960598302
-13.191232627,18.543458956
-13.568623117,18.020344726
-13.662219866,17.411361362
-13.992024501,17.246134221
-13.891084033,16.809487796
-14.590576267,16.970493923
-14.875369861,16.735663251
-14.650221170,16.058941799
-15.156347371,16.075893948
-15.644164353,15.939491732
-15.761004613,15.235417304
-16.010519029,14.562963026
-16.714637753,14.486036775
-17.424316819,14.378482226
-17.655752002,14.000464231
-17.650614547,13.797935671
-18.012737551,13.655486973
-18.307735792,13.001140700
-18.751673556,12.863068285
-19.064956378,12.835625219
-19.199890422,12.379343517
-19.861550677,12.379453457
-19.852939548,11.661722166
-19.844328420,10.943990874
-20.310401112,11.350176288
-20.616962879,10.740572962
-21.187108811,10.409544737
-21.852211849,10.279726069
-22.420659583,9.843593561
-22.634844481,9.321442603
-22.361542744,8.662520248
-22.810350804,8.646249390
-23.149152946,8.240210180
-23.796390623,8.056020071
-24.081760236,7.548083775
-23.913766822,7.055755455
-24.450196167,6.578832068
-24.501381219,6.294731672
-24.634318712,5.837194117
-25.046695128,5.336676570
-25.500862883,5.270809006
-25.752832706,4.598705169
-26.197752470,4.863241555
-26.075577695,4.613076119
-25.936687086,4.073805114
-26.546688704,3.695505783
-27.221792504,3.626065566
-27.360831704,3.184897303
-27.476601727,2.497473530
-27.706750735,1.817588398
-27.491174411,2.040937770
-27.645079258,1.972635565
-27.736266707,1.668601613
-27.717739703,1.607831794
-28.408564906,1.412965435
-28.732876653,0.855643746
-28.369394685,0.863790931
-28.454430607,0.189279206
-29.129000411,-0.056012330
-29.453843773,-0.533591112
-29.588331248,-1.193286814
-30.232149985,-1.273724291
-30.797035565,-1.272203292
-30.472218152,-1.847708992
-30.759792485,-2.281140591
-30.787597225,-2.971953456
-31.050031780,-3.640040623
-31.014803546,-3.746627983
-31.136827896,-4.453857119
-31.341664736,-5.066281459
-32.033358752,-4.874521856
-32.463300652,-5.370524154
-32.312133036,-6.072208350
-32.620054263,-6.620320117
-33.070970999,-7.176604560
-33.378228936,-7.254438523
-33.187713580,-7.655407316
-32.919907397,-8.048944900
-33.079739871,-8.748706244
-33.504274354,-8.926160098
-33.935373976,-8.878802345
-33.678425475,-9.549018598
-33.771533562,-9.805141936
-33.552836668,-10.324688892
-34.107716694,-10.293741944
-34.342149715,-10.605263905
-34.407550935,-11.295255038
-34.344034827,-12.010190052
-34.276168164,-12.724757386
-34.580816403,-13.116117740
-34.548016854,-13.828600004
-34.766876705,-13.591959733
-34.720636618,-14.212895570
-35.079097005,-14.768702541
-35.186684752,-15.478376576
-35.050436830,-15.626875625
-34.605075828,-15.063967163
-34.981835697,-15.401632099
-35.498819139,-15.684678303
-35.144465622,-16.263202472
-35.276787705,-16.958297622
-34.689456455,-17.095982956
-34.780807715,-17.759480946
-34.783726275,-18.457418135
-35.206407194,-18.395120375
-35.203094149,-18.575448536
-35.406801012,-19.263718739
-35.044931234,-19.652009788
-34.360862217,-19.869407897
-34.922195935,-20.046199102
-35.273525406,-20.286435854
-35.260775140,-20.934223870
-35.233749638,-21.536482324
-34.601375297,-21.876063024
-34.816912579,-21.982988609
-34.756355570,-22.601227135
-35.017710914,-22.931515471
-35.213298722,-22.933464960
