x,y
43.576010329,13.968753407
42.911829139,13.905631992
42.323179068,14.144579937
42.508357793,14.722614670
42.449264807,15.222999753
42.076521263,15.579697288
42.443770980,16.089318008
41.802222405,15.906188565
41.180991276,16.090755010
41.153247768,16.438497600
40.789673784,16.945225639
40.372044091,17.353940414
39.884980853,17.781951055
39.418297712,17.860226087
38.893578675,18.244514588
38.241564272,18.385929524
37.584291301,18.498925201
37.002358538,18.365847555
36.557880337,18.666487728
36.097431764,18.829681071
35.725589187,19.374733791
35.224806541,19.807900299
34.662666313,20.129925525
34.520628000,19.932564043
34.311023336,20.323922754
33.801530685,20.747048415
33.620870079,20.729022995
33.557450663,21.113548453
33.409522674,21.764116110
32.926188639,21.916710134
32.458279508,22.168439946
32.488251468,22.825899568
32.637859898,23.275018751
31.984601820,23.167576341
31.606848037,23.447762708
31.920976383,24.036357941
31.635054083,24.088269938
31.193751781,24.069122587
30.960478802,24.569744539
30.487710867,24.971546610
29.897931866,25.200240156
29.420575375,25.616260276
29.096772050,25.936072686
28.611520276,25.869311753
28.106056259,26.249441092
27.456553941,26.329382115
26.829901973,26.100409895
26.395315970,26.488244393
26.647831075,27.075307806
26.292800411,27.018897539
25.666854081,26.809314043
25.008581343,26.700695588
24.382414871,26.856843916
23.770611613,27.122956087
23.148651237,27.249840118
23.348649333,27.018033391
22.687860388,27.110114534
22.027071443,27.202195676
21.972927930,27.545117255
22.098859329,27.883917897
21.460547701,27.689806507
20.844073104,27.468328976
21.055661244,27.211417095
20.461319813,27.514532963
19.850968465,27.688811200
19.191490329,27.589706944
18.527718696,27.613059486
17.865857804,27.681792760
17.206160699,27.765333275
16.564769833,27.949014313
15.923378968,28.132695351
15.586944545,27.638771228
15.182562712,28.169427708
14.596737363,28.483832195
14.307337049,28.469060865
14.577535671,27.861674408
13.910392849,27.868110389
13.259460003,27.918945814
12.616138155,27.754196859
11.976340075,27.775072956
11.525432597,27.836899305
11.352976354,27.192399646
11.096656418,27.121839693
10.746999996,27.690048592
10.107109012,27.516115838
9.623756305,27.787595149
8.967973844,27.664833876
8.419209015,27.329934674
7.964104463,27.289365726
7.556602784,27.473917196
6.893182710,27.403257936
6.229404953,27.336026578
5.571794197,27.260663234
4.906483799,27.258727628
4.375317176,26.929382568
3.830877343,26.608884078
3.166919105,26.612392500
2.510822047,26.578762166
1.852967121,26.526128470
1.368040662,26.363110095
1.046625912,26.489896875
0.463528209,26.265568018
-0.132819807,25.966419210
-0.690103655,25.779117678
-1.224725278,25.379992776
-1.821575657,25.360712330
-2.421686007,25.582056955
-2.673986895,25.037942292
-3.333121257,25.141203415
-3.992255619,25.244464539
-4.061266095,25.355948155
