x,y
33.929761567,30.070593177
32.834882334,30.440303368
31.716800129,30.732382035
30.580838840,30.944564616
29.432833003,31.076999313
28.278512025,31.132210072
27.122975382,31.114621487
25.970344205,31.030386649
24.823546276,30.886913388
23.684218186,30.692663076
22.552778972,30.456625925
21.428509098,30.188405798
20.309677219,29.898264894
19.193573256,29.597764168
18.076661834,29.300293521
16.954719553,29.022520118
15.823290455,28.786745991
14.679236338,28.624283509
13.524998114,28.580583484
12.378884056,28.716688073
11.289364055,29.094204635
10.280982617,29.658839742
9.285567617,30.246255220
9.178053645,30.496924588
8.843076633,30.782132924
9.470900362,31.620100081
10.153935935,31.254851671
9.490449281,30.313709186
8.686448015,29.483739288
7.831875251,28.705765113
6.916511134,28.000543595
5.953574535,27.361527490
4.959404039,26.772110309
3.944898504,26.218329767
2.917365923,25.689059931
1.881930502,25.175397048
0.842317305,24.670231924
-0.198678946,24.167919925
-1.238828374,23.663858169
-2.276311123,23.154334069
-3.309545318,22.636253692
-4.337168537,22.107136551
-5.357936490,21.564917407
-6.370722250,21.007935124
-7.374403557,20.434713571
-8.368087000,19.844334072
-9.350739307,19.235773950
-10.321553647,18.608505384
-11.279713462,17.962074609
-12.224468867,17.296208136
-13.155144248,16.610799884
-14.070994809,15.905706332
-14.971623835,15.181272408
-15.856385445,14.437542796
-16.724980327,13.674994664
-17.576961303,12.893926513
-18.411982948,12.094752735
-19.227650282,11.275867724
-20.016690323,10.431297957
-20.779996941,9.563391169
-21.519467026,8.675082300
-22.236478465,7.768540830
-22.932039712,6.845434440
-23.607335283,5.907397751
-24.263212606,4.955678708
-24.900124084,3.991162168
-25.518882612,3.014900346
-26.119909303,2.027621709
-26.703529770,1.029952832
-27.269910057,0.022395357
-27.819204516,-0.994577826
-28.351542013,-2.020528466
-28.866889066,-3.055117620
-29.365125075,-4.098054688
-29.846039916,-5.149091057
-30.309330066,-6.208014413
-30.754593136,-7.274643481
-31.181240010,-8.348854191
-31.588591589,-9.430527669
-31.975982044,-10.519507246
-32.342506596,-11.615684307
-32.687014978,-12.718977552
-33.007953966,-13.829353095
-33.304143480,-14.946581733
-33.573328052,-16.070618094
-33.813710591,-17.201160157
-34.022065556,-18.338034039
-34.195627510,-19.480724979
-34.330439174,-20.628620027
-34.421761064,-21.780774063
-34.463923219,-22.935750347
-34.449780022,-24.091378105
-34.370640528,-25.244335350
-34.215794099,-26.389512296
-33.972683923,-27.519146700
-33.625986655,-28.621247944
-33.160535137,-29.678475242
-32.561812660,-30.666086291
-31.823162042,-31.553588575
-30.959367640,-32.320046391
-29.991555613,-32.949898764
-28.939927142,-33.426991556
-27.831039217,-33.749915086
-26.690015002,-33.930082723
-25.535972974,-33.985261392
-24.381542035,-33.935262295
-23.234110863,-33.797914721
-22.097523012,-33.588656144
-20.973380692,-33.320270138
-19.862003428,-33.003018443
-18.763055783,-32.645001985
-17.675674341,-32.253212036
-16.598815599,-31.833329256
-15.531374140,-31.390028788
-14.472057789,-30.927633713
-13.419537086,-30.449960400
-12.372433271,-29.960518049
-11.329195412,-29.462882604
-10.288109156,-28.960757820
-9.247160951,-28.458346711
-8.203891782,-27.960779212
-7.155116906,-27.474944950
-6.096456027,-27.011110251
-5.021506705,-26.586600799
-3.920467997,-26.236284354
-2.781951759,-26.050777514
-1.631600568,-26.121830437
-0.872424108,-26.845370000
-1.575383365,-27.709307894
-2.630524747,-27.590550035
-2.880808195,-26.485635179
-2.710372528,-25.344161339
-2.358360163,-24.245701244
-1.716110075,-23.289172806
-0.871879308,-22.502077626
0.079890297,-21.847428838
1.090134562,-21.286424345
2.134147946,-20.790715524
3.198693606,-20.340613349
4.276038002,-19.921981510
5.361432315,-19.524638852
6.451649831,-19.140703130
7.544351292,-18.763884432
8.637668131,-18.388852695
9.730012161,-18.010999984
10.819901278,-17.626130653
11.905850468,-17.230291298
12.986281636,-16.819643456
14.059437039,-16.390358299
15.123288496,-15.938529747
16.175436115,-15.460105631
17.212991682,-14.950840154
18.232443822,-14.406275249
19.229505580,-13.821763689
20.198898433,-13.192475124
21.134138963,-12.513529331
22.027738614,-11.780715917
22.870898367,-10.990450347
23.653062593,-10.139843411
24.364241367,-9.229125795
24.993634792,-8.260133624
25.566933097,-7.256488034
26.134011814,-6.249309312
26.695690002,-5.239108888
27.251930208,-4.225904045
27.802646792,-3.209686397
28.347706903,-2.190423758
28.886929514,-1.168060993
29.420075687,-0.142516431
29.946820096,0.886330674
30.466851269,1.918586888
30.979749601,2.954405389
31.485012460,3.993969494
31.982006108,5.037511748
32.470047104,6.085270084
32.948287013,7.137537257
33.415694565,8.194659510
33.871005921,9.257046396
34.312593918,10.325208146
34.738606122,11.399673837
35.146380951,12.481187938
35.532682348,13.570549327
35.893026507,14.668759590
36.220899974,15.777077910
36.507127192,16.896836831
36.736859052,18.029457702
36.884975537,19.175408587
36.903415004,20.330099303
36.687629615,21.461715765
36.178610095,22.498635095
35.620286766,23.257552696
36.212258479,22.273613936
37.203884779,22.116587598
37.616096478,23.174978543
37.543772347,24.324783798
37.230321975,25.435996872
36.765815808,26.493633485
36.185439431,27.492579071
35.503292994,28.425004933
34.722997357,29.276849552
