x,y
37.627485687,17.835637094
36.089191001,21.471055870
32.365174121,24.162657688
28.317343709,26.542214413
24.278149504,28.609851069
19.828098555,29.134233345
15.294686968,30.157401960
10.756079205,30.125988103
5.996181352,29.774195706
1.390430462,28.993972601
-2.746510231,27.742090428
-7.446082614,26.828242322
-11.230919474,23.984490567
-15.045253562,22.448781303
-19.332318162,20.300917033
-22.791598083,17.281678279
-26.090172551,15.229095671
-29.331049665,11.690641590
-32.861188822,8.425642027
-34.439225145,5.606384046
-37.472937269,1.879853308
-37.914122253,-1.571342195
-39.250811755,-5.928605797
-39.774747556,-10.250992611
-39.600134429,-14.926295085
-37.280285261,-18.986438964
-34.879588698,-22.676568514
-31.276344927,-25.118930530
-27.241168091,-27.403363327
-23.173904172,-28.560400578
-19.521794765,-29.842531192
-15.939030204,-30.590328268
-11.590823934,-30.829010314
-8.789935002,-30.056199000
-4.243559203,-28.490095642
0.392449207,-27.205599166
5.032636087,-25.936054684
9.652523885,-24.594844051
14.228251827,-23.110681288
18.713745414,-21.374941049
22.965156425,-19.136710769
25.951986786,-15.522631090
26.543834233,-14.178815761
30.042558807,-10.998456320
33.024490064,-7.641383424
35.831717020,-4.208761970
37.670268492,0.178924581
39.306893138,4.556790778
39.860938980,9.176893029
39.094911248,13.848680269
