x,y
37.918594623,26.566691290
35.049284243,29.883893899
31.554555131,32.013950148
27.980538150,32.953190175
23.624204320,33.496939616
19.121773483,33.406012520
15.211114536,33.003953887
9.973602325,31.694931525
5.382106303,30.763237451
0.982663370,28.911079934
-3.259881199,27.270351117
-7.679663766,25.703922521
-11.998801253,23.044611651
-16.500291654,21.092300698
-20.879145919,18.013669724
-24.518388304,14.847078829
-28.168800160,11.945074600
-31.608786182,8.040507473
-34.841156736,3.534751538
-37.678754116,-0.702383654
-39.004582404,-5.448150187
-40.253103227,-9.801249854
-40.160731351,-14.448565853
-39.336716436,-17.332733015
-38.276753772,-21.705891736
-35.847988765,-24.111768895
-33.624793379,-27.135230957
-30.872263150,-29.390010376
-26.355984829,-32.034350018
-22.555273460,-32.775575497
-18.385856187,-33.802398192
-13.672583754,-33.838993474
-8.847993969,-33.140368532
-4.277270310,-32.449309138
0.411671239,-30.784405935
4.438489358,-29.008320247
8.693531953,-26.600925514
13.175370962,-23.887154745
17.190744371,-20.661954048
20.873901446,-17.337261263
23.910581455,-13.904618427
26.855606752,-11.220308385
30.170931464,-7.412781787
32.487087061,-3.355560359
35.736892392,0.998793548
37.173212066,4.732912463
38.966664506,8.837806740
39.848206773,12.892378260
40.119056334,17.612915649
39.889589897,21.984915555
