x,y
43.189836369,14.143644250
40.541248934,17.779426077
35.678973197,18.912996546
33.139424002,22.112585338
29.999716897,25.130703022
25.539412987,26.800324469
21.287988670,27.522539782
16.218162867,27.024930100
11.151008404,26.486508304
6.065501214,26.487517631
3.103889302,26.335336581
-1.539438131,25.733113478
-5.842641779,25.412634584
-9.772974091,23.245708682
-14.222044942,21.036735012
-17.611936411,20.729991563
-21.517889890,17.535920653
-26.103840612,15.315084153
-30.625050438,12.969462529
-33.910770853,9.264863898
-36.528838601,5.614731840
-40.413862185,2.461973026
-42.077276140,-1.320199749
-43.129192242,-5.958813608
-44.173578760,-9.506467430
-42.711466510,-13.942161852
-40.705013369,-18.112922910
-39.745520685,-21.636510918
-35.055942845,-23.290388328
-30.003642306,-23.950513133
-24.929571772,-24.420825982
-19.845979913,-24.774267082
-14.755978738,-25.018521526
-9.661691122,-25.143742601
-4.565974337,-25.125618076
0.525398447,-24.919163188
5.597420768,-24.436131816
10.596940130,-23.469488860
15.159887403,-21.302123193
17.734693347,-19.097674163
18.671321165,-19.258781387
23.140032778,-17.244042275
27.214558897,-14.484616421
30.619424434,-11.896010028
34.067033461,-8.425508639
37.598343416,-4.791224050
40.555293186,-1.750495143
42.269761339,2.428951788
43.740178745,6.670968263
43.533914276,10.664698225
