x,y
33.986505300,31.123856114
32.349760023,31.011317508
31.246564711,31.181031530
29.241382833,32.171436360
28.385447621,32.459718986
26.472274285,31.551827600
24.620606155,31.884219165
22.862453094,32.421753630
21.028223788,31.166957907
20.000902328,31.817621390
19.281578152,31.420347198
17.989659344,30.757326907
15.740099767,30.774041435
13.882180834,30.362791175
11.885341062,29.805668830
11.013662256,29.174253401
9.362531017,29.276248889
8.364945978,29.580210967
6.943412870,28.367702526
5.167177965,28.279090838
4.337150857,27.520379150
2.330532874,27.530934167
1.121467079,26.657406300
-1.063587305,26.019220269
-2.951928595,24.790855642
-4.429426638,24.064541308
-6.081169966,23.687975273
-6.955676590,22.406213922
-9.007614870,21.707633788
-10.243440980,19.688486994
-11.812072122,18.853868067
-12.714399697,18.896737122
-13.982537432,17.076779519
-14.927820985,16.050319178
-16.215032074,14.485556146
-18.116130520,13.555872862
-19.745359913,12.381727699
-20.427952319,11.245365187
-22.291904675,9.978043258
-23.109144626,8.284021160
-24.332181761,6.709822146
-25.604658660,4.939722023
-26.459232038,3.709397716
-27.681886949,2.058003460
-28.738226347,1.075414452
-29.363234316,-0.294050833
-30.672382507,-1.483053994
-31.032504036,-3.695570031
-32.271062993,-4.983479943
-32.979791646,-7.137462052
-33.359259792,-8.915330180
-33.821900496,-10.300982263
-34.261516992,-12.329217710
-34.734419892,-14.010793467
-34.657646194,-15.220552333
-35.258594001,-16.719200216
-34.915127537,-18.428147847
-34.399546485,-19.838761151
-35.170454353,-21.584299032
-35.020144593,-23.023763337
-34.629260279,-24.485013386
-34.301825607,-25.856017434
-34.236092154,-27.102902858
-33.545246992,-28.455297987
-32.437978774,-30.029361715
-31.610084015,-31.046998570
-30.333067384,-32.282996648
-28.642929395,-33.211282343
-26.700076118,-33.510685565
-24.571378270,-33.176369108
-22.763232352,-33.156465646
-21.700752972,-33.321037458
-19.926712460,-32.857616290
-18.601979194,-32.906380391
-16.790848015,-31.556974429
-15.604275474,-31.878620254
-13.598786021,-30.674510487
-11.560062888,-29.651612470
-10.106519488,-29.026001460
-8.583575401,-28.118720730
-6.785403496,-27.840028362
-5.311484393,-27.306409500
-3.515565360,-25.903352221
-2.125328292,-25.156495557
-0.970677674,-25.109931041
0.575594690,-24.488809400
2.479762943,-24.450905447
4.415850428,-23.106592355
6.558317971,-22.556362698
7.476214781,-22.638150701
8.828518729,-21.576037009
10.762746554,-20.615839352
12.556829951,-19.715451408
13.748126848,-18.900217739
15.328447364,-17.409619945
16.549011747,-16.802864527
18.420208851,-15.361787536
19.117276530,-13.418686998
20.986412892,-12.827467176
22.498081239,-10.997382040
23.446705518,-8.801392479
24.688917062,-7.176692531
25.692744799,-5.441619679
26.714181358,-3.910504069
27.177634990,-2.600741602
28.254804870,-0.830257111
29.037376283,0.986968445
29.236614888,2.449321478
29.961173374,4.299920827
29.922651426,6.023776854
31.319918428,6.235029822
31.218342487,8.404224481
32.017884788,9.054102646
33.001357981,10.440615571
33.481777333,12.074448031
34.087520823,12.989809121
34.721405055,15.212367672
35.715691189,16.746311705
35.663442082,19.131809530
36.764455256,20.863925792
36.974342612,22.863152452
36.763239837,24.433503446
36.481513858,26.048615488
36.392670796,27.713582528
35.153625574,29.284074101
